episode,start,end,mom20_d2013,mom20_d2013|turnover,mom20_d2013|cost,mom20_d2013|dq,mom20_d2013|warn,macd_combined,macd_combined|turnover,macd_combined|cost,macd_combined|dq,macd_combined|warn,macd_fast,macd_fast|turnover,macd_fast|cost,macd_fast|dq,macd_fast|warn,macd_medium,macd_medium|turnover,macd_medium|cost,macd_medium|dq,macd_medium|warn,macd_slow,macd_slow|turnover,macd_slow|cost,macd_slow|dq,macd_slow|warn
dev_2015_01,2015-01-05,2015-02-05,-0.01403742779286854,3.370338872210958,0.008349297354441948,0,0,0.013292829684985685,3.766335238004092,0.00962603395572213,0,0,0.010716569158882194,3.5757194137698254,0.009062381966711986,0,0,0.006401331312700709,3.892498548728084,0.009955223612656421,0,0,0.010750011410968874,4.122581736301975,0.010683047189844582,0,0
dev_2015_01m,2015-01-15,2015-02-25,0.010532878806884804,3.715534878994607,0.009401405105838197,0,0,0.010773960583345676,4.180978670579558,0.010742732491635345,0,0,0.016259351299618086,3.812126725467967,0.009694395454600905,0,0,0.01000459594802705,4.263585719736245,0.010973298202705555,0,0,0.011163811003841673,4.79338832498591,0.01251790404454271,0,0
dev_2015_02,2015-02-02,2015-03-16,0.027517638962781366,3.882701529786474,0.009981615490643029,0,0,0.024270998242446717,5.157699559616125,0.01367352420788239,0,0,0.036649776040744264,4.866296025239787,0.012883943311510809,0,0,0.019220479002744817,5.625597587671278,0.015038226614312884,0,0,0.0202161134925678,5.612381899808829,0.014995709679202556,0,0
dev_2015_02m,2015-02-24,2015-03-30,0.014979381883829745,3.7409302412057217,0.009732184799385308,0,0,0.007847464505007729,4.8792812405432375,0.013045054379207622,0,0,0.012941300332107497,4.20651115829979,0.011088184713831356,0,0,0.005110048014437263,5.109931682604902,0.013717507153187774,0,0,0.008152206290176212,5.565975180093581,0.015113732939524244,0,0
dev_2015_03,2015-03-02,2015-04-02,0.028218336895546425,3.489652472540173,0.008980622412592497,0,0,0.02173905817413435,4.562664921629441,0.012107922583420583,0,0,0.023247612314758692,3.9649037012431494,0.010325917539208813,0,0,0.018979036624451107,4.7098969960075365,0.012547503088374523,0,0,0.020599284070472512,5.16603207161625,0.01392532328249304,0,0
dev_2015_03m,2015-03-16,2015-04-20,0.010289708664025676,3.8086727183836633,0.00972744755194523,0,0,-0.009287181662073984,5.023196087726717,0.01324912827546949,0,0,-0.006906364371349838,4.264074319495736,0.011008996648906831,0,0,-0.014792368749639295,5.780666017069043,0.015427800655158181,0,0,-0.021272557631091038,6.005409942845905,0.016094187392404084,0,0
dev_2015_04,2015-04-01,2015-05-07,0.006593872178368265,2.8395217149569634,0.006965879030852158,0,0,-0.0013620127511488889,4.499289831574335,0.011798474846042909,0,0,0.007385510726276134,3.8403229866384008,0.009868474717218443,0,0,-0.009612009277441658,5.152583647887562,0.013670781399940742,0,0,-0.016827002954082237,5.900859059293512,0.015835949389850546,0,0
dev_2015_04m,2015-04-15,2015-05-19,5.9611560467853764e-05,3.04935769528179,0.007501630149228074,0,0,0.006071003654000595,3.8242933268833617,0.009733834188224492,0,0,0.01559324292987796,2.98835857270248,0.007357834932010141,0,0,0.0038093647709900313,4.6646850772661015,0.012165039896836352,0,0,-0.007733674892332898,5.083802951753122,0.013332228839300544,0,0
dev_2015_05,2015-05-04,2015-06-04,-0.029495726597272065,2.994427556455121,0.007193051403976958,0,0,-0.028362218451240317,3.98759400706576,0.010149289991644212,0,0,-0.029162135864821415,2.997766721535169,0.007245465153845463,0,0,-0.02898498419732931,4.2858879798988205,0.010978113591329832,0,0,-0.025743257889700555,4.737116035168244,0.012298693829665884,0,0
dev_2015_05m,2015-05-15,2015-06-17,-0.008562634158625348,3.195632456928281,0.008008088290476629,0,0,-0.014467938850254769,4.520328432572631,0.011926885433054694,0,0,-0.005216758685386069,3.53203595773456,0.009010064848126635,0,0,-0.016912745435326615,4.5977038662368,0.012125569881410673,0,0,-0.017105877727399466,5.1170377002549525,0.013675794184710205,0,0
dev_2015_06,2015-06-01,2015-07-03,-0.02625673306741294,4.0876668377591034,0.010037598880520415,0,0,-0.0026290937844355433,4.365831189399044,0.011017554088007961,0,0,-0.00562475138018792,3.913341349414583,0.009709685826010468,0,0,-0.006815919232782464,4.596542430744927,0.011652753760765636,0,0,-0.019567243018281943,5.0912470654416655,0.012973696868571197,0,0
dev_2015_06m,2015-06-15,2015-07-20,-0.023263478312701036,4.2700711884882505,0.010966394947688713,0,0,-0.023968599468262908,6.142894572871414,0.016454222406887244,0,0,-0.03277278632493019,5.746932958469371,0.015278160150682549,0,0,-0.027634371023446014,6.824385216307512,0.0184007335424531,0,0,-0.030316483631208535,6.668789750516861,0.017912689638814254,0,0
dev_2015_07,2015-07-01,2015-08-04,-0.1041219932393529,4.689990345185565,0.011640921172607637,0,0,-0.08296890474847385,6.947929953985715,0.018053879326392505,0,0,-0.0997110365733117,6.111716475228877,0.015647663020129696,0,0,-0.08611211803763019,7.324872751710301,0.019111605058687958,0,0,-0.08849945379779145,7.150280631633837,0.01858945946971197,0,0
dev_2015_07m,2015-07-15,2015-08-17,-0.07837406163256344,3.6575238647962065,0.008782020538893723,0,0,-0.0667343289716551,4.52979653192025,0.011468843571192495,0,0,-0.06291529900855775,3.3357834904856727,0.008092072076722436,0,0,-0.06488524846792021,4.5831813802814665,0.011611336040347696,0,0,-0.07034088356918189,4.783182829212201,0.012173540353919373,0,0
dev_2015_08,2015-08-03,2015-09-03,-0.04313299508353774,3.226954155425209,0.007703362726253053,0,0,-0.051140150508362514,3.5162531745615793,0.008547704135689784,0,0,-0.038362764929843585,3.0472808052295295,0.007181728518263329,0,0,-0.05218381092319657,4.186868300443241,0.010342511989181105,0,0,-0.04902874054177209,4.109144837257894,0.01015049889379413,0,0
dev_2015_08m,2015-08-17,2015-09-17,-0.0002682714362679528,4.64591514064881,0.011673170854673452,0,0,-0.015247562756474098,5.415749529486425,0.013916999197767791,0,0,-0.006816484444107984,4.510656962627314,0.011409734724351367,0,0,-0.02482374002789567,6.272514983909064,0.01616916730600886,0,0,-0.018856549679385992,6.592531727812359,0.017087830867755265,0,0
dev_2015_09,2015-09-01,2015-10-06,0.0674504095850117,4.7342199067326804,0.012708837361618168,0,0,0.049367877617432665,6.918846504004155,0.019164211808427565,0,0,0.04863153931188613,6.16158623881409,0.01702054483135247,0,0,0.047917971451585606,7.217825080594809,0.019956067844599235,0,0,0.04995471274744512,7.15632406037529,0.01981566954104212,0,0
dev_2015_09m,2015-09-15,2015-10-21,0.044914462497946506,3.9046937444885392,0.00999568258929394,0,0,0.03831256935042493,5.59589671936351,0.015037920067456453,0,0,0.041355679199418516,5.336677672648586,0.014307251310097613,0,0,0.04524919245731174,5.068810840288254,0.013515573502325347,0,0,0.03486089909260004,5.9357204420417675,0.016004695866705776,0,0
dev_2015_10,2015-10-01,2015-11-04,0.07706899570126757,3.189125568041897,0.008125063030826439,0,0,0.07257366159861389,5.744038123989718,0.015698159274426814,0,0,0.07710734054293833,4.837756527699025,0.01302225309627765,0,0,0.078650015352415,5.738098126436498,0.015700624219587563,0,0,0.08278221845964606,6.042808725939189,0.016648192646156214,0,0
