date,symbol,issue
2017-01-03,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:8358.TWO
2017-01-04,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:2383.TW
2017-01-05,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:1785.TWO;ACTIVE_CAP:3374.TWO
