candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,best_return,p90_MDD,median_trade_count,valid_episode_count,mean_return_excluding_top_5pct,median_return_without_tail_extremes,trimmed_each_tail_count,median_days_to_valid_portfolio,valid_portfolio_reached_count,valid_portfolio_unreached_count,analysis_status,median_day_1_invested_fraction,observed_day_1_invested_fraction_count,median_day_1_holding_count,observed_day_1_holding_count_count,median_day_3_invested_fraction,observed_day_3_invested_fraction_count,median_day_3_holding_count,observed_day_3_holding_count_count,median_day_5_invested_fraction,observed_day_5_invested_fraction_count,median_day_5_holding_count,observed_day_5_holding_count_count
coarse_001_target_count_25,200,130,187,70,0.65,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02433526619698212,0.02910140300741964,-0.008167817366878966,-0.04995395947595694,-0.10026584121509896,0.7,0.3,0.455,0.03671876251603068,0.17731002264055795,2.5764498352098277,1.0,-0.33108408804517725,-0.011932749369483242,-1.0,-1.0,0.35759419322066277,0.0824522726440202,124.5,130.0,0.020341584620518237,0.02433526619698212,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.903552153052725,200.0,25.0,200.0,0.8937425721652401,200.0,25.0,200.0,0.8945765215143154,187.0,25.0,187.0
coarse_002_target_count_30,200,130,187,70,0.65,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.022572110232281783,0.025905025341881972,-0.012724725660630792,-0.050876256388911856,-0.1351233467340187,0.7,0.3,0.455,0.034828457949618585,0.17711637644231581,2.5850629915773933,1.0,-0.3331617335277767,-0.018400625445318397,-1.0,-1.0,0.3486922848763734,0.0814728764389795,163.0,130.0,0.017260096830119157,0.022572110232281783,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9010270982421054,200.0,30.0,200.0,0.895494605377658,200.0,28.0,200.0,0.8967639914245931,187.0,27.0,187.0
coarse_003_return_short_5,200,131,187,69,0.655,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019188237659207408,0.027787824773028668,-0.010900466712301438,-0.051213800259910736,-0.13210242412064088,0.6717557251908397,0.3282442748091603,0.44,0.037066180676163296,0.21118468677526014,2.625231872051407,1.0,-0.3267989747736662,-0.011501936353437825,-1.0,-1.0,0.37445214291024187,0.08875921676837073,129.0,131.0,0.017853814733543267,0.019188237659207408,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9081183866864498,200.0,20.0,200.0,0.8759156894261912,200.0,20.0,200.0,0.8730169191774799,187.0,21.0,187.0
coarse_004_return_short_15,200,136,187,64,0.68,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.027382999290127885,0.03173462003613982,-0.01050891657398037,-0.04942228537158477,-0.14288336173654004,0.7058823529411765,0.29411764705882354,0.48,0.03680572607166166,0.20245547759077032,2.068455168427103,1.0,-0.2984204583754249,-0.006310397707990745,-1.0,-1.0,0.3870293937843987,0.09118581165854761,89.0,136.0,0.022790257637514723,0.027382999290127885,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9071770855837697,200.0,20.0,200.0,0.904706065794676,200.0,20.0,200.0,0.8958463296089595,187.0,20.0,187.0
coarse_005_return_long_20,200,136,187,64,0.68,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.024485980460846046,0.03132239297117687,-0.009889852498596141,-0.045662841586381786,-0.14006296458697431,0.6911764705882353,0.3088235294117647,0.47,0.03667521362090348,0.2060681725687924,2.3890028274264337,1.0,-0.2987007727795997,-0.00810221062199007,-1.0,-1.0,0.37815582336706943,0.08656052096339939,117.0,136.0,0.022533678433250964,0.024485980460846046,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9075707499568004,200.0,20.0,200.0,0.9032781248668267,200.0,20.0,200.0,0.8937521076007182,187.0,21.0,187.0
coarse_006_return_long_50,200,136,187,64,0.68,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.026745177639930007,0.032209665723226776,-0.0071905475622841,-0.05127511250219119,-0.1496141437602143,0.6911764705882353,0.3088235294117647,0.47,0.037751199016538284,0.21357045915388806,2.37066436270998,1.0,-0.2980974273082058,-0.005955680391313445,-1.0,-1.0,0.3844674924705076,0.088326448794039,117.0,136.0,0.023074950750786895,0.026745177639930007,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9074926392726017,200.0,20.0,200.0,0.9000745056127145,200.0,20.0,200.0,0.8938110480288386,187.0,21.0,187.0
coarse_007_ema_fast_8,200,136,187,64,0.68,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.028584939833717127,0.03323928867628321,-0.005823675188560445,-0.04551533138470659,-0.10243265321502937,0.7058823529411765,0.29411764705882354,0.48,0.03754532685535672,0.216488896085968,2.3790955112438414,1.0,-0.2973972837001274,-0.003712275834271639,-1.0,-1.0,0.3828592936472064,0.08554555166173516,114.0,136.0,0.024204037693024365,0.028584939833717127,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.907330201839947,200.0,20.0,200.0,0.902180666334782,200.0,20.0,200.0,0.8941697915008715,187.0,21.0,187.0
coarse_008_ema_fast_15,200,134,187,66,0.67,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.027468700111562883,0.03324773525364747,-0.006978117783823318,-0.044808411939044224,-0.10531589850520395,0.6940298507462687,0.30597014925373134,0.465,0.0367110585782221,0.21467024850589822,2.4040982964812114,1.0,-0.30772401738005617,-0.006775792743190345,-1.0,-1.0,0.37677877195674614,0.08512605120128743,114.0,134.0,0.024565105463094334,0.027468700111562883,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9079006074296568,200.0,20.0,200.0,0.9032781248668267,200.0,20.0,200.0,0.8936375816930917,187.0,21.0,187.0
coarse_009_ema_slow_20,200,137,190,63,0.685,0.95,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02062562927358713,0.029381598328910727,-0.00695282829795596,-0.05666451198779525,-0.1440065917810779,0.6861313868613139,0.31386861313868614,0.47,0.03745257090173981,0.21604996082429184,2.4207825068528295,1.0,-0.2948736051446961,-0.0045415592439192465,-1.0,-1.0,0.3908164144566655,0.09123141354538454,115.0,137.0,0.020003101331376196,0.02062562927358713,7.0,1.0,190.0,10.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9079704915538578,200.0,20.0,200.0,0.9024929817669253,200.0,20.0,200.0,0.8938385970624821,190.0,21.0,190.0
coarse_010_ema_slow_50,200,134,187,66,0.67,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02641687347997923,0.02969448081569922,-0.005925303202979931,-0.05068806304336191,-0.1496141437602143,0.6791044776119403,0.3208955223880597,0.455,0.03822320489962361,0.2107438632615286,2.367978509177958,1.0,-0.31010469785348155,-0.005895270201196345,-1.0,-1.0,0.4292628304106647,0.08650863218158478,112.0,134.0,0.020610467000730777,0.02641687347997923,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077628322395779,200.0,20.0,200.0,0.9032781248668267,200.0,20.0,200.0,0.8944159601069871,187.0,21.0,187.0
