candidate_id,source,requested_start,requested_end,requested_sessions,observed_sessions,observed_start,observed_end,complete_period,disqualified,measured_pass,long_horizon_return,forensic_partial_return,final_economic_nav,simulated_warning_days,analysis_status,execution_model,source_group,return_interpretation
coarse_013_macd_signal_3,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1113,2010-01-04,2014-07-09,False,True,False,,0.18077150609113235,1180771506.0911324,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_013_macd_signal_3,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_014_macd_signal_7,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1105,2010-01-04,2014-06-27,False,True,False,,0.3842998750867399,1384299875.08674,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_014_macd_signal_7,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_015_momentum_weight_0p45,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1513,2010-01-04,2016-03-01,False,True,False,,0.43019598653293434,1430195986.5329344,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_015_momentum_weight_0p45,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_016_momentum_weight_0p65,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1093,2010-01-04,2014-06-11,False,True,False,,0.25386981362082595,1253869813.620826,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_016_momentum_weight_0p65,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_017_long_return_fraction_0p1,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,897,2010-01-04,2013-08-20,False,True,False,,0.24673949385852278,1246739493.858523,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_017_long_return_fraction_0p1,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_018_long_return_fraction_0p3,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1420,2010-01-04,2015-10-08,False,True,False,,0.3675973383786455,1367597338.3786454,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_018_long_return_fraction_0p3,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_019_volume_low_0p6,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,2357,2010-01-04,2019-08-16,False,True,False,,1.7279929673718493,2727992967.371849,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_019_volume_low_0p6,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_020_volume_high_3p0,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,2460,2010-01-04,2020-01-16,False,True,False,,3.0002636209622127,4000263620.962213,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_020_volume_high_3p0,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_021_volatility_spike_ratio_1p5,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1583,2010-01-04,2016-06-14,False,True,False,,0.24983586336555752,1249835863.3655574,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_021_volatility_spike_ratio_1p5,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_022_volatility_spike_ratio_2p5,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1105,2010-01-04,2014-06-27,False,True,False,,0.3994318279856863,1399431827.9856863,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_022_volatility_spike_ratio_2p5,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_023_one_day_chase_return_0p03,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1097,2010-01-04,2014-06-17,False,True,False,,0.3547348766887548,1354734876.6887548,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_023_one_day_chase_return_0p03,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_024_one_day_chase_return_0p05,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1113,2010-01-04,2014-07-09,False,True,False,,0.7309284305338946,1730928430.5338945,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_024_one_day_chase_return_0p05,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_025_max_replacements_per_day_1,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1091,2010-01-04,2014-06-09,False,True,False,,0.6701850852174682,1670185085.2174683,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_025_max_replacements_per_day_1,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_026_cash_guard_ratio_0p1,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1146,2010-01-04,2014-08-26,False,True,False,,0.3780716266027355,1378071626.6027355,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_026_cash_guard_ratio_0p1,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
coarse_027_cash_guard_ratio_0p14,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1889,2010-01-04,2017-09-13,False,True,False,,1.7056450060516828,2705645006.051683,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/coarse_027_cash_guard_ratio_0p14,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
diagnostic_replacement_2,POST_FREEZE_REPLACEMENT_DIAGNOSTIC,2010-01-04,2026-09-23,4083,1284,2010-01-04,2015-03-23,False,True,False,,0.5109879830012882,1510987983.0012882,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/diagnostic_replacement_2,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
simple_momentum_reference,SANITY_REFERENCE,2010-01-04,2026-09-23,4083,1263,2010-01-04,2015-02-11,False,True,False,,0.3693466851039555,1369346685.1039555,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/simple_momentum_reference,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
x0352_daily_baseline,PRE_FREEZE_SEARCHED_PARAMETER_SET,2010-01-04,2026-09-23,4083,1113,2010-01-04,2014-07-09,False,True,False,,0.3843384960236369,1384338496.0236368,3,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,DAILY_OPEN_RESEARCH_PROXY,/home/bararesearch/Documents/dev/fintech_ETF/outputs/24d_diagnostics/continuous/x0352_daily_baseline,DISQUALIFIED_PARTIAL_NOT_LONG_HORIZON_RETURN
