model,period,return_economic
x0352,2025,0.7894704065625846
x0352,2026_YTD,1.286463045408964
v1,2025,0.6635926404988333
v1,2026_YTD,1.0927563721383136
0050,2025,0.33458704450898424
0050,2026_YTD,0.6580670804601745
