episode,period,start,end,mom20,mom25,resid20,resid25,turnover_mom20,turnover_mom25,turnover_resid20,turnover_resid25,mkt_r20,mkt_r60,mkt_vol20,dispersion,market_r2,beta_tilt,mkt_during,resid20 − mom20,resid25 − mom25,mom25 − mom20,resid25 − mom20
dev_2015_01,2015–2021,2015-01-05,2015-02-05,-0.01403742779286854,-0.0038485775746159856,-0.016284442713639824,-0.009738717937849306,3.370338872210958,3.157533186595083,3.7187297728891897,2.8624635940892413,-5.984795992119984e-17,0.11079685004079312,0.14160370341741352,0.06604524468103236,0.11257077581790612,0.04267640316968746,0.033657442802650005,-0.002247014920771284,-0.0058901403632333205,0.010188850218252554,0.004298709855019234
dev_2015_01m,2015–2021,2015-01-15,2015-02-25,0.010532878806884804,0.0026129258341911488,0.001646831068076171,-0.0014563209329286897,3.715534878994607,3.0566367430008015,4.122782437761483,3.0583361655645547,0.0076804917314820115,0.11533674108888173,0.18170535913987987,0.07925307947742934,0.08512408930128885,-0.023330548035674636,0.07926836430778395,-0.008886047738808633,-0.0040692467671198385,-0.007919952972693656,-0.011989199739813494
dev_2015_02,2015–2021,2015-02-02,2015-03-16,0.027517638962781366,0.03336084632372316,0.042844895242025505,0.04228367531408295,3.882701529786474,2.9071983154321726,3.679619355287608,2.992809901482408,0.017202715813435344,0.03816793893129737,0.16365515491734942,0.07326384511171832,0.18194507288513925,0.007761464636936832,0.013235316557042529,0.01532725627924414,0.008922828990359788,0.005843207360941793,0.014766036351301581
dev_2015_02m,2015–2021,2015-02-24,2015-03-30,0.014979381883829745,-0.0045796015144381474,0.02767939991406898,0.002465433713072951,3.7409302412057217,3.9487366047359687,3.2922116420848493,3.30140852990908,0.060305296919727816,0.05466968196720374,0.11367768726389695,0.062295417481751846,0.16465447131870536,0.2583099846903275,-0.009359163787563485,0.012700018030239235,0.007045035227511098,-0.019558983398267893,-0.012513948170756795
dev_2015_03,2015–2021,2015-03-02,2015-04-02,0.028218336895546425,0.011048373090556174,0.022119110650820062,0.02384604586110961,3.489652472540173,3.6441855132558936,3.555208194632963,2.991683750528858,0.04535320523059919,0.0523952071871628,0.1178520788113796,0.0628210535930269,0.16467340933548377,0.06541005624192686,-0.011379843769975685,-0.006099226244726363,0.012797672770553437,-0.01716996380499025,-0.004372291034436815
dev_2015_03m,2015–2021,2015-03-16,2015-04-20,0.010289708664025676,-0.0014947508226258455,0.012336231382959584,0.0036055439562565628,3.8086727183836633,3.2572252673401723,3.8766786529709036,2.95303919992407,0.0007203951190783738,0.04672190724058815,0.09613272945884602,0.07273424404084823,0.15263235547316772,-0.1979495050955528,-0.0071994243624321766,0.0020465227189339075,0.005100294778882408,-0.011784459486651522,-0.0066841647077691135
dev_2015_04,2015–2021,2015-04-01,2015-05-07,0.006593872178368265,-0.004964257914411685,0.008154229327289375,-0.012496214913401249,2.8395217149569634,2.4618741308578054,2.838162031165747,2.9072732104221846,-0.012160206803520836,0.041478127804204436,0.10206073454504612,0.06388440397564485,0.17531020300955283,-0.19297969765010353,0.020275073636636557,0.0015603571489211099,-0.007531956998989564,-0.01155813009277995,-0.019090087091769514
dev_2015_04m,2015–2021,2015-04-15,2015-05-19,5.9611560467853764e-05,-0.021832848675713334,-0.010569201199709166,-0.02445738523170138,3.04935769528179,2.7406864127138393,2.74921165707463,2.5934617685984502,0.0007199863780422196,0.06923076923076861,0.1119677352255559,0.06388866336967654,0.14108796112146502,-0.10618878060740788,0.025899324485723775,-0.01062881276017702,-0.002624536555988044,-0.021892460236181188,-0.024516996792169232
dev_2015_05,2015–2021,2015-05-04,2015-06-04,-0.029495726597272065,-0.031866669881676635,-0.03377093578696899,-0.03785585498014765,2.994427556455121,2.3313325907920825,3.148972390838945,2.325759225153373,0.034757332229013845,0.0400291138596669,0.1567194321883334,0.07466044669596611,0.13675231666882104,0.17525348287292064,-0.0398880139377135,-0.004275209189696927,-0.005989185098471017,-0.0023709432844045697,-0.008360128382875587
dev_2015_05m,2015–2021,2015-05-15,2015-06-17,-0.008562634158625348,0.0017675276159234699,-0.01034099530484478,-0.007568835811507579,3.195632456928281,2.948307167515983,2.543146407368194,2.340893507238164,0.02112158654061468,0.014471780348511811,0.15537263423962222,0.08682826789475219,0.13101234336346873,0.18219501468997823,-0.022824515106255563,-0.0017783611462194315,-0.00933636342743105,0.010330161774548818,0.0009937983471177692
dev_2015_06,2015–2021,2015-06-01,2015-07-03,-0.02625673306741294,-0.00611543146077842,-0.012575491891269497,0.0022192799663713902,4.0876668377591034,2.609434125460824,3.3337730760736908,2.7018152237983917,-0.004898509294193644,0.01716733794058518,0.11184721661721536,0.08564966305073435,0.13618354805657712,0.08757110763388154,-0.01406469791084411,0.013681241176143444,0.00833471142714981,0.02014130160663452,0.02847601303378433
dev_2015_06m,2015–2021,2015-06-15,2015-07-20,-0.023263478312701036,-0.019634333519001568,-0.014001821609950782,-0.028321313270815107,4.2700711884882505,3.182337600542237,4.095458689632069,3.1352612399907707,-0.017142813546316655,-0.0050614384150101275,0.12173459651732163,0.09045918275451285,0.16237683889009744,0.12628772946456368,-0.011627950817908761,0.009261656702750254,-0.00868697975181354,0.003629144793699468,-0.005057834958114071
dev_2015_07,2015–2021,2015-07-01,2015-08-04,-0.1041219932393529,-0.11645783531258358,-0.11073135941425949,-0.11984985683715688,4.689990345185565,4.71725867822818,4.239362349833352,4.256633947187472,-0.015602815235760084,0.01092498154886842,0.1445595799900624,0.08329827304812894,0.18011265492590145,-0.09198496262718081,-0.05907778651261599,-0.006609366174906595,-0.0033920215245732965,-0.012335842073230685,-0.01572786359780398
dev_2015_07m,2015–2021,2015-07-15,2015-08-17,-0.07837406163256344,-0.09102562127184488,-0.08643119310760483,-0.08392762178932966,3.6575238647962065,3.517319777709086,3.25947195558484,3.6223989997914723,-0.010174484688759538,-0.022955502785878237,0.18001777591211882,0.08143362647862963,0.22081498338133596,-0.11120930231662596,-0.0763582535206407,-0.00805713147504139,0.007097999482515216,-0.01265155963928144,-0.005553560156766224
dev_2015_08,2015–2021,2015-08-03,2015-09-03,-0.04313299508353774,-0.03451883400144484,-0.044227781974766844,-0.038583172626939666,3.226954155425209,3.012041173015123,3.281842311393807,3.027029156689244,-0.05634803187193245,-0.0722300323345066,0.16995200524153192,0.10233363314995915,0.21903793391864598,-0.27533997166423363,-0.06046863050237628,-0.0010947868912291048,-0.004064338625494823,0.008614161082092897,0.004549822456598074
dev_2015_08m,2015–2021,2015-08-17,2015-09-17,-0.0002682714362679528,0.0023394012726931646,-0.004331266848986548,0.0018100013693229666,4.64591514064881,3.499019047336959,4.163723394274712,3.180741906655407,-0.07591241989692629,-0.10593225270363939,0.13356911156191648,0.10585029015518241,0.2063622699798276,-0.17953056875270856,0.026856252502830406,-0.004062995412718595,-0.0005293999033701979,0.0026076727089611174,0.0020782728055909194
dev_2015_09,2015–2021,2015-09-01,2015-10-06,0.0674504095850117,0.05848048191216848,0.058857544196083245,0.07230084620583654,4.7342199067326804,4.080282673374241,4.5900540882899215,3.855026679291087,-0.04521073966190733,-0.09183672561504758,0.2712262921008545,0.09180306469063845,0.30134415100441847,0.14075883551839863,0.02568222003872189,-0.00859286538892845,0.013820364293668064,-0.008969927672843214,0.0048504366208248495
dev_2015_09m,2015–2021,2015-09-15,2015-10-21,0.044914462497946506,0.038882985825770655,0.03657906457570381,0.055391514662257446,3.9046937444885392,3.1554004659611037,4.142766679990536,3.5942466595405564,0.011923688105022427,-0.06944444289526566,0.3125817789997619,0.07201394023651837,0.3137546254502887,0.19057923137864385,0.029065175644480412,-0.008335397922242693,0.01650852883648679,-0.006031476672175851,0.01047705216431094
dev_2015_10,2015–2021,2015-10-01,2015-11-04,0.07706899570126757,0.07588401648456133,0.07855369804131174,0.07470240122356842,3.189125568041897,2.3586364894606975,3.193130731128818,2.887140633951938,0.0016051731949123132,-0.10984304016903479,0.2252144935047622,0.094316370699385,0.31015229693633695,0.19055595334231623,0.08302860787279445,0.001484702340044164,-0.0011816152609929187,-0.001184979216706239,-0.0023665944776991577
dev_2015_10m,2015–2021,2015-10-15,2015-11-17,-0.010699054635957994,0.01521495167146103,-0.008516853646258982,0.009725966679534626,3.9981646964440767,2.402532198413563,3.8544622727903644,3.2966478728243658,0.024409496878076375,-0.05036491895243996,0.17943335971031177,0.06714892801095258,0.29171522131614447,0.099255620271688,-0.011808899215929905,0.0021822009896990124,-0.005488984991926404,0.025914006307419024,0.02042502131549262
dev_2015_11,2015–2021,2015-11-02,2015-12-03,0.04920132620876161,0.06294553427055938,0.0603477166721893,0.06156724995562546,3.4728471936787884,2.8858603467507224,3.541002222113004,3.3974840222185287,0.02449959460667141,-0.0021719814916911443,0.11681808997949412,0.0682599007752661,0.301010451510546,-0.0003144051592821606,-0.012658215623466595,0.011146390463427691,-0.0013782843149339197,0.013744208061797769,0.01236592374686385
dev_2015_11m,2015–2021,2015-11-16,2015-12-17,0.1263706391983468,0.11449221011104971,0.12238888076089571,0.11218886188254329,2.649961762151054,2.955354129909167,2.948885750029481,2.8810408920053394,-0.034089789769317334,0.01532529332212878,0.15109750535157063,0.07797516909785193,0.32959819949205466,-0.03454332883460165,-0.008928559264358031,-0.003981758437451077,-0.002303348228506419,-0.011878429087297082,-0.014181777315803501
dev_2015_12,2015–2021,2015-12-01,2016-01-04,0.006240985490443496,-0.018051625791982717,0.0012854782195821368,-0.005789153675732628,2.6850791797306,2.6562427782207045,2.684467000807903,2.376665964412792,-0.03317533174457919,0.016041976488388406,0.19686159658285887,0.10208177352616953,0.2626846289476425,-0.23412478240193157,-0.026960808910285215,-0.004955507270861359,0.01226247211625009,-0.024292611282426213,-0.012030139166176124
dev_2015_12m,2015–2021,2015-12-15,2016-01-18,-0.04237674177910267,-0.02896811642211561,-0.05071145857923276,-0.030028544369948396,3.779881843388896,3.3493280150877958,3.87120230317369,2.9127822419685074,-0.028618151370926683,-0.041620754365504435,0.18800066328078147,0.11240125086836586,0.26298880219701887,-0.013042927493821299,-0.03872058910227098,-0.008334716800130093,-0.0010604279478327872,0.013408625356987058,0.012348197409154271
dev_2016_01,2015–2021,2016-01-04,2016-02-15,-0.00701113654166774,-0.01620547823592544,-0.030475921524863114,-0.01635131379909449,5.057674457390622,4.773843516715346,5.069280449808479,4.44428418351447,-0.026442331498896236,-0.034197946071597804,0.13672595562102924,0.07998512655011665,0.2264532052993112,-0.11497787662874703,-0.037776452447488694,-0.023464784983195375,-0.00014583556316905,-0.009194341694257702,-0.009340177257426752
dev_2016_01m,2015–2021,2016-01-15,2016-02-26,0.1126132721646016,0.10390141326468982,0.11153105657242901,0.11291716189773049,3.7471726566271415,4.142284433644917,4.655674145301378,4.6624270506127505,-0.06048049384370429,-0.1075301008361209,0.1426851095495605,0.0852802069617982,0.2539231448208118,-0.1815312480795287,0.0702698213298235,-0.0010822155921725862,0.009015748633040666,-0.008711858899911773,0.00030388973312889256
dev_2016_02,2015–2021,2016-02-01,2016-03-15,0.10121121844817527,0.11615508714868317,0.10270546577673434,0.11862738027001418,3.6297862222716977,2.8757787073771066,3.71478208758641,3.3241127295726045,-0.02880658436214002,-0.09785934826540386,0.20553174905935104,0.07685847309684424,0.27127572336447475,0.04974381125264404,0.05877414013167269,0.001494247328559073,0.002472293121331015,0.0149438687005079,0.017416161821838916
dev_2016_02m,2015–2021,2016-02-15,2016-03-18,0.10385801359969205,0.11119358529711088,0.11294900388167162,0.12746198810705933,3.095181089083942,2.891660058254471,3.0312468932637695,2.8187314089662534,-0.0007606107181584132,-0.07145402783729626,0.1949642682205922,0.0804353001652249,0.2626176264380156,0.12899950395471438,0.09754022240687815,0.009090990281979572,0.016268402809948457,0.00733557169741883,0.023603974507367287
dev_2016_03,2015–2021,2016-03-01,2016-04-01,-0.02027955957409522,-0.0018482892069103807,-0.012814794766024207,-0.0039170867947221355,3.7341506055028755,2.962316809283138,3.0611560918459295,2.61183820336386,0.08558672682429665,-0.02043100986924572,0.1635224849678005,0.08734970550960218,0.2516697388046385,0.20823217225253332,0.043265331034758055,0.007464764808071012,-0.002068797587811755,0.018431270367184838,0.016362472779373083
dev_2016_03m,2015–2021,2016-03-15,2016-04-19,-0.04705030565735491,-0.03181226100359591,-0.04087015442503539,-0.03818799320549349,5.489231395593648,3.859848927834112,4.671963844139349,3.4298363221621897,0.08566580443940164,0.031039038964906396,0.11326930263577585,0.10453729147326761,0.2319372848885823,0.035044381354342846,-0.006250023841857637,0.00618015123231952,-0.006375732201897577,0.015238044653758998,0.00886231245186142
dev_2016_04,2015–2021,2016-04-01,2016-05-09,-0.06635361252655159,-0.05431694923700647,-0.07069621232557843,-0.06293057565591653,4.398963518103862,3.5922389767386265,4.491772165644224,4.182348401914837,0.027005571760696834,0.03981981565739237,0.1063505695949544,0.061823763028597795,0.23854362825970335,-0.02532865699992648,-0.07656613528397217,-0.004342599799026847,-0.008613626418910059,0.012036663289545113,0.0034230368706350545
