date,symbol,issue
2012-10-22,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:5903.TWO;ACTIVE_CAP:6147.TWO
2012-10-23,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:2409.TW;ACTIVE_CAP:3481.TW;ACTIVE_CAP:3680.TWO;ACTIVE_CAP:6147.TWO
2012-10-24,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:1101.TW;ACTIVE_CAP:2301.TW;ACTIVE_CAP:2404.TW;ACTIVE_CAP:6147.TWO
