date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2012-10-22,1005004588.9845853,105105738.98458527,22,ACTIVE_CAP:5903.TWO;ACTIVE_CAP:6147.TWO,True,1,True,22,False,5903.TWO;6147.TWO,,,1000000000.0,1000000000.0,0,0,UNKNOWN,BLOCK_SUBMISSION
2012-10-23,993828718.53806,99521108.53806,22,ACTIVE_CAP:2409.TW;ACTIVE_CAP:3481.TW;ACTIVE_CAP:3680.TWO;ACTIVE_CAP:6147.TWO,True,2,True,22,False,2409.TW;3481.TW;3680.TWO;6147.TWO,,,1000000000.0,1000000000.0,0,0,UNKNOWN,BLOCK_SUBMISSION
2012-10-24,995105332.2746974,102126212.27469744,22,ACTIVE_CAP:1101.TW;ACTIVE_CAP:2301.TW;ACTIVE_CAP:2404.TW;ACTIVE_CAP:6147.TWO,True,3,True,22,True,1101.TW;2301.TW;2404.TW;6147.TWO,,,1000000000.0,1000000000.0,0,0,UNKNOWN,BLOCK_SUBMISSION
