date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2010-01-04,993931653.2205863,993931653.2205863,100965653.22058636,0.10158208856054889,22,0.0,0,1279300.9403207074,0.0,1279300.9403207074,897755045.839093,0.8977550458390929,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-05,985279493.2205863,985279493.2205863,100965653.22058636,0.10247412426149213,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-06,984672053.2205863,984672053.2205863,100965653.22058636,0.10253734011273703,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-07,976837147.8121146,976837147.8121146,98738157.8121146,0.10107944608092029,22,0.0,0,116861.72225293686,120026.4283267797,236888.15057971654,82008226.14241183,0.08328481129751363,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-08,977358667.5278267,977358667.5278267,97984767.52782667,0.10025466677005442,22,0.0,0,113870.12443757853,119082.63259077225,232952.75702835078,79908859.25444108,0.08180366546605862,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-11,982591423.7144073,982591423.7144073,93451823.71440735,0.09510751005859518,22,0.0,0,117341.65586497975,117069.73385390172,234411.38971888146,82345021.6596349,0.0842526130841219,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-12,993339339.1240258,993339339.1240258,89811539.12402582,0.09041375448114834,22,0.0,0,115588.374308091,116559.76828420142,232148.14259229242,81114648.63725686,0.08255175719998248,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-13,981811040.1163881,981811040.1163881,85779740.11638802,0.08736888933966289,22,0.0,0,114160.21592248288,114463.88598085394,228624.10190333682,80112432.22630377,0.08064961194122318,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-14,994971840.1163881,994971840.1163881,85779740.11638802,0.08621323404123059,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-01-15,1005909390.1163881,1005909390.1163881,85779740.11638802,0.08527581207534303,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
