symbol,code,name,market,shares,close,market_cap,rank,as_of,known_at_assumption,universe_type
2912.TW,2912,統一超,TWSE,1039622255.0,263.0,273420653065.0,36,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2609.TW,2609,陽明,TWSE,3492104270.0,75.7,264352293239.0,37,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3661.TW,3661,世芯-KY,TWSE,80496970.0,3280.0,264030061600.0,38,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
4938.TW,4938,和碩,TWSE,2663188103.0,91.9,244746986665.7,39,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2618.TW,2618,長榮航,TWSE,5400444335.0,44.35,239509706257.25,40,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1101.TW,1101,台泥,TWSE,7551181742.0,31.7,239372461221.4,41,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3017.TW,3017,奇鋐,TWSE,383310157.0,623.0,238802227811.0,42,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1303.TW,1303,南亞,TWSE,7930821589.0,29.9,237131565511.09998,43,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2301.TW,2301,光寶科,TWSE,2347249963.0,99.5,233551371318.5,44,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2615.TW,2615,萬海,TWSE,2806146293.0,81.1,227578464362.3,45,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1301.TW,1301,台塑,TWSE,6365740781.0,35.5,225983797725.5,46,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2887.TW,2887,台新新光金,TWSE,12976144312.0,17.4,225784911028.8,47,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3533.TW,3533,嘉澤,TWSE,111857198.0,1955.0,218680822090.0,48,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3653.TW,3653,健策,TWSE,142892651.0,1525.0,217911292775.0,49,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3037.TW,3037,欣興,TWSE,1525096697.0,141.0,215038634277.0,50,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2383.TW,2383,台光電,TWSE,345221859.0,618.0,213347108862.0,51,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6446.TW,6446,藥華藥,TWSE,341791391.0,615.0,210201705465.0,52,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2888.TW,2888,新光金,TWSE,17157629042.0,11.8,202460022695.6,53,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2801.TW,2801,彰銀,TWSE,11205758337.0,17.85,200022786315.45,54,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5876.TW,5876,上海商銀,TWSE,4861603140.0,39.6,192519484344.0,55,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5871.TW,5871,中租-KY,TWSE,1677863884.0,113.0,189598618892.0,56,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
