decision,learning_rate,trees,tree_cap,n_train_rows,latest_label_end,seconds
2021-03-02,0.01,17,3000,46138,2021-02-26,1.3475
2021-03-02,0.005,28,3000,46138,2021-02-26,1.6872
2021-03-02,0.001,144,15000,46138,2021-02-26,7.2467
2021-03-02,0.0005,287,30000,46138,2021-02-26,14.4132
2021-04-01,0.05,32,3000,48613,2021-03-31,1.2004
2021-04-01,0.01,168,3000,48613,2021-03-31,2.3008
2021-04-01,0.005,348,3000,48613,2021-03-31,3.9606
2021-04-01,0.001,1708,15000,48613,2021-03-31,19.4613
2021-04-01,0.0005,6785,30000,48613,2021-03-31,67.0413
2021-05-03,0.05,89,3000,50535,2021-04-29,1.5327
2021-05-03,0.01,583,3000,50535,2021-04-29,5.2576
2021-05-03,0.005,440,3000,50535,2021-04-29,4.7607
2021-05-03,0.001,5908,15000,50535,2021-04-29,52.8455
2021-05-03,0.0005,3543,30000,50535,2021-04-29,41.0718
2021-06-01,0.05,19,3000,52862,2021-05-31,1.2435
2021-06-01,0.01,145,3000,52862,2021-05-31,2.3867
2021-06-01,0.005,251,3000,52862,2021-05-31,3.3089
2021-06-01,0.001,1155,15000,52862,2021-05-31,16.6557
2021-06-01,0.0005,4170,30000,52862,2021-05-31,48.3865
2021-07-01,0.05,24,3000,55202,2021-06-30,1.2763
2021-07-01,0.01,114,3000,55202,2021-06-30,2.307
2021-07-01,0.005,241,3000,55202,2021-06-30,3.5475
2021-07-01,0.001,1163,15000,55202,2021-06-30,16.4452
2021-07-01,0.0005,2374,30000,55202,2021-06-30,34.2877
2021-08-02,0.05,64,3000,57539,2021-07-30,1.5666
2021-08-02,0.01,163,3000,57539,2021-07-30,2.5847
2021-08-02,0.005,341,3000,57539,2021-07-30,4.4002
2021-08-02,0.001,1639,15000,57539,2021-07-30,19.9519
2021-08-02,0.0005,3278,30000,57539,2021-07-30,42.9821
2021-09-01,0.05,20,3000,60020,2021-08-31,1.3316
2021-09-01,0.01,144,3000,60020,2021-08-31,2.52
2021-09-01,0.005,281,3000,60020,2021-08-31,4.2444
2021-09-01,0.001,1231,15000,60020,2021-08-31,18.7838
2021-09-01,0.0005,2460,30000,60020,2021-08-31,37.3683
2021-10-01,0.05,1,3000,62239,2021-09-30,1.2747
2021-10-01,0.01,1,3000,62239,2021-09-30,1.5272
2021-10-01,0.005,2,3000,62239,2021-09-30,1.7454
2021-10-01,0.001,8,15000,62239,2021-09-30,7.9464
2021-10-01,0.0005,22,30000,62239,2021-09-30,15.4477
2021-11-01,0.05,12,3000,64459,2021-10-29,1.1039
2021-11-01,0.01,90,3000,64459,2021-10-29,1.9492
2021-11-01,0.005,187,3000,64459,2021-10-29,3.1142
2021-11-01,0.001,876,15000,64459,2021-10-29,15.88
2021-11-01,0.0005,1758,30000,64459,2021-10-29,32.4661
2021-12-01,0.05,7,3000,66972,2021-11-30,1.1455
2021-12-01,0.01,57,3000,66972,2021-11-30,1.7107
2021-12-01,0.005,123,3000,66972,2021-11-30,2.3513
2021-12-01,0.001,592,15000,66972,2021-11-30,12.4376
2021-12-01,0.0005,1132,30000,66972,2021-11-30,26.1031
2022-01-03,0.05,3,3000,69349,2021-12-30,1.3223
2022-01-03,0.01,13,3000,69349,2021-12-30,1.8075
2022-01-03,0.005,31,3000,69349,2021-12-30,2.0762
2022-01-03,0.001,174,15000,69349,2021-12-30,9.3894
2022-01-03,0.0005,346,30000,69349,2021-12-30,18.8157
2022-02-07,0.05,2,3000,71434,2022-01-26,1.3866
2022-02-07,0.01,8,3000,71434,2022-01-26,1.894
2022-02-07,0.005,16,3000,71434,2022-01-26,1.8863
2022-02-07,0.001,80,15000,71434,2022-01-26,9.0014
2022-02-07,0.0005,154,30000,71434,2022-01-26,17.6525
2022-03-01,0.05,212,3000,73099,2022-02-25,2.9969
2022-03-01,0.01,1053,3000,73099,2022-02-25,10.532
2022-03-01,0.005,1157,3000,73099,2022-02-25,12.5308
2022-03-01,0.001,5714,15000,73099,2022-02-25,68.7532
2022-03-01,0.0005,11534,30000,73099,2022-02-25,163.3482
2022-04-01,0.05,2,3000,75600,2022-03-31,1.3495
2022-04-01,0.01,9,3000,75600,2022-03-31,1.8601
2022-04-01,0.005,18,3000,75600,2022-03-31,1.9484
2022-04-01,0.001,83,15000,75600,2022-03-31,8.9591
2022-04-01,0.0005,156,30000,75600,2022-03-31,17.3415
2022-05-03,0.05,1,3000,77697,2022-04-29,1.5175
2022-05-03,0.01,1,3000,77697,2022-04-29,1.7505
2022-05-03,0.005,1,3000,77697,2022-04-29,1.8413
2022-05-03,0.001,17,15000,77697,2022-04-29,8.4042
