stage,strategy,n,n_failed,mean,median,p25,p10,worst,paired_n,paired_mean_delta,paired_median_delta,paired_win_rate,mdd,turnover,cost_pct,warnings,disqualified,disqualification_rate,runtime_seconds_per_episode,top25_overlap,top35_overlap,entries_per_day,exits_per_day,target_one_way_turnover_per_day
smoke,momentum_20d,6,0,0.022972,0.029381,-0.008935,-0.039041,-0.061638,6,0.0,0.0,0.0,0.049296,3.469676,0.008887,0,0,0.0,0.124657,,,,,
smoke,lgbm_control,6,0,0.017065,0.012862,0.006529,-0.021325,-0.047784,6,-0.005907,0.002493,0.5,0.059029,6.075798,0.016396,0,0,0.0,16.365201,0.769275,0.791718,4.097222,3.055556,0.132827
smoke,lgbm_relaxed_volatility,6,0,0.029853,0.034947,0.017675,-0.017887,-0.047784,6,0.006881,0.014979,0.666667,0.055067,5.901004,0.015936,0,0,0.0,16.140253,0.775942,0.795652,4.0,2.958333,0.128448
smoke,lgbm_refit_on_all,6,0,0.035091,0.050231,-0.005735,-0.023662,-0.02945,6,0.012119,0.01336,0.666667,0.057982,3.898897,0.01009,0,0,0.0,19.45802,0.84087,0.838923,2.798611,1.756944,0.08578
smoke,lgbm_both,6,0,0.031005,0.048345,-0.008292,-0.02608,-0.02945,6,0.008033,0.0091,0.666667,0.055192,3.904752,0.010091,0,0,0.0,19.739651,0.835072,0.835404,2.798611,1.756944,0.08561
smoke,autots,6,0,0.026037,0.031364,-0.003161,-0.016781,-0.025328,6,0.003064,0.002572,0.5,0.054732,3.059256,0.007705,0,0,0.0,22.405778,,,,,
full,momentum_20d,46,0,0.039907,0.055952,-0.017978,-0.061449,-0.224628,46,0.0,0.0,0.0,0.064323,3.39245,0.008661,0,0,0.0,0.186955,,,,,
full,lgbm_control,46,0,0.042219,0.035408,-0.008638,-0.079765,-0.275766,46,0.002312,0.009062,0.586957,0.077859,5.300345,0.01428,0,0,0.0,22.551678,0.792174,0.80929,3.644928,2.608696,0.117361
full,lgbm_relaxed_volatility,46,0,0.042588,0.044933,-0.018381,-0.059364,-0.275766,46,0.002681,0.009292,0.586957,0.076589,5.100742,0.013676,0,0,0.0,21.939187,0.794556,0.811693,3.527174,2.488225,0.112573
full,lgbm_refit_on_all,46,0,0.051225,0.066243,-0.001796,-0.048564,-0.271959,46,0.011318,0.010963,0.630435,0.075401,4.285936,0.011344,0,0,0.0,24.281434,0.823138,0.828841,3.038043,2.005435,0.095185
full,lgbm_both,46,0,0.049298,0.065795,-0.006413,-0.050876,-0.271959,46,0.009391,0.013243,0.608696,0.075423,4.136271,0.010903,0,0,0.0,24.12122,0.826692,0.833135,2.950181,1.911232,0.091825
full,autots,46,0,0.028367,0.037471,-0.014884,-0.063834,-0.244786,46,-0.011539,-0.003893,0.413043,0.064513,3.528503,0.00904,0,0,0.0,23.376664,,,,,
