strategy,stage,episode,date,best_iteration,validation_pearson,train_pearson,n_train_rows,n_validation_rows,refit_rows,train_start,validation_end
lgbm_both,smoke,dev_2021_07,2021-07-15,248,0.12654,0.432862,56479,16683,73162,2019-01-02,2021-06-30
lgbm_both,smoke,dev_2021_07,2021-07-22,575,0.11268,0.494952,57032,16828,73860,2019-01-02,2021-07-07
lgbm_both,smoke,dev_2021_07,2021-07-29,443,0.084534,0.473209,57586,16977,74563,2019-01-02,2021-07-14
lgbm_both,smoke,dev_2021_11m,2021-11-15,167,0.051954,0.391665,65777,19049,84826,2019-01-02,2021-10-29
lgbm_both,smoke,dev_2021_11m,2021-11-22,2,0.045524,0.332446,66335,19194,85529,2019-01-02,2021-11-05
lgbm_both,smoke,dev_2021_11m,2021-11-29,167,0.07552,0.39437,66893,19339,86232,2019-01-02,2021-11-12
lgbm_both,smoke,dev_2021_11m,2021-12-06,90,0.099632,0.37231,67453,19484,86937,2019-01-02,2021-11-19
lgbm_both,smoke,dev_2021_11m,2021-12-13,148,0.11929,0.391402,68013,19624,87637,2019-01-02,2021-11-26
lgbm_control,full,dev_2020_01,2020-01-02,136,0.007156,0.515905,15808,6327,,2019-01-02,2019-12-17
lgbm_control,full,dev_2020_01,2020-01-09,2,0.025498,0.364253,16357,6468,,2019-01-02,2019-12-24
lgbm_control,full,dev_2020_01,2020-01-16,1,0.012279,0.363613,16908,6608,,2019-01-02,2019-12-31
lgbm_control,full,dev_2020_01,2020-02-03,118,-0.003121,0.485442,17457,6750,,2019-01-02,2020-01-08
lgbm_control,full,dev_2020_01,2020-02-10,1,0.026163,0.34046,18005,6887,,2019-01-02,2020-01-15
lgbm_control,full,dev_2020_01m,2020-01-15,154,0.011502,0.500677,16770,6608,,2019-01-02,2019-12-30
lgbm_control,full,dev_2020_01m,2020-01-31,1,0.043991,0.360952,17319,6749,,2019-01-02,2020-01-07
lgbm_control,full,dev_2020_01m,2020-02-07,2,0.013943,0.347048,17868,6887,,2019-01-02,2020-01-14
lgbm_control,full,dev_2020_01m,2020-02-14,2,0.006745,0.362397,18418,7025,,2019-01-02,2020-01-30
lgbm_control,full,dev_2020_01m,2020-02-21,53,0.015543,0.436752,18966,7167,,2019-01-02,2020-02-06
lgbm_control,full,dev_2020_02,2020-02-03,118,-0.003121,0.485442,17457,6750,,2019-01-02,2020-01-08
lgbm_control,full,dev_2020_02,2020-02-10,1,0.026163,0.34046,18005,6887,,2019-01-02,2020-01-15
lgbm_control,full,dev_2020_02,2020-02-17,101,0.019085,0.488886,18555,7025,,2019-01-02,2020-01-31
lgbm_control,full,dev_2020_02,2020-02-24,65,0.028221,0.468817,19104,7154,,2019-01-02,2020-02-07
lgbm_control,full,dev_2020_02,2020-03-03,74,0.015312,0.449144,19655,7291,,2019-01-02,2020-02-14
lgbm_control,full,dev_2020_02m,2020-02-17,101,0.019085,0.488886,18555,7025,,2019-01-02,2020-01-31
lgbm_control,full,dev_2020_02m,2020-02-24,65,0.028221,0.468817,19104,7154,,2019-01-02,2020-02-07
lgbm_control,full,dev_2020_02m,2020-03-03,74,0.015312,0.449144,19655,7291,,2019-01-02,2020-02-14
lgbm_control,full,dev_2020_02m,2020-03-10,3,0.031359,0.348868,20204,7429,,2019-01-02,2020-02-21
lgbm_control,full,dev_2020_02m,2020-03-17,1,-0.016173,0.32577,20754,7569,,2019-01-02,2020-03-02
lgbm_control,full,dev_2020_03,2020-03-02,91,0.012443,0.460768,19517,7291,,2019-01-02,2020-02-13
lgbm_control,full,dev_2020_03,2020-03-09,76,0.013604,0.447849,20067,7430,,2019-01-02,2020-02-20
lgbm_control,full,dev_2020_03,2020-03-16,1,-0.009333,0.3298,20616,7568,,2019-01-02,2020-02-27
lgbm_control,full,dev_2020_03,2020-03-23,15,-0.115102,0.347522,21166,7709,,2019-01-02,2020-03-06
lgbm_control,full,dev_2020_03,2020-03-30,1,-0.122576,0.319714,21717,7776,,2019-01-02,2020-03-13
lgbm_control,full,dev_2020_03m,2020-03-16,1,-0.009333,0.3298,20616,7568,,2019-01-02,2020-02-27
lgbm_control,full,dev_2020_03m,2020-03-23,15,-0.115102,0.347522,21166,7709,,2019-01-02,2020-03-06
lgbm_control,full,dev_2020_03m,2020-03-30,1,-0.122576,0.319714,21717,7776,,2019-01-02,2020-03-13
lgbm_control,full,dev_2020_03m,2020-04-08,84,0.127117,0.428448,22269,7891,,2019-01-02,2020-03-20
lgbm_control,full,dev_2020_03m,2020-04-15,95,0.326012,0.43131,22820,8024,,2019-01-02,2020-03-27
lgbm_control,full,dev_2020_04,2020-04-01,1,-0.070938,0.31653,21993,7774,,2019-01-02,2020-03-17
lgbm_control,full,dev_2020_04,2020-04-10,89,0.274461,0.432175,22544,7889,,2019-01-02,2020-03-24
lgbm_control,full,dev_2020_04,2020-04-17,2,0.355741,0.318969,23095,8020,,2019-01-02,2020-03-31
lgbm_control,full,dev_2020_04,2020-04-24,305,0.37137,0.526021,23647,8151,,2019-01-02,2020-04-09
lgbm_control,full,dev_2020_04,2020-05-04,287,0.38432,0.516703,24199,8284,,2019-01-02,2020-04-16
lgbm_control,full,dev_2020_04m,2020-04-15,95,0.326012,0.43131,22820,8024,,2019-01-02,2020-03-27
lgbm_control,full,dev_2020_04m,2020-04-22,211,0.368339,0.491959,23371,8154,,2019-01-02,2020-04-07
lgbm_control,full,dev_2020_04m,2020-04-29,280,0.375563,0.512676,23923,8286,,2019-01-02,2020-04-14
lgbm_control,full,dev_2020_04m,2020-05-07,205,0.391761,0.480646,24475,8419,,2019-01-02,2020-04-21
lgbm_control,full,dev_2020_04m,2020-05-14,265,0.391745,0.499922,25027,8550,,2019-01-02,2020-04-28
lgbm_control,full,dev_2020_05,2020-05-04,287,0.38432,0.516703,24199,8284,,2019-01-02,2020-04-16
lgbm_control,full,dev_2020_05,2020-05-11,201,0.390149,0.477648,24751,8417,,2019-01-02,2020-04-23
lgbm_control,full,dev_2020_05,2020-05-18,8,0.383309,0.344059,25303,8546,,2019-01-02,2020-04-30
lgbm_control,full,dev_2020_05,2020-05-25,280,0.392519,0.494404,25855,8674,,2019-01-02,2020-05-08
lgbm_control,full,dev_2020_05,2020-06-01,249,0.39606,0.482919,26404,8817,,2019-01-02,2020-05-15
lgbm_control,full,dev_2020_05m,2020-05-15,19,0.390279,0.358824,25165,8548,,2019-01-02,2020-04-29
lgbm_control,full,dev_2020_05m,2020-05-22,156,0.384671,0.446188,25717,8676,,2019-01-02,2020-05-07
lgbm_control,full,dev_2020_05m,2020-05-29,194,0.387708,0.458642,26266,8818,,2019-01-02,2020-05-14
lgbm_control,full,dev_2020_05m,2020-06-05,94,0.380929,0.410685,26818,8947,,2019-01-02,2020-05-21
lgbm_control,full,dev_2020_05m,2020-06-12,188,0.346278,0.450081,27370,9077,,2019-01-02,2020-05-28
lgbm_control,full,dev_2020_06,2020-06-01,249,0.39606,0.482919,26404,8817,,2019-01-02,2020-05-15
lgbm_control,full,dev_2020_06,2020-06-08,167,0.357654,0.448834,26956,8946,,2019-01-02,2020-05-22
lgbm_control,full,dev_2020_06,2020-06-15,292,0.333022,0.49136,27508,9075,,2019-01-02,2020-05-29
lgbm_control,full,dev_2020_06,2020-06-22,150,0.315176,0.427694,28045,9203,,2019-01-02,2020-06-05
lgbm_control,full,dev_2020_06,2020-07-01,32,0.288011,0.339905,28596,9329,,2019-01-02,2020-06-12
lgbm_control,full,dev_2020_06m,2020-06-15,292,0.333022,0.49136,27508,9075,,2019-01-02,2020-05-29
lgbm_control,full,dev_2020_06m,2020-06-22,150,0.315176,0.427694,28045,9203,,2019-01-02,2020-06-05
lgbm_control,full,dev_2020_06m,2020-07-01,32,0.288011,0.339905,28596,9329,,2019-01-02,2020-06-12
lgbm_control,full,dev_2020_06m,2020-07-08,181,0.263203,0.440156,29146,9489,,2019-01-02,2020-06-19
lgbm_control,full,dev_2020_06m,2020-07-15,622,0.234122,0.538004,29700,9658,,2019-01-02,2020-06-30
lgbm_control,full,dev_2020_07,2020-07-01,32,0.288011,0.339905,28596,9329,,2019-01-02,2020-06-12
lgbm_control,full,dev_2020_07,2020-07-08,181,0.263203,0.440156,29146,9489,,2019-01-02,2020-06-19
lgbm_control,full,dev_2020_07,2020-07-15,622,0.234122,0.538004,29700,9658,,2019-01-02,2020-06-30
lgbm_control,full,dev_2020_07,2020-07-22,294,0.213091,0.47609,30253,9808,,2019-01-02,2020-07-07
lgbm_control,full,dev_2020_07,2020-07-29,1,0.088074,0.327813,30771,9940,,2019-01-02,2020-07-14
lgbm_control,full,dev_2020_07m,2020-07-15,622,0.234122,0.538004,29700,9658,,2019-01-02,2020-06-30
lgbm_control,full,dev_2020_07m,2020-07-22,294,0.213091,0.47609,30253,9808,,2019-01-02,2020-07-07
lgbm_control,full,dev_2020_07m,2020-07-29,1,0.088074,0.327813,30771,9940,,2019-01-02,2020-07-14
lgbm_control,full,dev_2020_07m,2020-08-05,263,0.050356,0.469968,31265,10075,,2019-01-02,2020-07-21
lgbm_control,full,dev_2020_07m,2020-08-12,1,0.079245,0.405883,31812,10212,,2019-01-02,2020-07-28
