date,symbol,issue
2016-11-01,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:6548.TWO
2016-11-02,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:6548.TWO
2016-11-11,6548.TWO,STALE_HELD_PRICES
