date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2017-07-03,997395577.13649,997395577.13649,98035637.13648999,0.0982916301052277,22,0.0,0,1283470.2719429831,0.0,1283470.2719429831,900680892.5915669,0.9006808925915669,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-04,979132618.7935574,979132618.7935574,65873318.793557435,0.06727721815122811,22,0.0,0,152778.42824719156,112974.55010807255,265752.9783552641,107212932.10329232,0.1074928890411759,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-05,983083450.9450455,984646949.6598791,83369640.94504553,0.0848042359627778,22,1563498.7148336445,0,195076.80938753017,232229.45250167666,427306.2618892068,136896006.58774048,0.139813549217079,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-06,982801691.4560013,988783561.442835,83184061.45600124,0.0846397215014615,22,5981869.986833644,0,197342.85120011502,208059.0506719944,405401.9018721094,138486211.36850178,0.14086923265301024,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-07,969077155.3432672,975059025.3301009,66788095.3432672,0.06891927539000697,22,5981869.986833644,0,195966.87941984646,182254.30831760663,378221.1877374531,137520617.13673434,0.13992712704126534,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-10,966226462.5445788,975843487.6264124,26516042.544578843,0.027442885878687547,22,9617025.081833644,0,119203.94950294869,65346.58819055895,184550.53769350762,83651894.38803416,0.08632119117326931,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-11,969123182.5762815,981751308.2454159,45346042.57628153,0.04679079335996821,22,12628125.669134364,0,96134.25881929882,129777.82482491383,225912.08364421263,67462637.76792899,0.06982073083598295,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-12,982419890.173074,995048015.8422084,69414770.17307396,0.07065692670457342,22,12628125.669134364,0,156607.12364641635,201489.8406800113,358096.96432642767,109899735.89222199,0.11340120416897732,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-13,990344146.4418627,1002972272.1109971,24664886.44186274,0.02490536903810606,22,12628125.669134364,0,115952.55367479546,55187.20369692017,171139.75737171562,81370213.10511962,0.08282630870877883,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-14,995946071.6598079,1008574197.3289423,9099901.659807947,0.009136942168607963,22,12628125.669134364,0,42360.53408593056,21338.10666797557,63698.64075390613,29726690.58661793,0.030016525763716433,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-17,986215317.8490579,999332362.1181923,64689007.849057876,0.06559318911223669,22,13117044.269134363,0,102647.55872137842,191875.50569247294,294523.06441385136,72033374.54131818,0.0723265813190768,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
