date,symbol,issue
2011-10-20,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:3293.TWO
2011-10-21,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:3293.TWO;ACTIVE_CAP:8299.TWO
2011-10-24,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:2059.TW;ACTIVE_CAP:2317.TW;ACTIVE_CAP:2404.TW;ACTIVE_CAP:2603.TW;ACTIVE_CAP:3529.TWO;ACTIVE_CAP:4904.TW;ACTIVE_CAP:6223.TWO;ACTIVE_CAP:8299.TWO
