date,full_tuned_v2,v1_matched,0050
2025-01-02,992456657.1930707,994735446.2072821,998450956.9619873
2025-01-03,992937498.4697634,994670554.1452622,1007493092.8109863
2025-01-06,1009025109.2238436,1008962834.1532649,1036010614.5089842
2025-01-07,1014584702.6143333,1017900355.7578564,1046443864.5089842
2025-01-08,1016141637.1991596,1019159388.5958376,1032301071.1129881
2025-01-09,994991116.5803914,1000576906.4901242,1021635956.9619873
2025-01-10,1000450663.3796124,1006316872.5635349,1021404092.8109863
2025-01-13,969300827.8045403,968110978.1203351,1000073864.5089842
2025-01-14,985451468.1454973,976898768.0785428,1005638321.1129881
2025-01-15,983230334.9763138,972919378.3204131,998682821.1129881
2025-01-16,1013440571.8583571,998403692.8373033,1016998956.9619873
2025-01-17,1006278483.0659738,990132988.8846328,1008884206.9619873
2025-01-20,1013132278.3294002,999676580.5668414,1018158206.9619873
2025-01-21,1022071498.5151886,1007985839.1183825,1020012978.6599853
2025-01-22,1044899002.5764289,1031006572.8214891,1032069206.9619873
2025-02-03,1014783596.6871135,990337799.3126731,992190992.8109863
2025-02-04,999145673.5902679,974384483.7517217,997523542.8109863
2025-02-05,1009451442.5256683,990033396.6136227,1011202692.8109863
2025-02-06,1026453486.4343326,1005185117.4949114,1015144142.8109863
2025-02-07,1037439466.1646798,1018729876.4879837,1019317442.8109863
2025-02-10,1032823612.0981876,1017706199.4433104,1008884192.8109863
2025-02-11,1038686611.6941307,1026339310.98261,1014448592.8109863
2025-02-12,1024787512.8774414,1013930652.8105543,1013057492.8109863
2025-02-13,1025919156.9858085,1015982566.4111841,1009116042.8109863
2025-02-14,1016001022.8515557,1010426412.9399133,998219092.8109863
2025-02-17,1023871061.9315978,1020557553.7273952,1011898242.8109863
2025-02-18,1030026157.7209665,1020370857.3386997,1015144142.8109863
2025-02-19,1029534565.1975172,1021368168.2058764,1013521192.8109863
2025-02-20,1020448753.1320271,1010174708.7067411,1010043442.8109863
2025-02-21,1027696154.038981,1014980062.4523562,1016535242.8109863
2025-02-24,1028650474.562258,1014085935.5952857,1008420492.8109863
2025-02-25,1021210736.1289353,1010033273.7162367,996596142.8109863
2025-02-26,1025852356.9494885,1013813418.3045952,1001464992.8109863
2025-02-27,1006185844.1092813,995236841.9174256,991263592.8109863
2025-03-03,992495877.9477657,983317474.5975962,970628956.9619873
2025-03-04,997299557.5039082,987176704.2014202,964832706.9619873
2025-03-05,1002573810.6848028,993484381.5247035,976193342.8109863
2025-03-06,1001581066.5117669,989895334.7077028,970860821.1129881
2025-03-07,993785439.9636881,984399658.7587554,962746071.1129881
2025-03-10,989056371.1394892,979839020.3708405,957645342.8109863
2025-03-11,978741981.0438381,970678147.184077,942575092.8109863
2025-03-12,979570822.8825214,974749663.1517556,946284706.9619873
2025-03-13,974634698.1166037,965349015.0739549,938401821.1129881
2025-03-14,980458145.1013001,972705826.238857,935619592.8109863
2025-03-17,982509125.3549262,970572670.9535649,942806956.9619873
2025-03-18,983659615.4427181,973885938.6434953,946284706.9619873
2025-03-19,974559284.1092079,967929469.251892,935851456.9619873
2025-03-20,989879605.8926274,983494126.5244297,953935728.6599853
2025-03-21,985552844.895263,980410356.6299379,946980228.6599853
2025-03-24,971667112.9023145,966337504.7063915,946052842.8109863
2025-03-25,966004155.2502317,961887821.7470002,954863114.5089842
2025-03-26,970361799.3664098,964705396.9957314,954167592.8109863
2025-03-27,968339139.3885964,962520886.711024,937938092.8109863
2025-03-28,948034405.6797931,942317397.7941781,929591478.6599853
2025-03-31,914936070.4664968,911652288.6157483,899682842.8109863
2025-04-01,928413936.2987825,924425083.5336806,916144206.9619873
2025-04-02,933644179.4644984,929027116.5407662,914753092.8109863
2025-04-07,854701925.4593278,852075068.0420046,833141864.5089842
2025-04-08,821106688.6568449,837904921.0485854,809261342.8109863
2025-04-09,773788686.9897387,806100120.9151587,776570478.6599853
2025-04-10,832139268.4155711,853878619.8445938,844270706.9619873
2025-04-11,842510018.1620983,856550610.597557,861659456.9619873
2025-04-14,857695241.9304557,859160712.3467952,857717978.6599853
2025-04-15,869531284.1934435,870688530.2479339,865369071.1129882
2025-04-16,858501282.8973367,865716592.6564841,851458071.1129882
2025-04-17,852846721.2785308,863751094.952299,843111456.9619873
2025-04-18,859522497.1657271,867186938.706592,844734364.5089842
2025-04-21,857448212.1864252,862711972.5298421,834069321.1129882
2025-04-22,850901816.8594408,856435673.5580544,821781228.6599853
2025-04-23,867063650.4918121,867297123.097124,853776571.1129882
2025-04-24,864294367.5005327,865034132.4359639,849371364.5089842
2025-04-25,869051089.2259297,867327131.3485093,867223842.8109863
2025-04-28,871322648.5721604,867903705.8005939,873715614.5089842
2025-04-29,876164509.359771,871457624.2459488,876729706.9619873
2025-04-30,868280377.68874,865740425.0270275,880439321.1129882
2025-05-02,881364462.3254781,872457864.481492,903160592.8109863
2025-05-05,875197942.6336949,866637343.4708927,895973228.6599853
2025-05-06,882873905.0575503,872389361.63887,891568092.8109863
2025-05-07,880683336.4280455,869039798.7362394,888554071.1129882
2025-05-08,884390828.0642657,875338426.795222,898987321.1129882
2025-05-09,894355202.4036467,885266622.343466,908956842.8109863
2025-05-12,898312404.5814246,891177097.0977793,917998978.6599853
2025-05-13,903929985.1646345,892651149.9767706,927968571.1129882
2025-05-14,915705710.6391639,903866791.468172,946748364.5089842
2025-05-15,908932260.6883249,903386108.7494079,944893592.8109863
2025-05-16,916690664.1467779,907981921.7538323,947212092.8109863
2025-05-19,906037404.3124186,894311136.0161855,935387728.6599853
2025-05-20,909733189.5906004,901627286.1375256,937010706.9619873
2025-05-21,920314988.3497667,917426146.2664468,949994321.1129881
2025-05-22,925120330.3371577,920785800.9908983,940720321.1129881
2025-05-23,920086239.2524513,914683873.0514685,937242571.1129881
2025-05-26,915928104.8368977,911444783.4323927,936315114.5089842
2025-05-27,912101602.6612241,907010333.5495814,928895956.9619873
2025-05-28,915458207.507974,907482114.5922011,930287071.1129882
2025-05-29,919152808.7175212,914647682.7993976,932141842.8109863
2025-06-02,913021698.3918877,911054163.6386621,914289392.8109863
2025-06-03,925942301.8066047,929799097.4505928,920085642.8109863
2025-06-04,929481275.0924848,933380221.7644411,939329192.8109863
2025-06-05,931367847.2680849,929767611.3275254,940952142.8109863
2025-06-06,927416102.511115,924371353.0874485,942343242.8109863
2025-06-09,943351505.5349677,934420351.272506,950457992.8109863
2025-06-10,961209577.4652928,952954500.6867787,973411142.8109863
2025-06-11,971494153.1420413,966799033.3692633,973411142.8109863
2025-06-12,973550397.0943838,965488825.8081743,973411142.8109863
2025-06-13,973786898.6030527,963873448.070176,973411142.8109863
2025-06-16,984606348.821018,970904258.6794437,973411142.8109863
2025-06-17,983617851.207866,968972961.2786665,973411142.8109863
2025-06-18,988444400.3036349,973432233.1166496,980969452.8109863
2025-06-19,984147584.4621972,967579843.5947415,972251892.8109863
2025-06-20,982057264.1148937,959730168.1497278,970953532.8109863
2025-06-23,992127144.8238283,966269088.8944368,963719812.8109863
2025-06-24,1011948491.1509507,982621349.0969142,979485612.8109863
2025-06-25,1023862521.3183186,992655772.8084539,992283732.8109863
2025-06-26,1024806250.9973307,987861366.89361,993396612.8109863
2025-06-27,1020349905.2787199,987118775.9377469,994324012.8109863
2025-06-30,1021131674.1988441,988756043.4056897,995622372.8109863
2025-07-01,1028096862.29114,991442384.8118811,1000815801.4901855
2025-07-02,1027467697.9045162,995089103.7815995,1001001321.1129882
2025-07-03,1040309752.843665,1010853944.3812294,1013428447.1505859
2025-07-04,1043824893.3128082,1015545798.7101462,1004896384.1317871
2025-07-07,1032758144.4366642,997958610.6016423,999517447.1505859
2025-07-08,1048293717.9749601,1012686151.5407219,995436864.5089842
2025-07-09,1068112820.3301635,1029560607.1751972,1004710864.5089842
2025-07-10,1075353213.2978272,1039605454.1712562,1015097769.9807861
2025-07-11,1069682455.6766719,1032666065.8398212,1018992832.9995849
2025-07-14,1061326522.2610304,1027827408.7207284,1013613966.7733886
2025-07-15,1077515621.874454,1047133371.6007564,1026041092.8109863
2025-07-16,1079112282.263808,1052858023.2586026,1033460321.1129882
2025-07-17,1079272380.2548237,1053863372.6250064,1039024706.9619873
2025-07-18,1090009964.1480694,1064083045.6459697,1052935706.9619873
2025-07-21,1090710854.1442637,1056921750.5381356,1042734321.1129882
2025-07-22,1066422733.5549436,1031414697.3708242,1036242478.6599853
2025-07-23,1069610680.4833031,1034279189.0622369,1039024706.9619873
2025-07-24,1080902617.7971835,1048587342.0235312,1044589092.8109863
2025-07-25,1081876309.9821885,1052391560.6755381,1042734321.1129882
2025-07-28,1094153580.4868374,1068088793.0122851,1045516478.6599853
2025-07-29,1094206034.653647,1063018628.9570887,1034387706.9619873
2025-07-30,1098452865.3452213,1066416747.0643115,1044589092.8109863
2025-07-31,1125142543.3585112,1101218073.0930438,1054790478.6599853
