strategy,stage,episode,date,target_mode,target_mean,target_std,cross_section_count,label_start,latest_label_end,official_vwap_share,proxy_hlc3_share,alpha_cross_section_mean_error
lgbm_raw,smoke,dev_2020_09m,2020-09-22,raw_return,0.008673,0.075946,138.010667,2017-08-11,2020-09-21,,,
lgbm_raw,smoke,dev_2020_09m,2020-09-29,raw_return,0.007953,0.075961,138.026667,2017-08-18,2020-09-28,,,
lgbm_raw,smoke,dev_2020_09m,2020-10-08,raw_return,0.007751,0.075886,138.054667,2017-08-25,2020-10-07,,,
lgbm_raw,smoke,dev_2020_09m,2020-10-16,raw_return,0.008279,0.075828,138.092,2017-09-01,2020-10-15,,,
lgbm_raw,smoke,dev_2021_04m,2021-04-15,raw_return,0.010982,0.076879,138.4,2018-02-27,2021-04-14,,,
lgbm_raw,smoke,dev_2021_04m,2021-04-22,raw_return,0.011294,0.077411,138.414667,2018-03-07,2021-04-21,,,
lgbm_raw,smoke,dev_2021_04m,2021-04-29,raw_return,0.011348,0.077978,138.434667,2018-03-14,2021-04-28,,,
lgbm_raw,smoke,dev_2021_04m,2021-05-07,raw_return,0.011333,0.078458,138.454667,2018-03-21,2021-05-06,,,
lgbm_raw,smoke,dev_2021_04m,2021-05-14,raw_return,0.010963,0.079201,138.474667,2018-03-28,2021-05-13,,,
lgbm_raw,smoke,dev_2021_11m,2021-11-15,raw_return,0.012929,0.080612,138.982667,2018-10-01,2021-11-12,,,
lgbm_raw,smoke,dev_2021_11m,2021-11-22,raw_return,0.013824,0.07988,139.002667,2018-10-08,2021-11-19,,,
lgbm_raw,smoke,dev_2021_11m,2021-11-29,raw_return,0.014428,0.07956,139.022667,2018-10-16,2021-11-26,,,
lgbm_raw,smoke,dev_2021_11m,2021-12-06,raw_return,0.014564,0.079316,139.042667,2018-10-23,2021-12-03,,,
lgbm_raw,smoke,dev_2021_11m,2021-12-13,raw_return,0.014799,0.079374,139.06,2018-10-30,2021-12-10,,,
lgbm_alpha,smoke,dev_2019_01,2019-01-02,relative_alpha,0.000423,0.063847,129.538667,2015-11-20,2018-12-28,,,0.0
lgbm_alpha,smoke,dev_2019_01,2019-01-09,relative_alpha,0.000426,0.063624,129.573333,2015-11-27,2019-01-08,,,0.0
lgbm_alpha,smoke,dev_2019_01,2019-01-16,relative_alpha,0.000429,0.063536,129.586667,2015-12-04,2019-01-15,,,0.0
lgbm_alpha,smoke,dev_2019_01,2019-01-23,relative_alpha,0.00043,0.063509,129.6,2015-12-11,2019-01-22,,,0.0
lgbm_alpha,smoke,dev_2019_01,2019-01-30,relative_alpha,0.000425,0.063458,129.613333,2015-12-18,2019-01-29,,,0.0
lgbm_alpha,smoke,dev_2019_08,2019-08-01,relative_alpha,0.000294,0.061997,132.872,2016-06-21,2019-07-31,,,0.0
lgbm_alpha,smoke,dev_2019_08,2019-08-08,relative_alpha,0.000303,0.062216,132.892,2016-06-28,2019-08-07,,,0.0
lgbm_alpha,smoke,dev_2019_08,2019-08-16,relative_alpha,0.000303,0.062439,132.925333,2016-07-05,2019-08-15,,,0.0
lgbm_alpha,smoke,dev_2019_08,2019-08-23,relative_alpha,0.000277,0.062549,132.953333,2016-07-13,2019-08-22,,,0.0
lgbm_alpha,smoke,dev_2019_08,2019-08-30,relative_alpha,0.000252,0.062394,132.966667,2016-07-20,2019-08-29,,,0.0
lgbm_alpha,smoke,dev_2020_03,2020-03-02,relative_alpha,0.000158,0.060946,134.72,2017-01-09,2020-02-27,,,0.0
lgbm_alpha,smoke,dev_2020_03,2020-03-09,relative_alpha,0.000158,0.060802,134.733333,2017-01-16,2020-03-06,,,0.0
lgbm_alpha,smoke,dev_2020_03,2020-03-16,relative_alpha,0.000157,0.060664,134.746667,2017-01-23,2020-03-13,,,0.0
lgbm_alpha,smoke,dev_2020_03,2020-03-23,relative_alpha,0.000155,0.060956,134.758667,2017-02-07,2020-03-20,,,0.0
lgbm_alpha,smoke,dev_2020_03,2020-03-30,relative_alpha,0.000198,0.061007,135.5,2017-02-14,2020-03-27,,,0.0
