strategy,stage,episode,date,best_iteration,train_pearson,validation_pearson,prediction_std,n_train_rows,n_validation_rows,n_symbols
lgbm_execution_alpha,smoke,dev_2019_08,2019-08-23,1,0.255738,0.025982,7.8e-05,53212,20632,138
lgbm_execution_alpha,smoke,dev_2019_08,2019-08-30,2,0.257928,0.015323,0.000148,53766,20634,138
lgbm_execution_alpha,smoke,dev_2020_03,2020-03-02,60,0.26191,0.026121,0.003138,64864,20609,138
lgbm_execution_alpha,smoke,dev_2020_03,2020-03-09,103,0.290747,0.027472,0.004454,64870,20609,138
lgbm_execution_alpha,smoke,dev_2020_03,2020-03-16,112,0.294026,0.02104,0.004497,64877,20614,139
lgbm_execution_alpha,smoke,dev_2020_03,2020-03-23,121,0.295145,0.017159,0.004578,64884,20620,139
lgbm_execution_alpha,smoke,dev_2020_03,2020-03-30,41,0.265533,0.015489,0.002133,65439,20588,139
lgbm_execution_alpha,smoke,dev_2020_09m,2020-09-15,515,0.411692,0.147099,0.012867,78199,20420,139
lgbm_execution_alpha,smoke,dev_2020_09m,2020-09-22,21,0.243718,0.143912,0.00152,78764,20419,139
lgbm_execution_alpha,smoke,dev_2020_09m,2020-09-29,30,0.259352,0.14762,0.002016,79328,20415,139
lgbm_execution_alpha,smoke,dev_2020_09m,2020-10-08,28,0.248986,0.144813,0.001943,79895,20429,139
lgbm_execution_alpha,smoke,dev_2020_09m,2020-10-16,287,0.359759,0.141387,0.009948,80246,20429,139
lgbm_execution_alpha,smoke,dev_2021_04m,2021-04-15,16,0.247261,0.032187,0.000759,80455,20671,140
lgbm_execution_alpha,smoke,dev_2021_04m,2021-04-22,15,0.256616,0.060561,0.000756,80453,20681,140
lgbm_execution_alpha,smoke,dev_2021_04m,2021-04-29,54,0.275295,0.074273,0.002444,80456,20693,140
lgbm_execution_alpha,smoke,dev_2021_04m,2021-05-07,44,0.259198,0.07783,0.001994,80459,20707,140
