track,model,month,sessions,book_return,book_max_drawdown,economic_return,economic_max_drawdown,ending_book_nav,ending_economic_nav,partial_period
official_ex_post,full_tuned_v2,2025-01,15,0.04489900257642887,0.04609673265995573,0.04600138185330893,0.04604677799618462,1044899002.5764289,1046001381.8533089,False
official_ex_post,full_tuned_v2,2025-02,19,-0.03704966544296795,0.04378732190704182,-0.037010618856502364,0.04374117451460258,1006185844.1092813,1007288223.3861613,False
official_ex_post,full_tuned_v2,2025-03,21,-0.09068878694428728,0.09068878694428728,-0.09058953686168758,0.09058953686168758,914936070.4664968,916038449.7433769,False
official_ex_post,full_tuned_v2,2025-04,20,-0.050993390996125654,0.17121671830744611,-0.05093202451362944,0.17101479644921358,868280377.68874,869382756.96562,False
official_ex_post,full_tuned_v2,2025-05,20,0.05858986605708805,0.014072469546949629,0.05851557397611562,0.014055720660702153,919152808.7175212,920255187.9944012,False
official_ex_post,full_tuned_v2,2025-06,21,0.11094876120066721,0.006670392852509699,0.11944578532165973,0.006662402348413421,1021131674.1988441,1030175791.6207241,False
official_ex_post,full_tuned_v2,2025-07,23,0.10185843000244965,0.022268157043670245,0.10920249534922588,0.02037161690371736,1125142543.3585112,1142673558.7140713,False
official_ex_post,full_tuned_v2,2025-08,21,0.21547359347103434,0.07467020315273498,0.2145862779034986,0.07312061577869189,1367581050.3431087,1387875624.5372686,False
official_ex_post,full_tuned_v2,2025-09,21,0.005647976656611986,0.05704673797313753,0.005765467264928992,0.05622634071374755,1375305116.1914713,1395877376.0183313,False
official_ex_post,full_tuned_v2,2025-10,20,0.23290628485910414,0.03437068971981494,0.2294737422233768,0.03390483507877784,1695622321.3513455,1716194581.1782055,False
official_ex_post,full_tuned_v2,2025-11,20,-0.005759049651498538,0.09498974791445514,-0.005690015133451576,0.09390156823166251,1685857148.212494,1706429408.0393538,False
official_ex_post,full_tuned_v2,2025-12,22,0.07385202633309085,0.04036232672173867,0.07296168591390528,0.039896038846401805,1810361114.7161124,1830933374.5429723,False
official_ex_post,full_tuned_v2,2026-01,21,0.16027605501103248,0.018368981743569268,0.1593305041396671,0.018179330310134745,2100518652.328186,2122656912.155046,False
official_ex_post,full_tuned_v2,2026-02,12,0.12311163044494156,0.061576285943436004,0.12182763714065792,0.06095211073706097,2359116928.3963203,2381255188.2231803,False
official_ex_post,full_tuned_v2,2026-03,22,-0.006031339161188587,0.0954704155121382,-0.004647395361400575,0.09458478501767109,2344888294.0802608,2370188553.9071207,False
official_ex_post,full_tuned_v2,2026-04,20,0.3925470155438131,0.038038066612903654,0.3887685454880221,0.03772971653289403,3265367195.70509,3291643310.54195,False
official_ex_post,full_tuned_v2,2026-05,20,0.17232387677494487,0.0827128210007686,0.1709482714775028,0.0820925541164308,3828067929.9627213,3854344044.7995815,False
official_ex_post,full_tuned_v2,2026-06,21,0.02671610582645667,0.10852848896406542,0.03125048167411637,0.10734919221476646,3930338997.8904705,3974794152.7373304,False
official_ex_post,full_tuned_v2,2026-07,22,-0.0692079775761022,0.11806329863293541,-0.057418144052501674,0.10991384079311961,3658328184.6579866,3746568849.496417,False
official_ex_post,full_tuned_v2,2026-08,21,0.03689661857737825,0.015984126716951708,0.04378733082197317,0.013984291129737647,3793308124.3181853,3910621099.1566157,False
official_ex_post,full_tuned_v2,2026-09,15,0.06069531845249099,0.02848168480430313,0.028875993580619985,0.0275094043512355,4023544168.912099,4023544168.912099,True
official_ex_post,v1_matched,2025-01,15,0.031006572821488998,0.05008874082574588,0.03191209865606903,0.050044276352752326,1031006572.8214891,1031912098.656069,False
official_ex_post,v1_matched,2025-02,19,-0.03469398920142164,0.0549192319063625,-0.034663544453688355,0.05487103905798785,995236841.9174256,996142367.7520056,False
official_ex_post,v1_matched,2025-03,21,-0.08398458515728091,0.08398458515728091,-0.08390824043585521,0.08390824043585521,911652288.6157483,912557814.4503282,False
official_ex_post,v1_matched,2025-04,20,-0.05036115650895068,0.13231798452054477,-0.05031118342499252,0.1321891393247714,865740425.0270275,866645950.8616074,False
official_ex_post,v1_matched,2025-05,20,0.056491826370292486,0.0150562311981286,0.05643280018068175,0.015041230653938586,914647682.7993976,915553208.6339775,False
