date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2023-10-20,2023-10-19,1590.TW,1590.TW,94000,1037.5606284203407,97530699.07151203,138981.24617690465,0.0,0.0,0.19266637971673942,487890.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,1785.TWO,1785.TWO,1000,39.643948348707504,39643.948348707505,56.4926263969082,0.0,0.0,7.125810168987163e-05,14033492.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,2303.TW,2303.TW,1000,49.188863276548915,49188.86327654892,70.0941301690822,0.0,0.0,1.0293521409968683e-05,97148484.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,2327.TW,2327.TW,1000,533.0346177893188,533034.6177893188,759.5743303497793,0.0,0.0,0.0003927279353664073,2546292.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,2347.TW,2347.TW,364000,66.74392454241483,24294788.533439,34620.07366015058,0.0,0.0,0.08017280322664698,4540193.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,2449.TW,2449.TW,1139000,86.04368623799986,98003758.62508185,139655.35604074164,0.0,0.0,0.020552234758704494,55419764.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,2454.TW,2454.TW,120000,826.5509660022967,99186115.9202756,141340.21518639274,0.0,0.0,0.013783132065147353,8706294.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,3036.TW,3036.TW,307000,115.33237298997494,35407038.50792231,50455.02987378929,0.0,0.0,0.10762670151855316,2852452.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,3227.TWO,3227.TWO,1000,133.62496383718212,133624.96383718212,190.41557346798453,0.0,0.0,0.0004953810669319267,2018648.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,3260.TWO,3260.TWO,960000,103.38925138893322,99253681.33337589,141436.49590006063,0.0,0.0,0.04656211080016891,20617622.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,3363.TWO,3363.TWO,1000,70.93358426591917,70933.58426591917,101.08035757893482,0.0,0.0,8.017186281888759e-05,12473204.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,3491.TWO,3491.TWO,598000,163.8172152261019,97962694.70520893,139596.83995492273,0.0,0.0,0.4503961678667189,1327720.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,3529.TWO,3529.TWO,1000,2322.351058396041,2322351.058396041,3309.3502582143583,0.0,0.0,0.001120114341271957,892766.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,3702.TW,3702.TW,1479000,67.66311124000423,100073741.52396625,142605.08167165192,0.0,0.0,0.23749948212587568,6227382.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,4966.TWO,4966.TWO,1000,1138.7329808259196,1138732.9808259197,1622.6944976769355,0.0,0.0,0.0005768722677887217,1733486.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,5274.TWO,5274.TWO,1000,2843.689930751168,2843689.930751168,4052.258151320415,0.0,0.0,0.0024927585364516083,401162.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,5536.TWO,5536.TWO,551000,181.40654858538693,99955008.2705482,142435.88678553118,0.0,0.0,1.3847074020275534,397918.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,6139.TW,6139.TW,864000,115.22488310683946,99554299.0043093,141864.87608114074,0.0,0.0,0.054661700381252704,15806314.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,6187.TWO,6187.TWO,128000,133.189025562397,17048195.271986816,24293.678262581212,0.0,0.0,0.00842377206904887,15195093.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,6290.TWO,6290.TWO,1000,65.08962443071984,65089.624430719836,92.75271481377577,0.0,0.0,0.00013833428368986229,7228866.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,6510.TWO,6510.TWO,1000,584.8727473108071,584872.7473108071,833.4436649179002,0.0,0.0,0.004127694352488587,242266.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-20,2023-10-19,8299.TWO,8299.TWO,52000,485.0356659588642,25221854.629860938,35941.14284755184,0.0,0.0,0.022552530046909262,2305728.0,ACTIVE_CAP:3260.TWO;ACTIVE_CAP:3702.TW;ACTIVE_CAP:5536.TWO
2023-10-23,2023-10-20,1785.TWO,1785.TWO,975000,40.0187812832315,39018311.75115071,55601.094245389766,0.0,0.0,0.07398478083734988,13178386.0,ACTIVE_CAP:2303.TW;ACTIVE_CAP:3260.TWO;ACTIVE_CAP:6139.TW
2023-10-23,2023-10-20,2303.TW,2303.TW,2050000,48.72196855026017,99880035.52803335,142329.05062744752,0.0,0.0,0.04402349394285042,46566045.0,ACTIVE_CAP:2303.TW;ACTIVE_CAP:3260.TWO;ACTIVE_CAP:6139.TW
2023-10-23,2023-10-20,2347.TW,2347.TW,1000,66.2412104446005,66241.2104446005,94.3937248835557,0.0,0.0,0.00022859107434147484,4374624.0,ACTIVE_CAP:2303.TW;ACTIVE_CAP:3260.TWO;ACTIVE_CAP:6139.TW
2023-10-23,2023-10-20,2404.TW,2404.TW,1000,239.03699360680642,239036.9936068064,340.6277158896992,0.0,0.0,0.0009365944302602422,1067698.0,ACTIVE_CAP:2303.TW;ACTIVE_CAP:3260.TWO;ACTIVE_CAP:6139.TW
2023-10-23,2023-10-20,2449.TW,2449.TW,918000,84.22369063425944,77317348.00225016,110177.22090320649,0.0,0.0,0.04181479870365014,21953950.0,ACTIVE_CAP:2303.TW;ACTIVE_CAP:3260.TWO;ACTIVE_CAP:6139.TW
2023-10-23,2023-10-20,2454.TW,2454.TW,1000,820.2610102101705,820261.0102101705,1168.871939549493,0.0,0.0,0.00018543043410377207,5392858.0,ACTIVE_CAP:2303.TW;ACTIVE_CAP:3260.TWO;ACTIVE_CAP:6139.TW
2023-10-23,2023-10-20,3036.TW,3036.TW,687000,113.39609773871446,77903119.14649683,111011.944783758,0.0,0.0,0.16982259841924083,4045398.0,ACTIVE_CAP:2303.TW;ACTIVE_CAP:3260.TWO;ACTIVE_CAP:6139.TW
