date,decision_date,cutoff_at,plan_reason,metadata,submission_status,official_whitelist_status,active_share_status
2025-07-31,2025-08-01,2025-08-01 08:55:00+08:00,BUY_CASH_CAP_CORRECTION,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-01,2025-08-04,2025-08-04 08:55:00+08:00,BUY_CASH_CAP_CORRECTION,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-04,2025-08-05,2025-08-05 08:55:00+08:00,SELL_THEN_WAIT_SETTLEMENT,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-05,2025-08-06,2025-08-06 08:55:00+08:00,BUY_CASH_CAP_CORRECTION,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-06,2025-08-07,2025-08-07 08:55:00+08:00,SELL_THEN_WAIT_SETTLEMENT,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-07,2025-08-08,2025-08-08 08:55:00+08:00,BUY_CASH_CAP_CORRECTION,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-08,2025-08-11,2025-08-11 08:55:00+08:00,BUY_CASH_CAP_CORRECTION,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-11,2025-08-12,2025-08-12 08:55:00+08:00,SELL_THEN_WAIT_SETTLEMENT,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-12,2025-08-13,2025-08-13 08:55:00+08:00,BUY_CASH_CAP_CORRECTION,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-13,2025-08-14,2025-08-14 08:55:00+08:00,SELL_THEN_WAIT_SETTLEMENT,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-14,2025-08-15,2025-08-15 08:55:00+08:00,BUY_CASH_CAP_CORRECTION,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
2025-08-15,2025-08-18,2025-08-18 08:55:00+08:00,SELL_THEN_WAIT_SETTLEMENT,{},BLOCK_SUBMISSION,UNKNOWN_HISTORICAL_RESEARCH_POOL,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS
