date,symbol,shares,close,weight
2013-01-02,1326.TW,432000.0,75.4,0.03265477477178104
2013-01-02,1504.TW,1457000.0,22.45,0.0327919691771597
2013-01-02,1590.TW,192000.0,171.5,0.03301086869060093
2013-01-02,1605.TW,3271000.0,10.15,0.03328420485886175
2013-01-02,1802.TW,1080000.0,30.8,0.03334771428948461
2013-01-02,2002.TW,1186000.0,27.6,0.0328159794512468
2013-01-02,2059.TW,175000.0,185.0,0.03245647697577153
2013-01-02,2207.TW,138000.0,233.5,0.0323040944429432
2013-01-02,2327.TW,3518000.0,9.18,0.032376516246703194
2013-01-02,2345.TW,2008000.0,16.45,0.033114729416923394
2013-01-02,2376.TW,1247000.0,26.6,0.03325367822646291
2013-01-02,2395.TW,263000.0,123.0,0.03243041154252458
2013-01-02,2408.TW,12980000.0,2.58,0.03357267902873907
2013-01-02,2449.TW,1753000.0,19.0,0.033390822506008416
2013-01-02,2609.TW,2333000.0,14.15,0.03309502996448868
2013-01-02,2615.TW,1936000.0,16.8,0.03260665397194051
2013-01-02,2881.TW,923000.0,35.1,0.03247883309736411
2013-01-02,2883.TW,4269000.0,7.58,0.03244045675949129
2013-01-02,2887.TW,2809000.0,11.6,0.03266640396507583
2013-01-02,3017.TW,2092000.0,16.4,0.03439514369934673
2013-01-02,3131.TWO,198000.0,174.0,0.03453870408553763
2013-01-02,3363.TWO,1126000.0,28.55,0.03222820393152804
2013-01-02,3491.TWO,592000.0,54.9,0.032582593572020244
2013-01-02,4123.TWO,839000.0,38.2,0.032130458556851975
2013-01-02,4979.TWO,575000.0,56.6,0.03262690480854006
2013-01-02,5347.TWO,1609000.0,20.9,0.03371273060660827
2013-01-02,5871.TW,486000.0,66.7,0.032497780662301315
2013-01-02,8210.TW,940000.0,34.7,0.0327000885249642
2013-01-03,1326.TW,432000.0,77.79999999999998,0.03358538412022563
2013-01-03,1504.TW,1457000.0,22.75,0.033122867605895015
2013-01-03,1590.TW,192000.0,173.0,0.03319206771093422
2013-01-03,1605.TW,3271000.0,10.35,0.03383045741641141
2013-01-03,1802.TW,1080000.0,30.6,0.033024188755748855
2013-01-03,2002.TW,1186000.0,28.1,0.033302588023097913
2013-01-03,2059.TW,175000.0,184.0,0.03217679974386085
2013-01-03,2207.TW,138000.0,239.0,0.0329582363090689
2013-01-03,2327.TW,3518000.0,9.2,0.03234228042825784
2013-01-03,2345.TW,2008000.0,16.35,0.03280714524940207
2013-01-03,2376.TW,1247000.0,26.45,0.03295938548048832
2013-01-03,2395.TW,263000.0,120.0,0.031537260866964234
2013-01-03,2408.TW,12980000.0,2.6,0.03372368440235453
2013-01-03,2449.TW,1753000.0,18.95,0.03319541529724297
2013-01-03,2609.TW,2333000.0,14.25,0.03322129663616739
2013-01-03,2615.TW,1936000.0,16.9,0.0326948262341471
2013-01-03,2881.TW,923000.0,35.3,0.03255842458305899
2013-01-03,2883.TW,4269000.0,7.62,0.03250634213577173
2013-01-03,2887.TW,2809000.0,11.65,0.032701271586890825
2013-01-03,3017.TW,2092000.0,16.2,0.03386598180246402
2013-01-03,3131.TWO,198000.0,177.5,0.035119677857080416
2013-01-03,3363.TWO,1126000.0,28.7,0.03229291602119739
2013-01-03,3491.TWO,592000.0,53.3,0.031530865478195266
2013-01-03,4123.TWO,839000.0,38.6,0.03236206616226183
2013-01-03,4979.TWO,575000.0,56.1,0.03223425831483202
2013-01-03,5347.TWO,1609000.0,21.4,0.03440779114473488
2013-01-03,5871.TW,486000.0,65.9,0.03200432410299779
2013-01-03,8210.TW,940000.0,34.6,0.03250056630028975
2013-01-04,1326.TW,432000.0,78.59999999999998,0.034103766430367
2013-01-04,1504.TW,1457000.0,22.9,0.033511285401915586
2013-01-04,1590.TW,192000.0,163.0,0.03143293145688336
2013-01-04,1605.TW,3271000.0,10.05,0.03301738381564507
2013-01-04,1802.TW,1080000.0,30.6,0.03319259709825796
2013-01-04,2002.TW,1186000.0,28.0,0.03335329715683099
2013-01-04,2059.TW,175000.0,181.0,0.031813589720628206
2013-01-04,2207.TW,138000.0,243.0,0.033680723526173524
2013-01-04,2327.TW,3518000.0,9.25,0.03268388097533774
2013-01-04,2345.TW,2008000.0,16.35,0.03297444676874509
2013-01-04,2376.TW,1247000.0,26.35,0.03300221774761724
2013-01-04,2395.TW,263000.0,122.0,0.03222638799608766
2013-01-04,2408.TW,12980000.0,2.6,0.03389565985451494
2013-01-04,2449.TW,1753000.0,18.95,0.033364696817236014
2013-01-04,2609.TW,2333000.0,14.6,0.03421083284439128
2013-01-04,2615.TW,1936000.0,16.7,0.03247266083585082
2013-01-04,2881.TW,923000.0,35.0,0.03244634620125949
2013-01-04,2883.TW,4269000.0,7.55,0.03237197220540116
2013-01-04,2887.TW,2809000.0,11.55,0.0325859041583765
2013-01-04,3017.TW,2092000.0,16.05,0.03372350991676859
2013-01-04,3131.TWO,198000.0,174.0,0.03460274011223624
2013-01-04,3363.TWO,1126000.0,28.7,0.032457595205359596
2013-01-04,3491.TWO,592000.0,53.5,0.03181057659452997
2013-01-04,4123.TWO,839000.0,37.85,0.03189509478158571
2013-01-04,4979.TWO,575000.0,55.1,0.03182112253587382
2013-01-04,5347.TWO,1609000.0,21.35,0.03450245323193302
