date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2025-10-27,994955675.4919021,994955675.4919021,84059226.04336578,0.08448539780609546,20,0.0,0,1303358.3172860714,0.0,1303358.3172860714,914637415.6393483,0.9146374156393483,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-10-28,986202176.6991572,986202176.6991572,84059226.04336578,0.08523528747899752,20,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD_REVALIDATED_ENVELOPE,0.0
2025-10-29,995015163.6829139,995015163.6829139,83310108.08042276,0.08372747584274161,21,0.0,0,1065.974084123925,0.0,1065.974084123925,748051.9888588947,0.0007585178846011504,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-10-30,996677660.0888048,996677660.0888048,83310108.08042276,0.08358781521500117,21,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD_REVALIDATED_ENVELOPE,0.0
2025-10-31,995538680.8241261,995538680.8241261,126745488.71357167,0.127313474759865,20,0.0,0,62170.5219619187,130885.30939351305,193055.83135543176,43628436.464504346,0.04377386813367224,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-11-03,996272255.6668668,996272255.6668668,105644003.84183404,0.10603929120872684,24,0.0,0,30026.827712735474,0.0,30026.827712735474,21071458.044024896,0.021165885816291474,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-11-04,982815053.4677888,982815053.4677888,189948506.5149869,0.19326983835337883,22,0.0,0,120667.87164125536,254037.62450790603,374705.49614916136,84679208.16930202,0.08499605171943785,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-11-05,976869100.3916585,976869100.3916585,97404004.01879953,0.0997103951591335,28,0.0,0,131688.2602861592,0.0,131688.2602861592,92412814.23590119,0.09402869228531813,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-11-06,986718548.6540952,986718548.6540952,182996843.27276987,0.1854600215252682,25,0.0,0,122511.91114371867,257919.81293414457,380431.72407786327,85973270.97804819,0.08800899828193841,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-11-07,972167257.4745088,972167257.4745088,99638710.05482641,0.10249132470647834,25,0.0,0,118616.31159155144,0.0,118616.31159155144,83239516.90635188,0.08435993933618896,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
