total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,slippage_cost,max_daily_volume_participation,trades_above_10pct_daily_volume,trades_above_100pct_daily_volume,trades,sessions,start,end,final_nav,raw_rule_breach_days,negative_cash_days,stale_held_price_days,infeasible_signal_days,active_share_status,certification,execution_price_bound_breaches,accounting_status,simulated_warning_days,disqualified,complete_period,rejected_trade_count,official_compliance,hard_breach_days,infeasible_executed_days,trade_days,costs,final_economic_nav,measured_hard_breach_days,cash_breach_days,holding_count_breach_days,whitelist_breach_days,active_cap_breach_days,overdue_passive_cap_days,cash_ratio_max,cash_ratio_min,average_stock_exposure,holdings_min,holdings_max,observed_rule_eligible,no_valid_plan_days,hold_without_envelope_days,unfilled_orders,status,measured_pass,episode_status,failure_reasons,episode_return,forensic_partial_return,episode_max_drawdown,episode_turnover,requested_sessions,observed_sessions,universe_interpretation,episode_id,kind,prior_session_date,session_count,split,analysis_status,candidate_id,phase,realized_start,realized_end,days_to_20_holdings,independent_audit
0.027850842189414582,0.04716394705474958,0.2335568151488483,1.348168120577891,0.027850842189414582,0.047114007375575584,0.23333862856257817,1.3492174332111742,5720904.287383596,3362133.4450730816,2358770.842310515,2.328640144609519,0.0,0.37313020309338757,16,0,130,24,2025-01-02,2025-02-13,1027850842.1894145,1,0,0,1,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,1,False,True,0,UNKNOWN_BLOCK_SUBMISSION,1,1,23,5720904.287383596,1027850842.1894145,1,1,1,0,0,0,1.0,0.08702938508091657,0.8260472250217145,0,30,False,1,0,0,COMPLETE,False,FAIL_CASH,FAIL_CASH;FAIL_HOLDING_COUNT,0.027850842189414582,,0.047114007375575584,2.3593918912793552,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-01-02,monthly,2024-12-31,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-01-02,2025-02-13,2,PASS_INTERNAL_ACCOUNTING
-0.005955336204763517,0.0505459430460512,0.15331233999920418,-0.33563669471434077,-0.005955336204763517,0.0505459430460512,0.15331233999920418,-0.33563669471434077,7047044.471377982,4084638.388544654,2962406.0828333283,2.819602874689863,0.0,0.7379043255936689,9,0,132,24,2025-02-03,2025-03-07,994044663.7952365,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,24,7047044.471377982,994044663.7952365,0,0,0,0,0,0,0.20194280369932036,0.09378656443835863,0.8585107115022331,20,29,True,0,0,0,COMPLETE,True,PASS,,-0.005955336204763517,,0.0505459430460512,2.8664129042418627,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-02-03,monthly,2025-01-22,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-02-03,2025-03-07,1,PASS_INTERNAL_ACCOUNTING
-0.1496141437602143,0.1555931585502227,0.3215014553361391,-5.114563480878975,-0.1496141437602143,0.1555931585502227,0.3215014553361391,-5.114563480878975,2756965.926296275,2010856.7823696546,746109.1439266205,1.417785376151006,0.0,0.30219029852914686,4,0,67,24,2025-03-03,2025-04-07,850385856.2397857,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,24,2756965.926296275,850385856.2397857,0,0,0,0,0,0,0.18783546657060302,0.09096161236627506,0.8906050704939128,20,24,True,0,0,0,COMPLETE,True,PASS,,-0.1496141437602143,,0.1555931585502227,1.4111275665751966,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-03-03,monthly,2025-02-27,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-03-03,2025-04-07,1,PASS_INTERNAL_ACCOUNTING
0.05136589135823533,0.03833685113537777,0.26672235403743133,2.0990747927822775,0.05136589135823533,0.03833685113537777,0.26672235403743133,2.0990747927822775,4919142.404883894,3044829.2349045267,1874313.1699793674,2.0835604384377713,0.0,2.477977786288778,24,2,104,24,2025-04-01,2025-05-07,1051365891.3582354,2,0,0,2,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,1,SELF_FINANCING,2,False,True,0,UNKNOWN_BLOCK_SUBMISSION,2,2,19,4919142.404883894,1051365891.3582354,2,2,2,0,0,0,1.0,0.09630953507910202,0.7958804391399485,0,27,False,2,0,0,COMPLETE,False,FAIL_CASH,FAIL_CASH;FAIL_HOLDING_COUNT,0.05136589135823533,,0.03833685113537777,2.1367222701084394,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-04-01,monthly,2025-03-31,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-04-01,2025-05-07,3,PASS_INTERNAL_ACCOUNTING
0.11143527017364119,0.016530432474849532,0.14634810526598063,7.666652988873792,0.11143527017364119,0.016530432474849532,0.14634810526598063,7.666652988873792,4354980.004785747,2767783.649781885,1587196.3550038622,1.8717658906388186,0.0,2.0381054819331283,13,1,82,24,2025-05-02,2025-06-05,1111435270.1736412,2,0,0,2,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,2,False,True,0,UNKNOWN_BLOCK_SUBMISSION,2,2,20,4354980.004785747,1111435270.1736412,2,2,2,0,0,0,1.0,0.09656162685674607,0.803075042566926,0,27,False,2,0,0,COMPLETE,False,FAIL_CASH,FAIL_CASH;FAIL_HOLDING_COUNT,0.11143527017364119,,0.016530432474849532,1.9423043156364108,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-05-02,monthly,2025-04-30,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-05-02,2025-06-05,3,PASS_INTERNAL_ACCOUNTING
0.14972470452567443,0.013211748995102357,0.16574396292832178,8.943441966267562,0.14972470452567443,0.013211748995102357,0.16363172080749733,9.056830882329384,5303529.653490198,3222335.751128837,2081193.9023613604,2.1579780373471165,0.0,1.2777832651440932,13,2,89,24,2025-06-02,2025-07-03,1149724704.5256743,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,24,5303529.653490198,1149724704.5256743,0,0,0,0,0,0,0.1919490461692708,0.013952339981753688,0.878156234142746,20,25,True,0,0,0,COMPLETE,True,PASS,,0.14972470452567443,,0.013211748995102357,2.261288246406201,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-06-02,monthly,2025-05-29,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-06-02,2025-07-03,1,PASS_INTERNAL_ACCOUNTING
0.059948104278354064,0.01833639309587487,0.12483838238099237,4.962572175462666,0.059948104278354064,0.015515258755288808,0.11831372887794826,5.22975164046582,5335483.815425744,3223835.5447454555,2111648.270680289,2.230597019057009,0.0,3.1631205673758864,8,1,114,24,2025-07-01,2025-08-01,1059948104.278354,0,0,1,1,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,21,5335483.815425744,1059948104.278354,0,0,0,0,0,0,0.20032783080076277,0.09138381875304424,0.8727152460921977,20,27,True,0,0,1,COMPLETE,False,FAIL_MISSING_DATA,FAIL_MISSING_DATA;FAIL_ROUND_LOT,0.059948104278354064,,0.015515258755288808,2.262340733154705,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-07-01,monthly,2025-06-30,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-07-01,2025-08-01,1,PASS_INTERNAL_ACCOUNTING
0.12153647643327536,0.07230374456318844,0.29787872970793716,4.19641841843745,0.12153647643327536,0.07139082118681273,0.295979313607503,4.221484665270956,6159957.85399138,3569912.6430367325,2590045.210954648,2.3775327363662964,0.0,0.2865551425030979,5,0,103,24,2025-08-01,2025-09-03,1121536476.4332755,1,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,1,False,True,18,UNKNOWN_BLOCK_SUBMISSION,1,0,23,6159957.85399138,1121536476.4332755,1,1,1,0,0,0,1.0,0.09601789941589339,0.8285584362509518,0,26,False,0,0,2,COMPLETE,False,FAIL_MISSING_DATA,FAIL_MISSING_DATA;FAIL_CASH;FAIL_HOLDING_COUNT,0.12153647643327536,,0.07139082118681273,2.505201854762619,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-08-01,monthly,2025-07-31,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-08-01,2025-09-03,2,PASS_INTERNAL_ACCOUNTING
0.08348238634651417,0.03819227368534772,0.2506654109699314,3.483744768957934,0.08348238634651417,0.038180723471360145,0.2504283194202154,3.4868213510119364,6107276.724101592,3624006.923553846,2483269.800547746,2.520985343473634,0.0,17.499999999999996,7,2,129,24,2025-09-01,2025-10-03,1083482386.3465142,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,23,6107276.724101592,1083482386.3465142,0,0,0,0,0,0,0.20029371182582054,0.07027325422066005,0.8692770346478234,20,26,True,0,0,0,COMPLETE,False,FAIL_ROUND_LOT,FAIL_ROUND_LOT,0.08348238634651417,,0.038180723471360145,2.54316275337112,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-09-01,monthly,2025-08-29,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-09-01,2025-10-03,1,PASS_INTERNAL_ACCOUNTING
0.10468090256082285,0.02660239653288854,0.19296839605632457,5.5207561967331635,0.10468090256082285,0.02660239653288854,0.19296839605632457,5.5207561967331635,5398200.550903201,3218272.0055287317,2179928.54537447,2.1896738272402567,0.0,0.2215965995568068,6,0,98,24,2025-10-01,2025-11-06,1104680902.560823,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,21,5398200.550903201,1104680902.560823,0,0,0,0,0,0,0.19956235756280555,0.08468217683036752,0.8733851236445159,20,27,True,0,0,0,COMPLETE,True,PASS,,0.10468090256082285,,0.02660239653288854,2.258436495107882,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2025-10-01,monthly,2025-09-30,24,post_freeze_diagnostic,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,coarse_010_ema_slow_50,remaining_monthly_001,2025-10-01,2025-11-06,1,PASS_INTERNAL_ACCOUNTING
