candidate,family,attempted,complete,canonical,measured,median,mean,p25,p10,worst,positive,mdd,turnover,cost,utility
D00,direct,18,18,18,13,0.011571899452815004,0.023707711812955026,-0.003163891141011538,-0.09243062883064439,-0.1144334448337081,0.6666666666666666,0.1272438587352095,1.4518999691855692,2837525.021134967,-0.11733862594906115
D13,direct,18,18,18,13,0.013263025192637334,0.018523663518945084,-0.007022319555679085,-0.07170268369141243,-0.1694939371228923,0.6111111111111112,0.1775588492484219,1.0719233324621578,1752668.6201311124,-0.1671851510764763
D29,direct,18,18,18,12,0.011377683193501298,0.022893637934974207,-0.014464442628252028,-0.07272704430181239,-0.09862949876360372,0.6666666666666666,0.11981181772709126,1.05048107223783,1698224.8528748422,-0.11262139482838696
D26,direct,18,18,18,12,0.011637368242964796,0.02104427967308959,-0.01071897159789656,-0.07925026590584093,-0.09641206400404478,0.6666666666666666,0.12723493353130366,1.6842109866306427,3511512.0728703416,-0.1180145463686802
D03,direct,18,18,18,12,0.0076562876521864,0.021248686742950003,-0.019552627168464037,-0.08586705556358827,-0.11844166181100668,0.6111111111111112,0.12662337243373056,1.7488948523843735,3707238.4087474933,-0.12896708478154417
D16,direct,18,18,17,12,0.02605363024348506,0.028341009254748663,-0.007389414836305258,-0.05979097531413891,-0.11014007666525416,0.7222222222222222,0.1138935416458996,0.969804258734611,1467462.8573139107,-0.0917909146458571
D33,direct,18,18,17,11,0.011712117765254826,0.02110985571297121,-0.033673593123690504,-0.09557314524592656,-0.11101927469252304,0.6111111111111112,0.13389698918116044,1.460825836301232,2862658.155882856,-0.1271510802739226
D07,direct,18,18,17,11,0.0217814041886617,0.0165883728137906,-0.026864215633819244,-0.10895699880271792,-0.12961149065135147,0.5555555555555556,0.1407541888861814,1.8726931227960522,4068062.4321393063,-0.12897278469751972
D27,direct,18,18,17,9,0.003687191924976574,0.007739288692480713,-0.020599931012400235,-0.10843574387945383,-0.1565847652175244,0.5555555555555556,0.17001863255966343,2.00894101996394,4453655.681126993,-0.17080796091787168
D01,direct,18,18,17,7,0.003328686126926106,0.011737057423896234,-0.022656932977210442,-0.10067961333311828,-0.13777400194453848,0.5,0.1394124718621349,2.3189626607488534,5363700.022163686,-0.1460837857352088
D20,direct,18,17,16,9,-1.0,-1.0,-1.0,-1.0,-1.0,0.6111111111111112,0.13750363107648433,1.6537266006936742,3418897.8433832107,-1.1411560246488721
D04,direct,18,18,15,10,-0.0016169572633348284,-0.0018621696312614813,-0.03915129157431313,-0.08962831882763761,-0.16611642279234595,0.5,0.17440025805483006,2.0976586535582027,4712174.185301874,-0.1860172153181649
D12,direct,18,18,15,7,0.0205929441574344,0.017552339855918673,-0.005282924296946601,-0.01604978303321858,-0.049679774823403355,0.6666666666666666,0.07647262964430268,1.0173456992624013,1612532.3698604326,-0.06587968548686828
D25,direct,18,18,15,7,0.015368643475268229,0.01547100508643378,-0.010391559318774307,-0.027236013053293748,-0.05344378315411358,0.6666666666666666,0.07994301720612451,0.942001570312997,1392695.8009484382,-0.0693832206600975
D14,direct,18,18,15,6,-0.0077790884721131714,0.007677391772408837,-0.039143240453328815,-0.09724885891453985,-0.15515290987749775,0.4444444444444444,0.15742657155488893,2.0581170419620944,4596008.521196448,-0.17038616236929113
D09,direct,18,18,14,10,0.010546883651312178,0.013007637450770283,-0.020885372042444422,-0.08766650939176562,-0.11103999389211416,0.6666666666666666,0.11836141485332352,2.1484303008643746,4876924.423677307,-0.11781453120201134
D17,direct,18,18,14,5,0.006570915091358098,0.0064262757477669095,-0.03211784601045817,-0.0822538148453189,-0.1569792728315138,0.5555555555555556,0.1606276292756803,1.6477324118262535,3405722.8414656417,-0.15838428833474363
D19,direct,18,18,13,9,0.007597917241569219,0.016526861474808023,-0.042660571235422384,-0.06883196877567122,-0.12811623837531272,0.5555555555555556,0.1334361526978568,0.934059394749841,1368205.400099531,-0.1297234295192102
D06,direct,18,18,13,9,0.0043005780573383,0.013447303579706367,-0.028964318932122007,-0.05796542802206782,-0.13303662628398527,0.5555555555555556,0.13646809822035577,1.2684072151247312,2355791.9871146735,-0.14216752016301748
D30,direct,18,18,13,6,-0.0001412628329021115,0.008130110020211474,-0.025836395648513172,-0.07889102804261487,-0.14049709306936253,0.5,0.15009753512729418,1.4116852420003805,2734731.3140531005,-0.1550384744831891
D22,direct,18,18,12,7,0.00969387974539504,0.011423468458279474,-0.009235986585966666,-0.0727247485345188,-0.1081029515579568,0.6666666666666666,0.1081029515579568,1.9497380198478953,4307903.9136073375,-0.10357725243367945
D35,direct,18,18,12,7,0.003851499900580646,0.009212312089525202,-0.022615787519702307,-0.0672381730675955,-0.10008591542795453,0.5555555555555556,0.11136909542795459,1.8878972274462973,4133523.8794721346,-0.11311881675875106
D31,direct,18,14,12,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.20250806762717188,0.8918790682887815,1448715.660569164,-1.2066025293867717
D32,direct,18,18,11,8,0.006495764200656229,0.012996991147391716,-0.024505776282437775,-0.06522838769542111,-0.1198216771148044,0.5555555555555556,0.12515313119276616,1.209826590156379,2187113.7841083095,-0.1225511477315534
D23,direct,18,18,11,4,0.002622537721863938,0.0011440855832263854,-0.036328022471429106,-0.09494882542561639,-0.14447843449019615,0.5555555555555556,0.14776088035765167,2.3600505567942682,5498182.977948528,-0.149791798776843
D10,direct,18,18,10,6,-0.004419909238388808,0.006203939288001059,-0.020820664134328704,-0.09301511493907237,-0.12931286524758867,0.4444444444444444,0.13282906570046615,2.588276488733012,6160821.937556464,-0.14724897493885497
D15,direct,18,11,10,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3333333333333333,0.0930619517854494,1.7477094119012522,3748670.0133112934,-1.097655094390702
D05,direct,18,11,10,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3333333333333333,0.13879930361771498,0.8915095917799751,1540802.4540989965,-1.148799303617715
D18,direct,18,10,10,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3333333333333333,0.17384832216107549,0.8264210514773013,1333616.4862326058,-1.1787586162658605
D24,direct,18,10,9,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2777777777777778,0.14445796242441766,0.8294872620227125,1299038.502718705,-1.1505567281756623
D34,direct,18,11,9,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2777777777777778,0.17017347795656323,1.6670973672498894,3466764.6998283793,-1.1756383293787591
D08,direct,18,10,9,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2777777777777778,0.18460050956615703,1.7440070960080458,3812773.759600731,-1.194600509566157
D21,direct,18,12,9,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2777777777777778,0.19229556990072705,1.7762372943718256,3880420.2429908067,-1.1976579355713748
D11,direct,18,9,9,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2222222222222222,0.22126096207974943,0.7360230064279739,1160009.6343888943,-1.2312609620797494
D28,direct,18,8,8,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3333333333333333,0.1128112403039534,2.0399555490568386,4591965.064834457,-1.1177191473942338
D02,direct,18,8,7,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2777777777777778,0.17768354022860422,2.142727622317241,4963554.575818523,-1.1876835402286041
