date,full_tuned_v2,v1_matched,0050
2025-01-02,993862230.6416832,994907324.7987764,998450956.9619873
2025-01-03,990538539.84007,992648760.7258818,1007493092.8109863
2025-01-06,1001192649.8145369,1004874792.5054922,1036010614.5089842
2025-01-07,1011093125.7319845,1014434781.5482782,1046443864.5089842
2025-01-08,1013331956.9203134,1014403236.678636,1032301071.1129881
2025-01-09,984140826.7614818,987823370.21127,1021635956.9619873
2025-01-10,989923513.2874304,992596412.4720235,1021404092.8109863
2025-01-13,960819400.4533979,960716343.7730314,1000073864.5089842
2025-01-14,970806080.8917542,966662924.3976008,1005638321.1129881
2025-01-15,963787184.6533009,957887509.8820461,998682821.1129881
2025-01-16,986801591.4482057,983026007.3229918,1016998956.9619873
2025-01-17,984141772.3901858,975842012.6685212,1008884206.9619873
2025-01-20,989706574.1917328,981130108.1174073,1018158206.9619873
2025-01-21,996234356.7398536,988372376.1243917,1020012978.6599853
2025-01-22,1008374555.456842,1003051768.9494162,1032069206.9619873
2025-02-03,989420692.5327765,982386554.7476932,992190992.8109863
2025-02-04,984222018.722692,975404743.1964226,997523542.8109863
2025-02-05,990851852.4348292,986671961.6560405,1011202692.8109863
2025-02-06,999314746.2013061,996939792.6309752,1015144142.8109863
2025-02-07,1005787333.4590793,1003313573.341946,1019317442.8109863
2025-02-10,997165784.8200713,998351212.354799,1008884192.8109863
2025-02-11,1002693062.8093767,1009132115.8976115,1014448592.8109863
2025-02-12,994350165.6370052,999716622.2958354,1013057492.8109863
2025-02-13,995570198.3650733,1000165903.0585514,1009116042.8109863
2025-02-14,991863580.3853785,996767669.1225818,998219092.8109863
2025-02-17,998521075.4383826,1012242189.8054326,1011898242.8109863
2025-02-18,998090395.2602779,1013610162.7224851,1015144142.8109863
2025-02-19,995393272.7330074,1011007315.121952,1013521192.8109863
2025-02-20,990360762.6713207,1001057819.4256569,1010043442.8109863
2025-02-21,994040665.3339272,1006241711.9719175,1016535242.8109863
2025-02-24,997305552.5651374,1006069418.4663866,1008420492.8109863
2025-02-25,993239519.3539456,992784670.0854834,996596142.8109863
2025-02-26,990669010.1072372,993819192.1392388,1001464992.8109863
2025-02-27,980253196.9889199,978775240.2186295,991263592.8109863
2025-03-03,969322199.5262401,970052964.9229627,970628956.9619873
2025-03-04,964173201.284172,965110336.6698816,964832706.9619873
2025-03-05,970944167.850512,971180909.4945451,976193342.8109863
2025-03-06,968545206.5424696,966750232.305516,970860821.1129881
2025-03-07,962175142.5164601,961247016.2222397,962746071.1129881
2025-03-10,963149546.7097968,958278752.0210228,957645342.8109863
2025-03-11,952783085.3311284,948690648.4564117,942575092.8109863
2025-03-12,957350807.9161677,951142744.7158761,946284706.9619873
2025-03-13,950578624.9553005,942972600.457757,938401821.1129881
2025-03-14,953632326.9668343,948591939.3463707,935619592.8109863
2025-03-17,955652335.8689733,951338258.6818103,942806956.9619873
2025-03-18,966332849.4650173,961129118.0494919,946284706.9619873
2025-03-19,958717701.7060777,954972456.2031018,935851456.9619873
2025-03-20,969152413.925277,965100415.8131948,953935728.6599853
2025-03-21,960631972.626798,954823622.0643736,946980228.6599853
2025-03-24,956926870.8328028,944311150.9973013,946052842.8109863
2025-03-25,954195168.3268365,943092315.8209031,954863114.5089842
2025-03-26,956620858.6662667,945747745.4012663,954167592.8109863
2025-03-27,953995654.5075011,944202345.8149074,937938092.8109863
2025-03-28,940501027.0686443,931488817.7009327,929591478.6599853
2025-03-31,917700177.4679446,908602987.7971311,899682842.8109863
2025-04-01,931428199.2919786,921980199.1454599,916144206.9619873
2025-04-02,933963967.7550665,924390859.1878197,914753092.8109863
2025-04-07,857583481.1563977,856426606.1106514,833141864.5089842
2025-04-08,846726920.519595,845707905.2416984,809261342.8109863
2025-04-09,809656949.2586322,816146457.9703442,776570478.6599853
2025-04-10,856862164.631638,860123509.8747023,844270706.9619873
2025-04-11,861008062.9687213,869592606.764618,861659456.9619873
2025-04-14,858892333.6272514,871242458.008957,857717978.6599853
2025-04-15,869067904.460619,877859314.4421654,865369071.1129882
2025-04-16,867463633.6074868,875368919.3211256,851458071.1129882
2025-04-17,865729060.5580571,873530421.3384359,843111456.9619873
2025-04-18,865342930.9839369,877050544.6085392,844734364.5089842
2025-04-21,860769311.8568995,873066681.6133558,834069321.1129882
2025-04-22,856153198.6860307,868188093.9804426,821781228.6599853
2025-04-23,865837667.409485,874848693.5190744,853776571.1129882
2025-04-24,865919625.2588227,875154657.5797064,849371364.5089842
2025-04-25,866254671.4584858,875533521.5112717,867223842.8109863
2025-04-28,870069399.5242063,879126216.2085377,873715614.5089842
2025-04-29,873896201.1566398,884294911.191934,876729706.9619873
2025-04-30,871641586.9927253,877878783.1668074,880439321.1129882
2025-05-02,879276930.0566978,888870924.238197,903160592.8109863
2025-05-05,876293713.8342181,880630528.5483257,895973228.6599853
2025-05-06,884013148.921815,889369313.7812784,891568092.8109863
2025-05-07,880196755.4848136,885322974.5343685,888554071.1129882
2025-05-08,880763401.0514379,887307729.9103403,898987321.1129882
2025-05-09,889272546.0531253,896848280.0842867,908956842.8109863
2025-05-12,893912227.4073801,901882335.6212112,917998978.6599853
2025-05-13,897302133.1689749,903208234.8675461,927968571.1129882
2025-05-14,910800384.0560106,913496142.5345383,946748364.5089842
2025-05-15,907479386.7370194,911146400.9944674,944893592.8109863
2025-05-16,913225732.3158797,913307546.0682573,947212092.8109863
2025-05-19,904244841.6088113,901110714.3075967,935387728.6599853
2025-05-20,910502468.1709579,907156864.9478813,937010706.9619873
2025-05-21,917898318.5685878,919504512.4933352,949994321.1129881
2025-05-22,923189890.7862983,923497145.8075676,940720321.1129881
2025-05-23,919354978.4468024,917286523.1284176,937242571.1129881
2025-05-26,915416690.7650517,916662728.8933592,936315114.5089842
2025-05-27,911628924.9392974,910654891.2268542,928895956.9619873
2025-05-28,912606874.7298462,912290316.099132,930287071.1129882
2025-05-29,911604358.0562348,915382208.3053473,932141842.8109863
2025-06-02,904940259.1687735,910153350.9669145,914289392.8109863
2025-06-03,919066356.6166648,922497019.858951,920085642.8109863
2025-06-04,923784166.035745,928046521.1636353,939329192.8109863
2025-06-05,922766733.3470035,925934092.5378152,940952142.8109863
2025-06-06,915260594.0429305,919940962.7063383,942343242.8109863
2025-06-09,927277529.1181926,932715397.5245225,950457992.8109863
2025-06-10,935473569.5012385,946972714.3278619,973411142.8109863
2025-06-11,945613150.3530564,959863290.4941447,973411142.8109863
2025-06-12,945197657.6646646,958592592.7536148,973411142.8109863
2025-06-13,946081182.466752,960021120.5263641,973411142.8109863
2025-06-16,943217174.6146297,961356608.7749479,973411142.8109863
2025-06-17,941325148.2364162,960121757.4214122,973411142.8109863
2025-06-18,934843789.2574537,960690420.488329,980969452.8109863
2025-06-19,928497033.1509066,952870693.9786373,972251892.8109863
2025-06-20,922026640.325585,944120260.9459549,970953532.8109863
2025-06-23,922829506.624805,948770927.3093314,963719812.8109863
2025-06-24,933228114.9448247,969814040.5356096,979485612.8109863
2025-06-25,946729683.5883653,978463818.398124,992283732.8109863
2025-06-26,943470294.928144,975244676.6823317,993396612.8109863
2025-06-27,940774309.4855399,975133378.865312,994324012.8109863
2025-06-30,937516913.3858376,975412716.2021643,995622372.8109863
2025-07-01,940062822.3328222,977636034.8752677,1000815801.4901855
2025-07-02,940633706.0257063,977393143.542367,1001001321.1129882
2025-07-03,951055732.559873,985001286.4756424,1013428447.1505859
2025-07-04,950416382.0631962,983836627.0845634,1004896384.1317871
2025-07-07,938606493.9347838,969703188.6041421,999517447.1505859
2025-07-08,951471949.788312,976999813.5631372,995436864.5089842
2025-07-09,971998202.7941173,999029453.0151647,1004710864.5089842
2025-07-10,978538482.6549855,1009293668.9000268,1015097769.9807861
2025-07-11,973765082.1073937,1003313492.9157525,1018992832.9995849
2025-07-14,967585539.2405568,996178593.7379254,1013613966.7733886
2025-07-15,983867021.8045368,1016623294.7427628,1026041092.8109863
2025-07-16,984657305.3118651,1016938703.1904767,1033460321.1129882
2025-07-17,983922661.8912542,1016760383.8582392,1039024706.9619873
2025-07-18,995143512.8403735,1029258535.4277909,1052935706.9619873
2025-07-21,996796627.226351,1025944357.8941393,1042734321.1129882
2025-07-22,977604064.468599,1000844563.1569157,1036242478.6599853
2025-07-23,981696890.9681594,1006726499.6709086,1039024706.9619873
2025-07-24,987002398.4130081,1013394943.1353347,1044589092.8109863
2025-07-25,985093130.8329347,1012861239.8896997,1042734321.1129882
2025-07-28,998526533.5903223,1029075678.96015,1045516478.6599853
2025-07-29,999303290.2296869,1027726867.0330894,1034387706.9619873
2025-07-30,1000517749.4961975,1031363390.3078033,1044589092.8109863
2025-07-31,1024631686.2180086,1057993326.7491167,1054790478.6599853
2025-08-01,1022442565.8176392,1055964637.9191321,1046443864.5089842
2025-08-04,1006101845.0583956,1038094739.5548091,1040879478.6599853
2025-08-05,1019950875.2195386,1053150116.2094845,1052935706.9619873
2025-08-06,1019252420.1899244,1053068218.3868921,1044589092.8109863
2025-08-07,1034613611.504375,1077439739.446695,1071483706.9619873
2025-08-08,1056564846.7667255,1105298927.21953,1071483706.9619873
2025-08-11,1080163266.1144595,1130407885.2135398,1078902864.508984
2025-08-12,1082454098.8965902,1136197782.0605454,1079830321.1129882
2025-08-13,1099670828.6410027,1149671675.5689988,1088176864.508984
2025-08-14,1095762883.1089547,1147459447.7307715,1084467321.1129882
2025-08-15,1114537942.7526581,1163366584.5765436,1084467321.1129882
2025-08-18,1151890659.853969,1189285612.1793652,1087249478.6599853
2025-08-19,1119555618.0239294,1157159544.935141,1085394706.9619873
2025-08-20,1073809089.4791496,1114189990.0248263,1057572706.9619873
2025-08-21,1101424453.0032558,1136551172.76228,1063137092.8109863
2025-08-22,1095994207.0344815,1127522721.6085722,1058500092.8109863
2025-08-25,1114821709.1313848,1147496777.605694,1076120706.9619873
2025-08-26,1118341838.3224335,1157274658.6604989,1077048092.8109863
2025-08-27,1141393969.878952,1175733627.3914592,1081685092.8109863
2025-08-28,1139345618.2037888,1174384333.8811972,1072411092.8109863
2025-08-29,1168872553.403971,1192996544.0730774,1072411092.8109863
2025-09-01,1146262900.4143934,1158293196.0501943,1063137092.8109863
2025-09-02,1130963125.7486978,1140326740.5214636,1063137092.8109863
2025-09-03,1132169801.9565768,1146122782.7402189,1062209706.9619873
2025-09-04,1135532703.4847054,1144556712.7857118,1068701478.6599853
2025-09-05,1172677918.974184,1173227337.5299425,1078902864.508984
2025-09-08,1186739562.9704857,1178056979.544947,1088176864.508984
2025-09-09,1202818735.2736917,1187774566.3030965,1098378321.1129882
2025-09-10,1230240927.6915276,1206370317.690636,1117853706.9619873
2025-09-11,1218013571.5494254,1190682688.532995,1127127706.9619873
2025-09-12,1210595340.593079,1190452074.1524408,1137329092.8109863
2025-09-15,1196417115.2521844,1179259806.1244533,1137329092.8109863
2025-09-16,1204100690.8013601,1187888648.6288352,1151240092.8109863
2025-09-17,1199234988.5646658,1182408797.9524257,1143820864.508984
2025-09-18,1223015246.9142458,1201025778.122486,1154949706.9619873
2025-09-19,1219308581.6753674,1202566490.316933,1155877092.8109863
2025-09-22,1243982886.4488485,1229539200.2968733,1163296321.1129882
2025-09-23,1247496259.6764119,1228410544.308412,1182771706.9619873
2025-09-24,1241539683.3330278,1225477926.598133,1181844321.1129882
2025-09-25,1229440987.5184808,1215799921.0809078,1178134706.9619873
2025-09-26,1188892127.7527657,1182402637.198969,1160514092.8109863
2025-09-30,1219176648.6443775,1217067792.760852,1170715478.6599853
2025-10-01,1227209040.3220267,1220624172.1154034,1176279864.508984
2025-10-02,1248739498.5501833,1242126930.6588,1196682706.9619873
2025-10-03,1262933854.3520885,1251071854.049509,1212448478.6599853
2025-10-07,1272698599.847622,1254231942.4513798,1243052706.9619873
2025-10-08,1265818062.6092105,1247250967.7240057,1232851321.1129882
2025-10-09,1273081363.4835653,1254560813.8483567,1241197864.508984
2025-10-13,1261066842.405906,1246024293.3081596,1230069092.8109863
2025-10-14,1237710003.202806,1229314340.807241,1224504706.9619873
2025-10-15,1268122556.2423713,1262319616.0632167,1244907478.6599853
2025-10-16,1290323935.8490365,1280988160.6976717,1267165092.8109863
2025-10-17,1268073045.8674583,1266912852.7547805,1249544478.6599853
2025-10-20,1286970790.591462,1278759960.7212284,1269019864.508984
2025-10-21,1293814855.940454,1292868855.847108,1270874706.9619873
2025-10-22,1292803469.055025,1294240862.2937312,1261600706.9619873
2025-10-23,1295022110.9092999,1293904349.9724643,1255108864.508984
2025-10-27,1333954849.7246213,1329600752.6279905,1282003478.6599853
2025-10-28,1342977286.666864,1336043137.958701,1273656864.508984
2025-10-29,1360330209.2602887,1352518941.7209558,1293132321.1129882
2025-10-30,1367335340.426117,1363063953.3573315,1293132321.1129882
2025-10-31,1380365693.457225,1379980245.380541,1299624092.8109863
2025-11-03,1389782480.302931,1393588759.7508485,1288495321.1129882
2025-11-04,1354550098.1020308,1357094360.2217376,1284785706.9619873
2025-11-05,1355425798.3769174,1353328087.1699977,1269947321.1129882
2025-11-06,1381037979.8421538,1366308892.7794461,1272729478.6599853
2025-11-07,1366557996.354287,1346972150.1369803,1258818478.6599853
2025-11-10,1401751165.690373,1372092612.6385026,1273656864.508984
2025-11-11,1398982860.7268715,1371377221.7573593,1265310321.1129882
2025-11-12,1411316181.5707421,1383205152.4937057,1270874706.9619873
2025-11-13,1418878620.4527435,1396008664.0483334,1265310321.1129882
2025-11-14,1378725654.8854532,1360667714.9645898,1243052706.9619873
2025-11-17,1393659670.2787642,1371258628.3455796,1246762321.1129882
2025-11-18,1347515612.0075061,1332659769.2324033,1219867706.9619873
2025-11-19,1341066999.3325922,1319267513.2448092,1212448478.6599853
2025-11-20,1379456726.019492,1363751676.0327554,1246762321.1129882
2025-11-21,1324288283.2522392,1299527259.5295355,1208738864.508984
2025-11-24,1339438156.7277837,1318056591.0296373,1203174478.6599853
2025-11-25,1348435929.916973,1335614941.0370035,1218012864.508984
2025-11-26,1349658847.16714,1339781778.1593413,1236560864.508984
2025-11-27,1369610411.3766181,1366182712.4324622,1246762321.1129882
2025-11-28,1394075962.71914,1391525773.1316097,1255108864.508984
2025-12-01,1376467317.0715547,1373301786.7361972,1239343092.8109863
2025-12-02,1373296880.4866586,1380961219.0549114,1243052706.9619873
2025-12-03,1374181253.0407267,1378864434.266881,1254181478.6599853
2025-12-04,1364019746.1642747,1371367361.7371242,1252326706.9619873
2025-12-05,1391542589.108149,1392430617.322389,1262528092.8109863
2025-12-08,1391403332.4214993,1393530141.1602535,1280148706.9619873
2025-12-09,1403411948.982291,1408158905.9100604,1278293864.508984
2025-12-10,1416274570.5355248,1415053931.4952295,1286640549.4149902
2025-12-11,1405598729.6736133,1404805323.4136016,1273656864.508984
2025-12-12,1432803845.0350869,1430066495.3466082,1275511706.9619873
2025-12-15,1425941632.1011183,1424579430.4587836,1263455478.6599853
2025-12-16,1388484034.7898355,1391302893.3093042,1253254092.8109863
2025-12-17,1383104742.4767046,1386111326.8052607,1246762321.1129882
2025-12-18,1371035882.610203,1373315489.7022877,1246762321.1129882
2025-12-19,1391735700.5995831,1395578228.695168,1257891092.8109863
2025-12-22,1421100341.8534496,1422337119.336214,1274584321.1129882
2025-12-23,1429214887.4775116,1425772920.5057151,1280148706.9619873
2025-12-24,1446149809.5080585,1432998669.3143883,1282930864.508984
2025-12-26,1453972791.0279014,1439517019.0376081,1293132321.1129882
2025-12-29,1446940633.7642648,1433322933.9143312,1308898092.8109863
2025-12-30,1452439119.695613,1431731973.4556355,1307043321.1129882
2025-12-31,1458521043.4797564,1440312097.3220282,1315389864.5089843
2026-01-02,1445046649.391455,1431179392.8925476,1340429692.8109863
2026-01-05,1439460055.975572,1428806674.9273713,1387727092.8109863
2026-01-06,1448676317.508617,1440724644.0517724,1404420292.8109863
2026-01-07,1428830195.7654874,1427601543.4810724,1394218892.8109863
2026-01-08,1425744188.2601333,1425101554.1556027,1398855892.8109863
2026-01-09,1429718594.4264214,1423305085.0356438,1394218892.8109863
2026-01-12,1456422470.2453341,1458383386.0795074,1403492892.8109863
2026-01-13,1439403492.115127,1449152664.9765368,1409984692.8109863
2026-01-14,1467986881.8457055,1475808223.1038327,1410912092.8109863
2026-01-15,1464123964.8724785,1476689792.0991077,1409057292.8109863
2026-01-16,1472126511.7674456,1500514318.8257027,1434097092.8109863
2026-01-19,1479905568.6496599,1510524052.750978,1445225892.8109863
2026-01-20,1508965130.5974848,1532173088.2909477,1445225892.8109863
2026-01-21,1491885424.2006702,1519412991.655528,1431314892.8109863
2026-01-22,1526389007.6197975,1538993913.7217908,1430387492.8109863
