candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,baseline_distance
tune_6eadb512258f,12,10,12,2,0.8333333333333334,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.010179667326349007,0.011971224931152736,0.002325516031105257,-0.011543320144124722,-0.1021970977996054,0.8,0.2,0.6666666666666666,0.03401190488064498,0.11935621325695212,2.785865853163931,1.0,-0.15669064589070605,0.008163567854466924,-0.026652283086704837,-1.0,10
tune_853925c9f651,12,9,12,3,0.75,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.022833402496956756,0.006059545173905106,0.003866499409172608,-0.04362206301051849,-0.09002824018890787,0.7777777777777778,0.2222222222222222,0.5833333333333334,0.030657567610514413,0.10620843762701904,1.6810378438850455,1.0,-0.24545534111957115,0.01191618618934831,-0.3175211801416809,-1.0,9
tune_44bd0c5919db,12,9,12,3,0.75,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.022413815570024864,0.006754157131655416,0.016815944018516493,-0.03511246628428792,-0.11832244105033385,0.7777777777777778,0.2222222222222222,0.5833333333333334,0.0332155046709498,0.13437291812966512,2.6460089459508858,1.0,-0.24493438215125843,0.01757802903324679,-0.3387418307877504,-1.0,9
tune_f767f31b5b7b,12,9,12,3,0.75,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02055625629743041,0.002391300580823683,-0.0030452480868856657,-0.04443677092445368,-0.13007609994116376,0.6666666666666666,0.3333333333333333,0.5,0.033431989138403284,0.14467437455048004,2.7490122734380233,1.0,-0.24820652456438222,0.007331908524878306,-0.34755707495587285,-1.0,9
tune_f9cb9a8b399a,12,9,12,3,0.75,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.01906400848899792,0.026939071056020607,0.010723912909344158,0.004734412850417492,-0.018475314869993764,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.032544904206506686,0.05178690573213107,2.9690075849816324,1.0,-0.22979569670798453,0.014347563631137872,-0.26385648615249535,-1.0,9
tune_3482f19843ce,12,9,12,3,0.75,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.017470879926613225,0.006550358672920901,0.0010593783449330818,-0.0383673209932291,-0.12047520809160117,0.7777777777777778,0.2222222222222222,0.5833333333333334,0.03269773859760006,0.13522651997545143,2.800294116580149,1.0,-0.2450872309953093,0.008650529349596425,-0.3403564060687009,-1.0,10
tune_06e0ae30a047,12,9,12,3,0.75,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.00472340657469239,0.0022344234079444292,0.00222309043553115,-0.025214659056805772,-0.1108607894558673,0.7777777777777778,0.2222222222222222,0.5833333333333334,0.03416468106176884,0.12469976295429719,2.8377462411892833,1.0,-0.24832418244404167,0.0031497083424827377,-0.3331455920919005,-1.0,10
tune_16c1b260f97b,12,8,12,4,0.6666666666666666,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.022965150227861608,0.004373627573412059,0.007773480680911604,-0.05149653446675467,-0.11499938333032023,0.75,0.25,0.5,0.03504652348388049,0.12955826674426296,2.8368378225861095,1.0,-0.3304175816177253,-0.002911355483039224,-1.0,-1.0,10
tune_2d6196e4c155,12,8,12,4,0.6666666666666666,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.021193317404162526,0.0016055525980413765,-0.0030329108543356853,-0.05089120735038778,-0.101846052522652,0.75,0.25,0.5,0.02801452676404531,0.11837875751570703,1.6338257654205537,1.0,-0.3322629649346391,-0.011706412756981976,-1.0,-1.0,9
tune_088e819ecd3f,12,8,12,4,0.6666666666666666,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.017119206983567947,0.0008239882781203856,-0.00231343988900537,-0.06138654534190503,-0.11394156936257327,0.75,0.25,0.5,0.03316798736729437,0.13369972642039718,2.8612411453827944,1.0,-0.33278400781458645,-0.014496614465590751,-1.0,-1.0,10
tune_51d6be4f2792,12,8,11,4,0.6666666666666666,0.9166666666666666,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.01791684867283805,0.011095763705046766,0.009802748207472012,-0.0368006886165818,-0.10928423194112613,0.75,0.25,0.5,0.03157111927070466,0.12544479109126472,2.7713167888757866,1.0,-0.3259361575299688,0.004623061169627074,-1.0,-1.0,10
x0352_daily_baseline,12,8,11,4,0.6666666666666666,0.9166666666666666,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.01764382668210318,0.004750391502262891,0.005289144505197546,-0.04546121939362954,-0.08948744663447494,0.75,0.25,0.5,0.03268871996012862,0.11070749248409661,2.532515717907207,1.0,-0.3301664056651581,-0.005338182426671667,-1.0,-1.0,0
tune_5dda2b818717,12,6,12,6,0.5,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02802598428011238,0.008764448359343665,-0.013730825541110686,-0.05421978505720565,-0.08383411774071625,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.027982870728057108,0.1034675537518408,2.2272265105389852,1.0,-0.4956177758203282,-0.5419170588703581,-1.0,-1.0,10
