date,symbol,issue
2025-04-07,1785.TWO,EXECUTION_OUTSIDE_PREDECLARED_PRICE_BOUND
2025-04-07,2451.TW,EXECUTION_OUTSIDE_PREDECLARED_PRICE_BOUND
2025-04-07,6290.TWO,EXECUTION_OUTSIDE_PREDECLARED_PRICE_BOUND
2025-04-08,4991.TWO,EXECUTION_OUTSIDE_PREDECLARED_PRICE_BOUND
