strategy,stage,episode,date,best_iteration,validation_pearson,train_pearson,target_std,prediction_std,n_train_rows,n_validation_rows,n_symbols,latest_label_end,raw_target_mean,raw_target_std,alpha_target_mean,alpha_target_std,alpha_cross_section_mean_error
lgbm_alpha,smoke,dev_2020_09m,2020-09-22,221,0.156758,0.334087,0.063554,0.010112,79020,20420,139,2020-09-21,0.008329,0.07617,0.0,0.063727,0.0
lgbm_alpha,smoke,dev_2020_09m,2020-09-29,235,0.155561,0.330994,0.063505,0.010515,79582,20429,139,2020-09-28,0.007915,0.076045,0.0,0.063594,0.0
lgbm_alpha,smoke,dev_2020_09m,2020-10-08,202,0.154893,0.322707,0.063405,0.009515,80151,20431,139,2020-10-07,0.00756,0.075982,0.0,0.063502,0.0
lgbm_alpha,smoke,dev_2020_09m,2020-10-16,350,0.148852,0.364917,0.063381,0.012918,80379,20430,139,2020-10-15,0.007675,0.076,0.0,0.063487,0.0
lgbm_alpha,smoke,dev_2021_04m,2021-04-15,2,0.034601,0.221267,0.064264,7.3e-05,80597,20674,140,2021-04-14,0.010622,0.077516,-0.0,0.064942,0.0
lgbm_alpha,smoke,dev_2021_04m,2021-04-22,65,0.054748,0.278247,0.064875,0.002494,80597,20683,140,2021-04-21,0.010733,0.077927,0.0,0.065386,0.0
lgbm_alpha,smoke,dev_2021_04m,2021-04-29,33,0.075187,0.257708,0.065459,0.001559,80600,20697,140,2021-04-28,0.010951,0.078376,0.0,0.065868,0.0
lgbm_alpha,smoke,dev_2021_04m,2021-05-07,45,0.053164,0.260672,0.065962,0.001937,80602,20710,140,2021-05-06,0.011006,0.078757,0.0,0.066274,0.0
lgbm_alpha,smoke,dev_2021_04m,2021-05-14,257,0.035664,0.342585,0.066406,0.005946,80600,20722,140,2021-05-13,0.010592,0.079364,0.0,0.066573,0.0
lgbm_alpha,smoke,dev_2021_11m,2021-11-15,2,0.069859,0.239804,0.067385,0.000179,80831,20787,141,2021-11-12,0.013086,0.080826,0.0,0.067579,0.0
lgbm_alpha,smoke,dev_2021_11m,2021-11-22,88,0.040262,0.292136,0.067262,0.005672,80855,20788,141,2021-11-19,0.01413,0.080374,0.0,0.067732,0.0
lgbm_alpha,smoke,dev_2021_11m,2021-11-29,160,0.006868,0.315776,0.067102,0.008648,80879,20792,141,2021-11-26,0.014682,0.080395,0.0,0.067995,0.0
lgbm_alpha,smoke,dev_2021_11m,2021-12-06,199,-0.030455,0.325407,0.06694,0.009905,80909,20791,141,2021-12-03,0.014851,0.080401,0.0,0.068101,0.0
lgbm_alpha,smoke,dev_2021_11m,2021-12-13,694,-0.019023,0.42565,0.067119,0.019936,80937,20785,141,2021-12-10,0.014691,0.080325,0.0,0.068088,0.0
lgbm_raw,full,dev_2019_01,2019-01-02,2,0.056651,0.23994,0.072376,0.000195,41454,20314,138,2018-12-28,0.005732,0.067787,0.0,0.060397,0.0
lgbm_raw,full,dev_2019_01,2019-01-09,75,0.025392,0.325939,0.072227,0.005386,41504,20313,138,2019-01-08,0.005544,0.067468,0.0,0.060037,0.0
lgbm_raw,full,dev_2019_01,2019-01-16,8,0.043433,0.245168,0.072131,0.001135,41553,20316,138,2019-01-15,0.005792,0.067409,0.0,0.059969,0.0
lgbm_raw,full,dev_2019_01,2019-01-23,1245,0.04407,0.602822,0.072177,0.024991,41602,20316,138,2019-01-22,0.006024,0.067453,0.0,0.059958,0.0
lgbm_raw,full,dev_2019_01,2019-01-30,5,0.060444,0.271056,0.072041,0.000681,41651,20317,138,2019-01-29,0.006002,0.067371,0.0,0.059885,0.0
lgbm_raw,full,dev_2019_01m,2019-01-15,528,0.036307,0.483987,0.072111,0.018286,41543,20315,138,2019-01-14,0.005733,0.067399,0.0,0.059958,0.0
lgbm_raw,full,dev_2019_01m,2019-01-22,313,0.038343,0.422923,0.072161,0.01617,41593,20317,138,2019-01-21,0.006011,0.067451,0.0,0.05996,0.0
lgbm_raw,full,dev_2019_01m,2019-01-29,1,0.062043,0.268299,0.072074,0.000136,41641,20316,138,2019-01-28,0.005993,0.067377,0.0,0.059894,0.0
lgbm_raw,full,dev_2019_01m,2019-02-14,418,0.041949,0.450124,0.071991,0.016159,41688,20320,138,2019-02-13,0.006322,0.067386,0.0,0.059911,0.0
lgbm_raw,full,dev_2019_01m,2019-02-21,277,0.043699,0.399744,0.071722,0.012513,41735,20321,138,2019-02-20,0.007019,0.067214,-0.0,0.05992,0.0
lgbm_raw,full,dev_2019_02,2019-02-11,6,0.054907,0.270221,0.072005,0.000821,41661,20317,138,2019-01-30,0.006031,0.067366,-0.0,0.059876,0.0
lgbm_raw,full,dev_2019_02,2019-02-18,3000,0.06102,0.709139,0.071893,0.030052,41708,20320,138,2019-02-15,0.006586,0.067355,0.0,0.059926,0.0
lgbm_raw,full,dev_2019_02,2019-02-25,1948,0.069159,0.65481,0.071656,0.024198,41753,20321,138,2019-02-22,0.007348,0.067113,0.0,0.059916,0.0
lgbm_raw,full,dev_2019_02,2019-03-06,175,0.051193,0.353607,0.071619,0.01104,41796,20329,138,2019-03-05,0.007785,0.067063,0.0,0.059907,0.0
lgbm_raw,full,dev_2019_02,2019-03-13,100,0.054191,0.333547,0.071461,0.007244,41845,20337,138,2019-03-12,0.007635,0.066991,0.0,0.059866,0.0
lgbm_raw,full,dev_2019_02m,2019-02-15,1350,0.045376,0.598914,0.07194,0.024464,41698,20320,138,2019-02-14,0.006473,0.067364,0.0,0.059921,0.0
lgbm_raw,full,dev_2019_02m,2019-02-22,345,0.054505,0.418807,0.071696,0.014343,41744,20321,138,2019-02-21,0.007181,0.067172,0.0,0.059918,0.0
lgbm_raw,full,dev_2019_02m,2019-03-05,193,0.053811,0.365932,0.071615,0.011257,41787,20327,138,2019-03-04,0.00771,0.067063,0.0,0.059899,0.0
lgbm_raw,full,dev_2019_02m,2019-03-12,89,0.052769,0.331854,0.071556,0.006555,41835,20336,138,2019-03-11,0.00772,0.067042,0.0,0.05989,0.0
lgbm_raw,full,dev_2019_02m,2019-03-19,260,0.051341,0.388677,0.071262,0.013336,42312,20340,138,2019-03-18,0.007528,0.066875,0.0,0.059787,0.0
lgbm_raw,full,dev_2019_03,2019-03-04,1455,0.063507,0.612688,0.07162,0.023258,41778,20325,138,2019-02-27,0.007645,0.067063,0.0,0.059895,0.0
lgbm_raw,full,dev_2019_03,2019-03-11,117,0.049112,0.339788,0.071611,0.008512,41825,20334,138,2019-03-08,0.007781,0.067071,0.0,0.059914,0.0
lgbm_raw,full,dev_2019_03,2019-03-18,149,0.051053,0.345609,0.07131,0.010475,42195,20339,138,2019-03-15,0.007546,0.066912,0.0,0.05981,0.0
lgbm_raw,full,dev_2019_03,2019-03-25,4,0.057026,0.263196,0.071184,0.000446,42780,20347,138,2019-03-22,0.007564,0.066812,-0.0,0.059771,0.0
lgbm_raw,full,dev_2019_03,2019-04-01,1712,0.064556,0.640957,0.070974,0.021075,43368,20359,138,2019-03-29,0.007477,0.066674,0.0,0.059705,0.0
lgbm_raw,full,dev_2019_03m,2019-03-15,240,0.053151,0.380099,0.071358,0.013046,42077,20338,138,2019-03-14,0.007572,0.066944,0.0,0.059831,0.0
lgbm_raw,full,dev_2019_03m,2019-03-22,7,0.065438,0.271418,0.071195,0.000804,42662,20345,138,2019-03-21,0.007541,0.066821,0.0,0.05977,0.0
lgbm_raw,full,dev_2019_03m,2019-03-29,587,0.059199,0.488078,0.071028,0.01606,43250,20358,138,2019-03-28,0.007533,0.066728,0.0,0.059727,0.0
lgbm_raw,full,dev_2019_03m,2019-04-09,291,0.049245,0.40157,0.070585,0.011023,43836,20366,138,2019-04-08,0.007283,0.066528,0.0,0.059671,0.0
lgbm_raw,full,dev_2019_03m,2019-04-16,2075,0.065173,0.654649,0.070137,0.020741,44408,20379,138,2019-04-15,0.007184,0.066457,0.0,0.059643,0.0
lgbm_raw,full,dev_2019_04,2019-04-01,1712,0.064556,0.640957,0.070974,0.021075,43368,20359,138,2019-03-29,0.007477,0.066674,0.0,0.059705,0.0
lgbm_raw,full,dev_2019_04,2019-04-10,74,0.045253,0.30834,0.070448,0.005397,43952,20370,138,2019-04-09,0.007258,0.06651,-0.0,0.059663,0.0
lgbm_raw,full,dev_2019_04,2019-04-17,1645,0.056323,0.624975,0.070148,0.019146,44518,20381,138,2019-04-16,0.007163,0.066446,0.0,0.059643,0.0
lgbm_raw,full,dev_2019_04,2019-04-24,31,0.064287,0.299321,0.070524,0.002576,45068,20399,138,2019-04-23,0.007204,0.06647,0.0,0.059661,0.0
lgbm_raw,full,dev_2019_04,2019-05-02,388,0.076586,0.435374,0.070576,0.011126,45615,20417,138,2019-04-30,0.007304,0.066462,0.0,0.059662,0.0
