symbol,date,scheduled_date,dividend,split,subscription_shares,subscription_exercised,type,source,cash_basis,date_source
2313.TW,2026-06-22,2026-06-22,0.0,1.0,42000000.0,False,dividend_or_rights,data/tuning_2nd/official_universe/raw/actions/detail_2313_20260622.json,per_pre_action_old_share,
2451.TW,2026-06-25,2026-06-25,11.782382,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
8046.TW,2026-06-25,2026-06-25,2.0,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
8210.TW,2026-06-25,2026-06-25,14.0,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
6789.TW,2026-06-26,2026-06-26,3.0,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
3189.TW,2026-07-02,2026-07-02,1.517564,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
2408.TW,2026-07-07,2026-07-07,1.347149,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
2404.TW,2026-07-16,2026-07-16,40.0,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
6515.TW,2026-07-17,2026-07-17,49.43752,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
6239.TW,2026-07-30,2026-07-30,4.5,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
7769.TW,2026-07-30,2026-07-30,64.990246,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
6770.TW,2026-08-27,2026-08-27,0.23,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
6139.TW,2026-09-02,2026-09-02,22.996187,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/twse_2026.json,per_pre_action_old_share,
7751.TWO,2026-03-31,2026-03-31,18.0,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
6182.TWO,2026-04-16,2026-04-16,0.0,1.0,20000000.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
7828.TWO,2026-06-04,2026-06-04,4.52980585,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
4749.TWO,2026-06-11,2026-06-11,8.0,1.0,2000000.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
7734.TWO,2026-07-06,2026-07-06,19.8506333,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
8358.TWO,2026-07-17,2026-07-17,2.0,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
3491.TWO,2026-07-23,2026-07-23,6.8,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
6290.TWO,2026-07-23,2026-07-23,6.192344,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
3163.TWO,2026-07-28,2026-07-28,1.75,1.17499999162,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
5289.TWO,2026-08-27,2026-08-27,16.83491506,1.01992297288,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
8932.TWO,2026-08-28,2026-08-28,0.7207,1.19216000132,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
6584.TWO,2026-09-08,2026-09-08,2.44070731,1.0,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
1815.TWO,2026-09-09,2026-09-09,0.50001709,1.05000171092,0.0,False,dividend_or_rights,data/extended/raw/actions/tpex_2026.json,per_pre_action_old_share,
8932.TWO,2024-09-09,2024-08-29,0.0,2.0,0.0,False,face_value_split,https://www.tpex.org.tw/storage/eb_data/11309/11300087991.html,per_pre_action_old_share,https://www.tpex.org.tw/storage/eb_data/11309/11300087991.html
8932.TWO,2026-03-09,2026-02-25,0.0,2.0,0.0,False,face_value_split,https://www.tpex.org.tw/storage/eb_data/11503/11500008331.html,per_pre_action_old_share,https://www.tpex.org.tw/storage/eb_data/11503/11500008331.html
6919.TW,2025-07-21,2025-07-14,0.0,10.0,0.0,False,face_value_split,https://mopsov.twse.com.tw/nas/STR/691920260206M001.pdf,per_pre_action_old_share,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20250701&stockNo=6919
