ticker,name,market,yahoo_symbol,reference_date,attachment_created_at,source_page,source_url,official_ticker,symbol,known_at,known_at_policy,universe_type
2330,台積電,TWSE,2330.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2330,2330.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2883,凱基金,TWSE,2883.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2883,2883.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2454,聯發科,TWSE,2454.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2454,2454.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
3443,創意,TWSE,3443.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,3443,3443.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2308,台達電,TWSE,2308.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2308,2308.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
3653,健策,TWSE,3653.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,3653,3653.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2317,鴻海,TWSE,2317.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2317,2317.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2395,研華,TWSE,2395.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2395,2395.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
3711,日月光投控,TWSE,3711.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,3711,3711.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2301,光寶科,TWSE,2301.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2301,2301.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2881,富邦金,TWSE,2881.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2881,2881.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
6446,藥華藥,TWSE,6446.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,6446,6446.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2383,台光電,TWSE,2383.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2383,2383.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
4958,臻鼎-KY,TWSE,4958.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,4958,4958.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2303,聯電,TWSE,2303.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2303,2303.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2603,長榮,TWSE,2603.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2603,2603.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
2882,國泰金,TWSE,2882.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,2882,2882.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
5880,合庫金,TWSE,5880.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,5880,5880.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
3037,欣興,TWSE,3037.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,3037,3037.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
1216,統一,TWSE,1216.TW,2026-07-31,2026-09-18T10:02:56+08:00,1,https://esun-ai-challenge.tw/api/events/fundaiagent/attachments/5/download/,1216,1216.TW,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption,EX_POST_FIXED_OFFICIAL_POOL_NOT_PIT
