symbol,code,regular_listing_date,source_url,raw_path,use
1231.TW,1231,1995-11-02,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1232.TW,1232,1996-02-09,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1233.TW,1233,1999-01-20,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1234.TW,1234,1999-03-12,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1235.TW,1235,2000-09-11,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1236.TW,1236,2001-09-17,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1256.TW,1256,2016-03-17,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1301.TW,1301,1964-07-27,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1303.TW,1303,1967-11-05,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1304.TW,1304,1972-05-20,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1305.TW,1305,1973-03-05,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1307.TW,1307,1985-11-23,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1308.TW,1308,1986-06-20,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1309.TW,1309,1986-06-27,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1310.TW,1310,1987-08-06,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1312.TW,1312,1988-12-21,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1313.TW,1313,1989-03-27,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1314.TW,1314,1991-07-12,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1315.TW,1315,1992-05-09,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1316.TW,1316,1992-10-15,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1319.TW,1319,1994-12-12,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1321.TW,1321,1999-01-26,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1323.TW,1323,2000-09-11,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1324.TW,1324,2000-09-11,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1325.TW,1325,2000-09-11,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1326.TW,1326,1984-12-20,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
