date,symbol,open,high,low,close,volume,dividend,split,split_restoration_factor,turnover,price_source,source_symbol,execution_volume,official_turnover,vwap_source,execution_vwap,ema20,ema50,ema100,ema200,signal_price,return20,return50,return1,volume_ratio,volatility_ratio,macd_hist,ready,trend,long_trend,four_hour_ok,four_hour_available,four_hour_ready,score,entry_ok,exit,plan_reason
2024-12-31,0050.TW,196.7,196.9,195.6,195.75,8290222.0,0.0,1.0,4.0,1625749078.0,official_monthly,0050.TW,8290222.0,,official_monthly,196.1044080604838,201.5449780185735,199.03687276655234,194.23902984802504,183.6513043495411,201.37550835559045,0.00746268656716409,-0.011613244212658858,-0.010364004044489561,0.9044740940247284,0.6738681488289763,0.03348339757285279,True,0.0,1.0,False,False,False,1.0,True,False,BUY_CASH_CAP_CORRECTION
2025-01-02,0050.TW,195.64999389648435,195.64999389648435,193.25,194.0500030517578,12797702.0,0.0,1.0,4.0,2749829175.0,yahoo_historical_units,0050.TW,14166530.0,2749829175.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250102&type=ALLBUT0999,194.1074613896276,201.3622807316141,199.06000154062872,194.34571552441068,183.81026307746112,199.6266565054999,-0.007162941664068612,-0.016472376835937164,-0.008684531025502928,1.08210792411618,0.656138621579844,-0.22259114115914724,True,0.0,1.0,False,False,False,1.0,True,False,HOLD
2025-01-03,0050.TW,196.0,196.9499969482422,195.1999969482422,196.0,7113371.0,0.0,1.0,4.0,1461802474.0,yahoo_historical_units,0050.TW,7453437.0,1461802474.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250103&type=ALLBUT0999,196.1246166030517,201.3880342726868,199.16089139836396,194.49001210636052,183.98760068776377,201.6326929128773,-0.00254452926208637,-4.440892098500626e-16,0.010048940569828746,1.0953360807910053,0.991839859077317,-0.25443798826138764,True,1.0,1.0,False,False,False,1.0,True,False,HOLD
2025-01-06,0050.TW,198.64999389648435,202.3000030517578,198.6000061035156,202.14999389648435,24627793.0,0.0,1.0,4.0,5292043270.0,yahoo_historical_units,0050.TW,26355410.0,5292043270.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250106&type=ALLBUT0999,200.79533082581528,202.01388117464174,199.50593200012278,194.7567331882784,184.2261263201563,207.9594267432135,0.03269473254908983,0.03773095857074282,0.03137751988002213,1.526921017386167,1.9690781793951606,0.132242933326153,True,1.0,1.0,False,False,False,1.0,True,False,HOLD
2025-01-07,0050.TW,204.9499969482422,206.0,204.25,204.39999389648435,15943844.0,0.0,1.0,4.0,3443887469.0,yahoo_historical_units,0050.TW,16788119.0,3443887469.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250107&type=ALLBUT0999,205.13837607417483,202.80056751598966,199.92821261810994,195.0640075362094,184.48531001606318,210.27408775879502,0.0428571117167571,0.040733198821871985,0.011130349086986291,1.533453343555028,1.5088972238201412,0.5046359767295818,True,1.0,1.0,False,False,False,1.0,True,False,HOLD
2025-01-08,0050.TW,202.64999389648435,203.3500061035156,201.0500030517578,201.3500061035156,11855717.0,0.0,1.0,4.0,2513950378.0,yahoo_historical_units,0050.TW,12435236.0,2513950378.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250108&type=ALLBUT0999,202.1634634035092,203.21350858282256,200.21088854358544,195.30306577742772,184.71069448075647,207.1364487177354,0.03468656784951518,0.02703393506379359,-0.014921662837785399,1.5193955404771187,1.5889991719899335,0.4994489766878081,True,1.0,1.0,False,False,False,1.0,True,False,HOLD
2025-01-09,0050.TW,200.1999969482422,201.14999389648435,199.0,199.0500030517578,8430655.0,0.0,1.0,4.0,1819154055.0,yahoo_historical_units,0050.TW,9097699.0,1819154055.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250109&type=ALLBUT0999,199.9575997183464,203.36177897029057,200.38969086153256,195.49053670562193,184.91029301976621,204.7703476512366,0.03188181986395966,0.039425603403434595,-0.011422910265894703,1.3777120222082588,1.5767438154492288,0.3059734373059251,True,1.0,1.0,False,False,False,1.0,True,False,HOLD
2025-01-10,0050.TW,199.0,199.5500030517578,198.0,199.0,8321324.0,0.0,1.0,4.0,1797943690.0,yahoo_historical_units,0050.TW,9049013.0,1797943690.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250110&type=ALLBUT0999,198.68948027812536,203.4910293160076,200.55946406697518,195.67327672333872,185.1073936623588,204.71890760031928,0.019728414040481645,0.03753908672409745,-0.0002512084953086857,1.3948315548740302,1.5509661783890123,0.1516434798869699,True,1.0,1.0,False,False,False,1.0,True,False,HOLD
2025-01-13,0050.TW,199.0,199.0,194.1000061035156,194.39999389648435,20876179.0,0.0,1.0,4.0,4565969494.0,yahoo_historical_units,0050.TW,23384365.0,4565969494.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250113&type=ALLBUT0999,195.2573650813268,203.15728418756134,200.53700294542014,195.75869115391262,185.25544651613953,199.98670546732168,-0.004608326182875766,0.02047240890542934,-0.023115608560380085,1.2995814458984232,1.124254307465236,-0.2691214808771416,True,0.0,1.0,False,False,False,1.0,True,False,HOLD
2025-01-14,0050.TW,194.6999969482422,195.89999389648435,194.0500030517578,195.6000061035156,10877775.0,0.0,1.0,4.0,2243491830.0,yahoo_historical_units,0050.TW,11499417.0,2243491830.0,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20250114&type=ALLBUT0999,195.0961366128388,202.97289558875912,200.5638343554091,195.8668597231448,185.41430977369177,201.22120390013816,-0.0025496884063458403,0.013734175678604021,0.006172902493351895,1.1103403129003757,0.8954861255659596,-0.4534312724074616,True,0.0,1.0,False,False,False,1.0,True,False,HOLD
