episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.1091828011168926,0.12368605588044423,0.20610233363928926,-5.776298692464169,-0.1091828011168926,0.12368605588044423,0.20610233363928926,-5.776298692464169,890817198.8831074,24,4965087.052425243,3014717.140242885,1950369.9121823579,2.169683912103291,4.277377701134079,100,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.1091828011168926,0.12368605588044423,2.1155909756090416,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,0.03048597231992156,0.029339002040212336,0.09934171658627491,3.223612829921535,0.03048597231992156,0.029339002040212336,0.09934171658627491,3.223612829921535,1030485972.3199215,24,3514954.294839776,2320960.720753686,1193993.5740860903,1.631563267461439,2.9780215705792075,103,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.03048597231992156,0.029339002040212336,1.6287443654411835,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-08-01,-0.09136765038640293,0.13923743492492702,0.29788499983098254,-3.2265229688404373,-0.09136765038640293,0.13122941826117696,0.28877362404679463,-3.3372555302638705,908632349.613597,24,3983821.0008626757,2564126.137602497,1419694.8632601786,1.876111470049502,,115,0,False,True,0,0,0,0,0,0,0,0,1,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.09136765038640293,0.13122941826117696,1.799386763229822,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2012-06-01,0.020637520377778884,0.03582739335934981,0.14983518405633642,1.5039794227917584,0.020637520377778884,0.03582739335934981,0.14561224281898114,1.5435381717149377,1020637520.3777789,24,4560472.051321995,2796994.3377791336,1763477.7135428616,1.9752165937578514,1039.9837154285176,99,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.020637520377778884,0.03582739335934981,1.9628030440555322,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2013-04-01,0.0420517410914476,0.01855417581494312,0.10816716691721022,4.053801382326761,0.0420517410914476,0.01855417581494312,0.10816716691721022,4.053801382326761,1042051741.0914476,24,4715680.827155864,2904282.498379582,1811398.328776282,2.029340241915163,,137,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.0420517410914476,0.01855417581494312,2.038092981319004,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-01-02,0.028896400871378125,0.03224407776781146,0.11057668515912424,2.759763428240235,0.028896400871378125,0.03224407776781146,0.11057668515912424,2.759763428240235,1028896400.8713782,24,4259414.495066043,2649512.4804556756,1609902.0146103674,1.8486849659929163,21.962531829756273,93,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.028896400871378125,0.03224407776781146,1.8593070038285446,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-11-03,0.055053440654979635,0.02031671085382858,0.15381172489985148,3.7357706229619745,0.055053440654979635,0.02031671085382858,0.15381172489985148,3.7357706229619745,1055053440.6549797,24,4654038.044662604,2838600.7997482736,1815437.24491433,1.9865834085566056,3.025,87,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.055053440654979635,0.02031671085382858,1.9920005612268585,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2015-08-03,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2016-06-01,0.01917898273683183,0.034922519450911516,0.15072453979328598,1.396694984284975,0.01917898273683183,0.034922519450911516,0.1538565977744542,1.3712539351925395,1019178982.7368319,24,4294959.222028736,2697014.2928083246,1597944.9292204115,1.8798706715180058,8.278497134366377,81,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.01917898273683183,0.034922519450911516,1.8926416089882985,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2017-04-05,-0.04379110155841348,0.055311454985918274,0.16947535867131341,-2.6902123919987813,-0.04379110155841348,0.055311454985918274,0.16947535867131341,-2.6902123919987813,956208898.4415865,24,3947511.528890717,2538296.324004204,1409215.2048865128,1.7976580952376868,2.4959109764111536,133,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.04379110155841348,0.055311454985918274,1.7812605782485642,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
