date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2013-07-01,2013-06-28,1519.TW,1519.TW,1000,13.751667090862815,13751.667090862815,19.59612560447951,0.0,0.0,0.0050903537795876815,196450.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,1785.TWO,1785.TWO,1000,28.588863586366372,28588.863586366373,40.73913061057208,0.0,0.0,0.0010045112600689696,995509.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2059.TW,2059.TW,1000,228.47343567372351,228473.43567372352,325.574645835056,0.0,0.0,0.0011174158194792395,894922.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2344.TW,2344.TW,1437000,8.793636827394842,12636456.120966388,18006.949972377104,0.0,0.0,0.05673423304535742,25328623.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2347.TW,2347.TW,2439000,39.452411057724305,96224430.56978957,137119.81356195014,0.0,0.0,0.4161850421150596,5860374.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2357.TW,2357.TW,369000,263.9833218560671,97409845.76488876,138809.03021496648,0.0,0.0,0.02244956923292012,16436841.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2360.TW,2360.TW,1872000,52.939310730939745,99102389.6883192,141220.90530585486,0.0,0.0,0.37324175618221533,5015516.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2395.TW,2395.TW,1000,146.33995735754522,146339.9573575452,208.53443923450192,0.0,0.0,0.001434806688494859,696958.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2409.TW,2409.TW,8762000,11.162378433513979,97804759.83444948,139371.78276409052,0.0,0.0,0.07550704050585615,116042159.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3105.TWO,3105.TWO,1000,32.486297804933244,32486.297804933245,46.292974372029875,0.0,0.0,0.0002828694274722788,3535200.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3131.TWO,3131.TWO,426000,233.83865539362168,99615267.19768283,141951.75575669802,0.0,0.0,0.8689355539464156,490255.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3211.TWO,3211.TWO,390000,92.29824348879467,35996314.96062992,51294.748818897635,0.0,0.0,0.47244094488188976,825500.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
