date,symbol,issue
2017-10-20,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:6290.TWO
2017-10-23,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:3443.TW;ACTIVE_CAP:6182.TWO;ACTIVE_CAP:6290.TWO
