candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,baseline_distance
tune_6eadb512258f,107,77,106,30,0.719626168224299,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.010080788643961558,0.008884106695456194,-0.020501254374664102,-0.04846690514392706,-0.1021970977996054,0.6103896103896104,0.38961038961038963,0.4392523364485981,0.0317878498898565,0.11935621325695212,2.85426423620819,1.0,-0.27398059611635395,-0.012665886032860563,-1.0,-1.0,10
tune_06e0ae30a047,107,77,106,30,0.719626168224299,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.007064024332833041,0.005276175559364536,-0.0311223721375532,-0.05621277127722635,-0.1108607894558673,0.5974025974025974,0.4025974025974026,0.42990654205607476,0.03761418658939086,0.12469976295429719,2.8377462411892833,1.0,-0.2765769577750367,-0.02424022220446731,-1.0,-1.0,10
tune_3482f19843ce,107,75,106,32,0.7009345794392523,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.01624168035425977,0.011301228366494007,-0.021227015827336326,-0.05012118230491602,-0.12047520809160117,0.6,0.4,0.4205607476635514,0.03590253988649872,0.13522651997545143,2.800294116580149,1.0,-0.29114399880853226,-0.018336985182113574,-1.0,-1.0,10
tune_f767f31b5b7b,107,74,106,33,0.6915887850467289,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.011370336857150942,0.010674915295454758,-0.02257868614799241,-0.054762339376836285,-0.13007609994116376,0.6216216216216216,0.3783783783783784,0.42990654205607476,0.03480814860347742,0.14467437455048004,2.7496088449581335,1.0,-0.3010285632536107,-0.02069266039681017,-1.0,-1.0,9
tune_44bd0c5919db,107,73,106,34,0.6822429906542056,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.014003576774386683,0.008784678020828227,-0.02200242491638782,-0.05764307934724677,-0.11832244105033385,0.589041095890411,0.410958904109589,0.40186915887850466,0.035106416908401994,0.13437291812966512,2.619990780717107,1.0,-0.3117637243409303,-0.019811327979776805,-1.0,-1.0,9
x0352_daily_baseline,107,68,100,39,0.6355140186915887,0.9345794392523364,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019176746490200514,0.015804897113729822,-0.015569745067713053,-0.0480681856583872,-0.08948744663447494,0.6617647058823529,0.3382352941176471,0.4205607476635514,0.03237190744717289,0.11070749248409661,2.4049612587641,1.0,-0.3544417476286577,-0.022256916457285558,-1.0,-1.0,0
tune_853925c9f651,107,67,104,40,0.6261682242990654,0.9719626168224299,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.017690391654652915,0.01223023054144851,-0.018198635237907657,-0.04748485827672173,-0.09002824018890787,0.6268656716417911,0.373134328358209,0.3925233644859813,0.02968978384254095,0.10620843762701904,1.7018095598265235,1.0,-0.3661735939600276,-0.027168687728209684,-1.0,-1.0,9
tune_f9cb9a8b399a,107,61,100,46,0.5700934579439252,0.9345794392523364,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.011348122452454978,0.011792145355094177,-0.01425978507743364,-0.05764515088284006,-0.0863603443356814,0.7049180327868853,0.29508196721311475,0.40186915887850466,0.03463798402147633,0.11146968218592823,3.073875505135918,1.0,-0.4231839171340117,-0.055213416887443745,-1.0,-1.0,9
