period,strategy,candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings
development,基準,x0352_daily_baseline,107,68,100,39,0.6355140186915887,0.9345794392523364,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019176746490200514,0.015804897113729822,-0.015569745067713053,-0.0480681856583872,-0.08948744663447494,0.6617647058823529,0.3382352941176471,0.4205607476635514,0.03237190744717289,0.11070749248409661,2.4049612587641,1.0
development,前輪開發代表,tune_d5f4e7219e82,107,76,106,31,0.7102803738317757,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.009502304022984132,0.009048056578306296,-0.025557340357579977,-0.05729994554772366,-0.12239424549368905,0.5921052631578947,0.40789473684210525,0.4205607476635514,0.03661697092039623,0.1326505739293815,2.8759130106747692,1.0
development,本輪開發代表,tune_6eadb512258f,107,77,106,30,0.719626168224299,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.010080788643961558,0.008884106695456194,-0.020501254374664102,-0.04846690514392706,-0.1021970977996054,0.6103896103896104,0.38961038961038963,0.4392523364485981,0.0317878498898565,0.11935621325695212,2.85426423620819,1.0
validation,基準,x0352_daily_baseline,47,34,43,13,0.723404255319149,0.9148936170212766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.030849368870176863,0.03666515330683315,-0.0022733541546938185,-0.05711664829200645,-0.10571518791897105,0.7352941176470589,0.2647058823529412,0.5319148936170213,0.034276868341622524,0.216488896085968,2.400051734241427,1.0
validation,前輪開發代表,tune_d5f4e7219e82,47,36,47,11,0.7659574468085106,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.03581350050759524,0.04094548128539599,-0.008883648972557584,-0.03374937604876066,-0.067885559902087,0.6666666666666666,0.3333333333333333,0.5106382978723404,0.04102753789988095,0.1856565237985205,2.76503512031397,1.0
validation,本輪開發代表,tune_6eadb512258f,47,37,45,10,0.7872340425531915,0.9574468085106383,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02710266421312646,0.0332679991068498,-0.010854508266939122,-0.03217946775165263,-0.12464591001840575,0.7027027027027027,0.2972972972972973,0.5531914893617021,0.0324770075759957,0.16667504385947673,2.8412333599821507,1.0
holdout,基準,x0352_daily_baseline,23,18,22,5,0.782608695652174,0.9565217391304348,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.059441872642788995,0.05293206392723887,0.0030618844185145155,-0.029329969702183954,-0.03929843568317237,0.7777777777777778,0.2222222222222222,0.6086956521739131,0.037767567960744486,0.0929091069461585,2.3658304971861766,1.0
holdout,前輪開發代表,tune_d5f4e7219e82,23,20,23,3,0.8695652173913043,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.04843974087698799,0.04883884714931691,0.012066753729191693,-0.01324191360554675,-0.13242167510228875,0.75,0.25,0.6521739130434783,0.04266310778726656,0.1772994120301934,2.8170782728780788,1.0
holdout,本輪開發代表,tune_6eadb512258f,23,17,23,6,0.7391304347826086,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.04012328442227209,0.040669506800851817,0.004617932009480574,-0.011650212412183156,-0.03629020906236846,0.8823529411764706,0.11764705882352941,0.6521739130434783,0.03244769080131438,0.08402528260383957,2.9571930803296005,1.0
recent,基準,x0352_daily_baseline,20,14,19,6,0.7,0.95,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.08702379947677541,0.0771308227647876,-0.0029982783067332985,-0.03265080096936549,-0.1496141437602143,0.7142857142857143,0.2857142857142857,0.5,0.06060158145407185,0.1555931585502227,2.28504484967478,1.0
recent,前輪開發代表,tune_d5f4e7219e82,20,12,20,8,0.6,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.1263085200418511,0.12366733672377621,0.04832477199500118,0.01687911322027751,0.010145831151986195,1.0,0.0,0.6,0.04775570846834476,0.1104688874741685,2.6554941047629486,1.0
recent,本輪開發代表,tune_6eadb512258f,20,14,20,6,0.7,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.05790054266214906,0.06654804257444324,0.018274149690024333,-0.03293161420923028,-0.13460714316016142,0.7857142857142857,0.21428571428571427,0.55,0.047343760280294855,0.13619916983487879,2.8374072597359956,1.0
seasonal,基準,x0352_daily_baseline,16,11,13,5,0.6875,0.8125,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02412750278436726,0.017727569510667483,-0.010822452801501181,-0.012584362215915301,-0.055026550030291,0.6363636363636364,0.36363636363636365,0.4375,0.02753185025945948,0.11587707686911375,2.513539829601879,1.0
seasonal,前輪開發代表,tune_d5f4e7219e82,16,12,14,4,0.75,0.875,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02558469583971823,0.026111943992059645,-0.00018375312662291532,-0.025438519059174155,-0.06858942131043522,0.75,0.25,0.5625,0.0341215809546801,0.1185900513750534,2.877866666448808,1.0
seasonal,本輪開發代表,tune_6eadb512258f,16,13,14,3,0.8125,0.875,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.020521563073565563,0.020150930055849423,-0.010432199646588702,-0.01728513834235008,-0.05995683583471778,0.6153846153846154,0.38461538461538464,0.5,0.02944314855037866,0.10846856730541943,2.7960108509042754,1.0
