model,month,sessions,book_return,book_max_drawdown,economic_return,economic_max_drawdown,ending_book_nav,ending_economic_nav,partial_period,track
A,2025-01,15,-0.0019314895960534,0.0569917784992639,-0.0008159867563535,0.0558764184792697,998068510.4039464,999184013.2436464,False,historical_pit
A,2025-02,19,-0.0367254301949575,0.0421499802768905,-0.0366844294171941,0.0421031881563787,961414014.9953212,962529517.8350213,False,historical_pit
A,2025-03,21,-0.0868584608617303,0.0868584608617303,-0.0867577981205386,0.0867577981205386,877907073.401931,879022576.241631,False,historical_pit
A,2025-04,20,-0.0509321976860155,0.1428479764648751,-0.0508675633834543,0.1426698594805777,833193336.7894726,834308839.6291726,False,historical_pit
A,2025-05,20,0.054820238369678,0.01838664731416,0.0547469416135251,0.0183635122404622,878869194.1202989,879984696.9599988,False,historical_pit
A,2025-06,21,0.0746442697782534,0.027405186997335,0.0831632210066017,0.0267879335202638,944471743.3460108,953167058.7957108,False,historical_pit
A,2025-07,23,0.0794092839386326,0.029213070112777,0.0851453423068231,0.0264739116330394,1019471568.1853894,1034324794.2924594,False,historical_pit
A,2025-08,21,0.1694907269115202,0.068000424906389,0.1694662835442066,0.0666133070267948,1192262545.3427584,1209607973.1588285,False,historical_pit
A,2025-09,21,0.0197850939516224,0.0498564656046953,0.0195013814376614,0.0491415383352823,1215851571.8173654,1233196999.6334355,False,historical_pit
A,2025-10,20,0.1568964251478306,0.0288625976735386,0.1546896117856426,0.0284726329540525,1406614336.945881,1423959764.761951,False,historical_pit
A,2025-11,20,0.0020664511509038,0.0781347239081303,0.0020412794570396,0.0771943690420118,1409521036.7613406,1426866464.5774107,False,historical_pit
A,2025-12,22,0.050438048541227,0.0426264138325032,0.0498249081024582,0.0421241638866697,1480614527.2333896,1497959955.0494597,False,historical_pit
A,2026-01,21,0.1217456526384792,0.0167829231564323,0.1203359150666285,0.0166123428410737,1660872909.157432,1678218336.9735022,False,historical_pit
A,2026-02,12,0.1017991847713462,0.0553448399383132,0.1007470270322223,0.0547892591769797,1829948417.3184729,1847293845.134543,False,historical_pit
A,2026-03,22,-0.0269789661029464,0.0907543319511702,-0.0267256432705647,0.0899021812670758,1780578300.997497,1797923728.8135674,False,historical_pit
A,2026-04,20,0.4320441839541669,0.0161031414502764,0.4285524197421928,0.0159843515160067,2549866800.018458,2568428293.308528,False,historical_pit
A,2026-05,20,0.1656205098015668,0.0970865873120151,0.1644236050682759,0.0964431397272923,2972177039.363605,2990738532.653675,False,historical_pit
A,2026-06,21,-0.0095964998120235,0.1026883441686807,-0.0056887697315544,0.1018035230453373,2943654542.9640512,2973724909.814121,False,historical_pit
A,2026-07,22,-0.1548243522403271,0.2045352539429316,-0.1457911288318369,0.1976996974437409,2487905135.130346,2540182198.376968,False,historical_pit
A,2026-08,21,0.1282295484517588,0.0056942700315948,0.13160174663147,0.0055566683109878,2806928087.198922,2874474612.445544,False,historical_pit
A,2026-09,15,0.041018250667909,0.0262091557454835,0.0165556357446519,0.0255984270759238,2922063367.086442,2922063367.086442,True,historical_pit
A_dplan_guard,2025-01,15,-0.0019314895960534,0.0569917784992639,-0.0008159867563535,0.0558764184792697,998068510.4039464,999184013.2436464,False,historical_pit
A_dplan_guard,2025-02,19,-0.0367254301949575,0.0421499802768905,-0.0366844294171941,0.0421031881563787,961414014.9953212,962529517.8350213,False,historical_pit
A_dplan_guard,2025-03,21,-0.0868584608617303,0.0868584608617303,-0.0867577981205386,0.0867577981205386,877907073.401931,879022576.241631,False,historical_pit
A_dplan_guard,2025-04,20,-0.0509321976860155,0.1428479764648751,-0.0508675633834543,0.1426698594805777,833193336.7894726,834308839.6291726,False,historical_pit
A_dplan_guard,2025-05,20,0.054820238369678,0.01838664731416,0.0547469416135251,0.0183635122404622,878869194.1202989,879984696.9599988,False,historical_pit
A_dplan_guard,2025-06,21,0.0746442697782534,0.027405186997335,0.0831632210066017,0.0267879335202638,944471743.3460108,953167058.7957108,False,historical_pit
A_dplan_guard,2025-07,23,0.0820926742082042,0.029213070112777,0.0878042532108385,0.0264739116330394,1022005954.4713696,1036859180.5784396,False,historical_pit
A_dplan_guard,2025-08,21,0.1440046938638965,0.0753466873291517,0.1450438980484021,0.0733128640042634,1169179609.0720985,1187249277.8568084,False,historical_pit
A_dplan_guard,2025-09,21,0.0291637304467056,0.0478360490269474,0.0287198649843067,0.0471079950470397,1203277248.0348618,1221346916.8195715,False,historical_pit
A_dplan_guard,2025-10,20,0.1654301865774723,0.0241995625132701,0.1629826684830788,0.0238562552790198,1402335627.6816964,1420405296.4664063,False,historical_pit
A_dplan_guard,2025-11,20,0.0199912196349625,0.0702213310950091,0.0197369015763739,0.0693444209582716,1430370027.2166142,1448439696.0013242,False,historical_pit
A_dplan_guard,2025-12,22,0.041884914445504,0.0552664278754303,0.0415840758725836,0.0545805855892472,1490280953.4319954,1508671722.216705,False,historical_pit
A_dplan_guard,2026-01,21,0.1035229869172076,0.0232493271943395,0.102261037555885,0.0229981232436932,1644559289.0770996,1662950057.8618095,False,historical_pit
A_dplan_guard,2026-02,12,0.0733745038063231,0.0621107107550753,0.0725630461634341,0.0614327442883654,1765228010.8932114,1783618779.6779213,False,historical_pit
A_dplan_guard,2026-03,22,-0.0197414672793601,0.0934487708973784,-0.0195379143877095,0.0924852271410723,1730379819.8755531,1748770588.660263,False,historical_pit
A_dplan_guard,2026-04,20,0.4500674559819335,0.0381022668732113,0.4453343671627605,0.0378215284883272,2509167463.28942,2527558232.0741296,False,historical_pit
A_dplan_guard,2026-05,20,0.1352074935646794,0.1079820432926826,0.1342237101959902,0.1072440862398741,2848425706.934827,2866816475.719537,False,historical_pit
A_dplan_guard,2026-06,21,0.0162311011780289,0.1091472738311102,0.0214441322582144,0.1080843817112325,2894658792.7821846,2928292867.3848944,False,historical_pit
A_dplan_guard,2026-07,22,-0.1600428486591639,0.192001281011015,-0.144845231581973,0.1776806689975734,2431389353.689028,2504143608.868689,False,historical_pit
A_dplan_guard,2026-08,21,0.1611969418358718,0.0150177074148779,0.1582693427546753,0.0144016022324348,2823321881.915996,2900472772.007657,False,historical_pit
A_dplan_guard,2026-09,15,-0.0161385577562167,0.080584199426262,-0.0423087003372945,0.0784489507189274,2777757538.660304,2777757538.660304,True,historical_pit
v1_matched,2025-01,15,0.003051768949416,0.0557426388514863,0.003957294783996,0.0556635861751998,1003051768.9494162,1003957294.783996,False,historical_pit
v1_matched,2025-02,19,-0.0242026677807603,0.0343671795972244,-0.0241808380265914,0.0343365044984183,978775240.2186296,979680766.0532094,False,historical_pit
v1_matched,2025-03,21,-0.0716939390557366,0.0716939390557366,-0.0716276718427348,0.0716276718427348,908602987.7971312,909508513.631711,False,historical_pit
