model,month,sessions,book_return,book_max_drawdown,economic_return,economic_max_drawdown,ending_book_nav,ending_economic_nav,partial_period
A,2025-01,15,0.0259126072031541,0.0477069409698391,0.0270149864800341,0.0476555407721173,1025912607.203154,1027014986.480034,False
A,2025-02,19,-0.0353721704852301,0.0353721704852301,-0.0353342026383783,0.0353342026383783,989623851.5582172,990726230.8350972,False
A,2025-03,21,-0.0878101793328799,0.0879665696921794,-0.0877124731058892,0.0878687062123264,902724803.6807948,903827182.9576747,False
A,2025-04,20,-0.0648818151247555,0.1693839453703971,-0.0648026801199797,0.169181563425026,844154379.8598461,845256759.1367261,False
A,2025-05,20,0.0423242265893955,0.0159680627648863,0.0422690275628301,0.0159482772725537,879882561.1094649,880984940.3863449,False
A,2025-06,21,0.1130221984971882,0.0154568534114626,0.1161219102645105,0.0143280799273893,979328822.5853932,983286594.5782732,False
A,2025-07,23,0.1076738347289152,0.0232581987017161,0.1149163209948427,0.0215445217501232,1084776912.373716,1096282272.5107558,False
A,2025-08,21,0.2249458464750422,0.082368350495166,0.2249804747864958,0.0806915189521707,1328792973.164204,1342924378.6802442,False
A,2025-09,21,0.0160039634169339,0.0618138774827735,0.0158800654443673,0.061163418690681,1350058927.295403,1364250105.700523,False
A,2025-10,20,0.2051386256433029,0.0493742886442032,0.2030047362471279,0.0489018176888627,1627008160.178254,1641199338.5833738,False
A,2025-11,20,0.0114256741377996,0.0997352403799554,0.0113268782290538,0.0989263769016377,1645597825.2359917,1659789003.6411114,False
A,2025-12,22,0.1077958536602343,0.0394932087388759,0.1071856556608485,0.0388672602428062,1822986447.5887303,1837694576.2550504,False
A,2026-01,21,0.2515486108099598,0.0326318928828365,0.2495353223226168,0.0324082826999096,2281556156.0050592,2296264284.671379,False
A,2026-02,12,0.0774081377023729,0.0793239066919461,0.0769123198399661,0.0788158178653555,2458167169.1047955,2472875297.771116,False
A,2026-03,22,-0.0564501260927206,0.1404029853338672,-0.0547825629440578,0.1395678986736998,2319403322.451844,2337404851.118164,False
A,2026-04,20,0.3895618882360503,0.03674910406937,0.3870562475732508,0.0365289230601253,3222954460.3271527,3242112001.851473,False
A,2026-05,20,0.1591498725684688,0.0748885182960139,0.1585362342094285,0.074476380653529,3735887251.982197,3756104229.510197,False
A,2026-06,21,0.0071579721966439,0.0855532830155434,0.0116467721041355,0.0836618892521888,3762628629.061682,3799850719.470682,False
A,2026-07,22,-0.1401733273488242,0.1790034274734732,-0.1293400019627612,0.1705584752468134,3235208454.548161,3308378019.956145,False
A,2026-08,21,0.1398230437234231,0.0152129463563054,0.139565945068907,0.013867426685436,3687565147.742837,3770114924.9565234,False
A,2026-09,15,0.0237389115717208,0.0563661263613233,0.001323303358875,0.0549694015632308,3775103930.700063,3775103930.700063,True
