date,A,A_dplan_guard,v1_matched,0050
2024-12-31,1000000000.0,1000000000.0,1000000000.0,1000000000.0
2025-01-02,988362811.6330414,988362811.6330414,994907324.7987764,998450956.9619873
2025-01-03,986058991.492054,986058991.492054,992648760.7258818,1007493092.8109864
2025-01-06,995429125.6089869,995429125.6089869,1004874792.5054922,1036010614.5089842
2025-01-07,1000128048.077057,1000128048.077057,1014434781.5482782,1046443864.5089842
2025-01-08,997655636.2874316,997655636.2874316,1014403236.678636,1032301071.112988
2025-01-09,972669508.9756888,972669508.9756888,987823370.21127,1021635956.9619873
2025-01-10,973180366.1866684,973180366.1866684,992596412.4720236,1021404092.8109864
2025-01-13,943128971.8901482,943128971.8901482,960716343.7730314,1000073864.5089842
2025-01-14,952713540.5317372,952713540.5317372,966662924.3976008,1005638321.112988
2025-01-15,945103589.1155708,945103589.1155708,957887509.882046,998682821.112988
2025-01-16,967293454.1184938,967293454.1184938,983026007.3229918,1016998956.9619873
2025-01-17,965655876.1381989,965655876.1381989,975842012.6685212,1008884206.9619873
2025-01-20,976538366.441865,976538366.441865,981130108.1174072,1018158206.9619873
2025-01-21,980886181.3908637,980886181.3908637,988372376.1243916,1020012978.6599852
2025-01-22,998068510.4039464,998068510.4039464,1003051768.9494162,1032069206.9619873
2025-02-03,973065482.88462,973065482.88462,982386554.7476932,992190992.8109864
2025-02-04,962076277.1501122,962076277.1501122,975404743.1964226,997523542.8109864
2025-02-05,980437832.5926414,980437832.5926414,986671961.6560404,1011202692.8109864
2025-02-06,989899517.8186674,989899517.8186674,996939792.6309752,1015144142.8109864
2025-02-07,1001252960.0810254,1001252960.0810254,1003313573.341946,1019317442.8109864
2025-02-10,995050282.2102858,995050282.2102858,998351212.354799,1008884192.8109864
2025-02-11,1003720828.103383,1003720828.103383,1009132115.8976116,1014448592.8109864
2025-02-12,992908910.3984872,992908910.3984872,999716622.2958354,1013057492.8109864
2025-02-13,992113301.0415227,992113301.0415227,1000165903.0585514,1009116042.8109864
2025-02-14,989451722.4258676,989451722.4258676,996767669.1225818,998219092.8109864
2025-02-17,1001567810.1762278,1001567810.1762278,1012242189.8054326,1011898242.8109864
2025-02-18,1000019828.441082,1000019828.441082,1013610162.7224852,1015144142.8109864
2025-02-19,997254850.0126706,997254850.0126706,1011007315.121952,1013521192.8109864
2025-02-20,984174731.64987,984174731.64987,1001057819.4256568,1010043442.8109864
2025-02-21,987309900.0024706,987309900.0024706,1006241711.9719176,1016535242.8109864
2025-02-24,988292493.630818,988292493.630818,1006069418.4663866,1008420492.8109864
2025-02-25,977869868.5959356,977869868.5959356,992784670.0854834,996596142.8109864
2025-02-26,978836406.4576632,978836406.4576632,993819192.1392388,1001464992.8109864
2025-02-27,961414014.9953212,961414014.9953212,978775240.2186296,991263592.8109864
2025-03-03,946149077.2432492,946149077.2432492,970052964.9229628,970628956.9619873
2025-03-04,948218596.2738206,948218596.2738206,965110336.6698816,964832706.9619873
2025-03-05,953687228.999848,953687228.999848,971180909.4945452,976193342.8109864
2025-03-06,948598212.5757878,948598212.5757878,966750232.305516,970860821.112988
2025-03-07,939831906.8504632,939831906.8504632,961247016.2222396,962746071.112988
2025-03-10,936386729.4530908,936386729.4530908,958278752.0210228,957645342.8109864
2025-03-11,925312126.6009336,925312126.6009336,948690648.4564116,942575092.8109864
2025-03-12,926940129.2807248,926940129.2807248,951142744.715876,946284706.9619873
2025-03-13,917755590.9423586,917755590.9423586,942972600.457757,938401821.112988
2025-03-14,921387323.3365476,921387323.3365476,948591939.3463708,935619592.8109864
2025-03-17,923877007.3408548,923877007.3408548,951338258.6818104,942806956.9619873
2025-03-18,934682535.0539604,934682535.0539604,961129118.049492,946284706.9619873
2025-03-19,927944897.279298,927944897.279298,954972456.2031018,935851456.9619873
2025-03-20,937247126.7007695,937247126.7007695,965100415.8131948,953935728.6599852
2025-03-21,928373609.467427,928373609.467427,954823622.0643736,946980228.6599852
2025-03-24,920761494.0922102,920761494.0922102,944311150.9973012,946052842.8109864
2025-03-25,918156231.0873348,918156231.0873348,943092315.8209032,954863114.5089842
2025-03-26,921211488.811759,921211488.811759,945747745.4012665,954167592.8109864
2025-03-27,918138048.3773216,918138048.3773216,944202345.8149074,937938092.8109864
2025-03-28,903598139.6620317,903598139.6620317,931488817.7009327,929591478.6599852
2025-03-31,877907073.401931,877907073.401931,908602987.7971312,899682842.8109863
2025-04-01,888301493.7273014,888301493.7273014,921980199.14546,916144206.9619873
2025-04-02,893506220.1842868,893506220.1842868,924390859.1878196,914753092.8109864
2025-04-07,828014156.7118683,828014156.7118683,856426606.1106514,833141864.5089842
2025-04-08,802049005.1183133,802049005.1183133,845707905.2416984,809261342.8109863
2025-04-09,765870664.6721823,765870664.6721823,816146457.9703442,776570478.6599853
2025-04-10,817814150.8887367,817814150.8887367,860123509.8747023,844270706.9619873
2025-04-11,828403170.9793566,828403170.9793566,869592606.764618,861659456.9619873
2025-04-14,829634417.7013121,829634417.7013121,871242458.008957,857717978.6599853
2025-04-15,836382672.5895183,836382672.5895183,877859314.4421654,865369071.1129882
2025-04-16,834962680.3011026,834962680.3011026,875368919.3211256,851458071.1129882
2025-04-17,832487940.4188993,832487940.4188993,873530421.3384359,843111456.9619873
2025-04-18,834954188.5332868,834954188.5332868,877050544.6085392,844734364.5089842
2025-04-21,830048344.7379769,830048344.7379769,873066681.6133558,834069321.1129882
2025-04-22,822479377.269387,822479377.269387,868188093.9804426,821781228.6599853
2025-04-23,832264445.472846,832264445.472846,874848693.5190744,853776571.1129882
2025-04-24,831308323.9017678,831308323.9017678,875154657.5797064,849371364.5089842
2025-04-25,831919583.8898466,831919583.8898466,875533521.5112717,867223842.8109863
2025-04-28,833426130.644166,833426130.644166,879126216.2085377,873715614.5089842
2025-04-29,837246747.8115431,837246747.8115431,884294911.191934,876729706.9619873
2025-04-30,833193336.7894726,833193336.7894726,877878783.1668074,880439321.1129882
2025-05-02,841493495.2184435,841493495.2184435,888870924.238197,903160592.8109864
