period,strategy,candidate_id,common_passed,attempted,median_24d_return,p25_24d_return,p10_24d_return
development,基準,x0352_daily_baseline,57,107,0.014696695111980018,-0.01900020279438497,-0.05367736500970172
development,前輪開發代表,tune_d5f4e7219e82,57,107,0.017682935992778148,-0.02747197663858736,-0.0610700862247538
development,本輪開發代表,tune_6eadb512258f,57,107,0.010642509764547281,-0.02652130689862986,-0.04993371371065343
validation,基準,x0352_daily_baseline,32,47,0.030849368870176863,-0.00024370991203753745,-0.04682554981552317
validation,前輪開發代表,tune_d5f4e7219e82,32,47,0.032510640573861216,-0.008883648972557584,-0.0330267068353771
validation,本輪開發代表,tune_6eadb512258f,32,47,0.02625265073272398,-0.007536536371100883,-0.027225471472005335
holdout,基準,x0352_daily_baseline,15,23,0.06931155153188295,0.011016122541263162,-0.01546773677605013
holdout,前輪開發代表,tune_d5f4e7219e82,15,23,0.05675502656487308,0.0056682597223801645,-0.011211492517273491
holdout,本輪開發代表,tune_6eadb512258f,15,23,0.043755547002005235,0.0027556080162775,-0.0177330985724174
recent,基準,x0352_daily_baseline,12,20,0.08702379947677541,0.015115993428074598,-0.014247818464798266
recent,前輪開發代表,tune_d5f4e7219e82,12,20,0.1263085200418511,0.04832477199500118,0.01687911322027751
recent,本輪開發代表,tune_6eadb512258f,12,20,0.05790054266214906,0.02889523757409157,-0.017002423785073446
seasonal,基準,x0352_daily_baseline,10,16,0.027116271010239057,-0.00463721162017966,-0.016168952444896967
seasonal,前輪開發代表,tune_d5f4e7219e82,10,16,0.015940463130563076,-0.0009069458206035497,-0.03217060697345829
seasonal,本輪開發代表,tune_6eadb512258f,10,16,0.02551935502357139,-0.010169792379140757,-0.022808492052577865
