period,strategy,candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings
development,基準,x0352_daily_baseline,107,68,100,39,0.6355140186915887,0.9345794392523364,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019176746490200514,0.015804897113729822,-0.015569745067713053,-0.0480681856583872,-0.08948744663447494,0.6617647058823529,0.3382352941176471,0.4205607476635514,0.03237190744717289,0.11070749248409661,2.4049612587641,1.0
development,前輪開發代表,tune_6eadb512258f,107,77,106,30,0.719626168224299,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.010080788643961558,0.008884106695456194,-0.020501254374664102,-0.04846690514392706,-0.1021970977996054,0.6103896103896104,0.38961038961038963,0.4392523364485981,0.0317878498898565,0.11935621325695212,2.85426423620819,1.0
development,本輪開發代表,tune_06e0ae30a047,107,77,106,30,0.719626168224299,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.007064024332833041,0.005276175559364536,-0.0311223721375532,-0.05621277127722635,-0.1108607894558673,0.5974025974025974,0.4025974025974026,0.42990654205607476,0.03761418658939086,0.12469976295429719,2.8377462411892833,1.0
validation,基準,x0352_daily_baseline,47,34,43,13,0.723404255319149,0.9148936170212766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.030849368870176863,0.03666515330683315,-0.0022733541546938185,-0.05711664829200645,-0.10571518791897105,0.7352941176470589,0.2647058823529412,0.5319148936170213,0.034276868341622524,0.216488896085968,2.400051734241427,1.0
validation,前輪開發代表,tune_6eadb512258f,47,37,45,10,0.7872340425531915,0.9574468085106383,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02710266421312646,0.0332679991068498,-0.010854508266939122,-0.03217946775165263,-0.12464591001840575,0.7027027027027027,0.2972972972972973,0.5531914893617021,0.0324770075759957,0.16667504385947673,2.8412333599821507,1.0
validation,本輪開發代表,tune_06e0ae30a047,47,37,46,10,0.7872340425531915,0.9787234042553191,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.020527941604753464,0.033685932662597555,-0.004674705912676935,-0.038189837862202335,-0.07498494809297085,0.6756756756756757,0.32432432432432434,0.5319148936170213,0.03648453178268096,0.18315824132256409,2.804484142843673,1.0
holdout,基準,x0352_daily_baseline,23,18,22,5,0.782608695652174,0.9565217391304348,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.059441872642788995,0.05293206392723887,0.0030618844185145155,-0.029329969702183954,-0.03929843568317237,0.7777777777777778,0.2222222222222222,0.6086956521739131,0.037767567960744486,0.0929091069461585,2.3658304971861766,1.0
holdout,前輪開發代表,tune_6eadb512258f,23,17,23,6,0.7391304347826086,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.04012328442227209,0.040669506800851817,0.004617932009480574,-0.011650212412183156,-0.03629020906236846,0.8823529411764706,0.11764705882352941,0.6521739130434783,0.03244769080131438,0.08402528260383957,2.9571930803296005,1.0
holdout,本輪開發代表,tune_06e0ae30a047,23,18,23,5,0.782608695652174,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02868391556512473,0.03618529538967033,0.008322977660973285,-0.0016903329795426964,-0.1479513705497908,0.8333333333333334,0.16666666666666666,0.6521739130434783,0.03324970163998081,0.181820575363438,2.9599197583258734,1.0
recent,基準,x0352_daily_baseline,20,14,19,6,0.7,0.95,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.08702379947677541,0.0771308227647876,-0.0029982783067332985,-0.03265080096936549,-0.1496141437602143,0.7142857142857143,0.2857142857142857,0.5,0.06060158145407185,0.1555931585502227,2.28504484967478,1.0
recent,前輪開發代表,tune_6eadb512258f,20,14,20,6,0.7,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.05790054266214906,0.06654804257444324,0.018274149690024333,-0.03293161420923028,-0.13460714316016142,0.7857142857142857,0.21428571428571427,0.55,0.047343760280294855,0.13619916983487879,2.8374072597359956,1.0
recent,本輪開發代表,tune_06e0ae30a047,20,14,20,6,0.7,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.06358883835552531,0.0740388479832136,0.01437815595334968,-0.008245129009680361,-0.12604302110739163,0.8571428571428571,0.14285714285714285,0.6,0.050276442110667896,0.12787627425758796,2.887963404679156,1.0
seasonal,基準,x0352_daily_baseline,16,11,13,5,0.6875,0.8125,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02412750278436726,0.017727569510667483,-0.010822452801501181,-0.012584362215915301,-0.055026550030291,0.6363636363636364,0.36363636363636365,0.4375,0.02753185025945948,0.11587707686911375,2.513539829601879,1.0
seasonal,前輪開發代表,tune_6eadb512258f,16,13,14,3,0.8125,0.875,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.020521563073565563,0.020150930055849423,-0.010432199646588702,-0.01728513834235008,-0.05995683583471778,0.6153846153846154,0.38461538461538464,0.5,0.02944314855037866,0.10846856730541943,2.7960108509042754,1.0
seasonal,本輪開發代表,tune_06e0ae30a047,16,12,14,4,0.75,0.875,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.0201197349168295,0.0145661651649965,-0.010812268487966736,-0.01188682313601247,-0.07179484859788599,0.5833333333333334,0.4166666666666667,0.4375,0.030908473024068905,0.11725596832991592,2.859510019630011,1.0
