period,strategy,candidate_id,common_passed,attempted,median_24d_return,p25_24d_return,p10_24d_return
development,基準,x0352_daily_baseline,55,107,0.014696695111980018,-0.020628559625835263,-0.05495843255778769
development,前輪開發代表,tune_6eadb512258f,55,107,0.010642509764547281,-0.028381026746188143,-0.050004233160748576
development,本輪開發代表,tune_06e0ae30a047,55,107,0.011245198345148477,-0.036146837552108124,-0.056484607418533894
validation,基準,x0352_daily_baseline,31,47,0.039674962673121206,0.00015862030706603747,-0.04959978521135211
validation,前輪開發代表,tune_6eadb512258f,31,47,0.02710266421312646,-0.008642527003046963,-0.02788026395787624
validation,本輪開發代表,tune_06e0ae30a047,31,47,0.03772839297290731,-0.004114633756455044,-0.0386476665136023
holdout,基準,x0352_daily_baseline,15,23,0.06931155153188295,0.011016122541263162,-0.01546773677605013
holdout,前輪開發代表,tune_6eadb512258f,15,23,0.043755547002005235,0.0027556080162775,-0.0177330985724174
holdout,本輪開發代表,tune_06e0ae30a047,15,23,0.03088720329089556,0.011300442403524014,0.0006040548953832885
recent,基準,x0352_daily_baseline,14,20,0.08702379947677541,-0.0029982783067332985,-0.03265080096936549
recent,前輪開發代表,tune_6eadb512258f,14,20,0.05790054266214906,0.018274149690024333,-0.03293161420923028
recent,本輪開發代表,tune_06e0ae30a047,14,20,0.06358883835552531,0.01437815595334968,-0.008245129009680361
seasonal,基準,x0352_daily_baseline,11,16,0.02412750278436726,-0.010822452801501181,-0.012584362215915301
seasonal,前輪開發代表,tune_6eadb512258f,11,16,0.020521563073565563,-0.011067149081156025,-0.018680898299006765
seasonal,本輪開發代表,tune_06e0ae30a047,11,16,0.02284091796042942,-0.011066117827524313,-0.011921601650387248
