period,strategy,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,candidate_id
holdout,local 診斷代表,23,16,22,7,0.6956521739130435,0.9565217391304348,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.06613409225480804,0.06053977596602282,0.018231138538864322,-0.009212801713215757,-0.026656512899328022,0.875,0.125,0.6086956521739131,0.0362098089263172,0.06740404169164138,2.8695730247779263,1.0,-0.2622331993279841,0.021323992855006635,-1.0,-1.0,tune_21a3cc0abdbc
holdout,global 診斷代表,23,20,23,3,0.8695652173913043,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.04843974087698799,0.04883884714931691,0.012066753729191693,-0.01324191360554675,-0.13242167510228875,0.75,0.25,0.6521739130434783,0.04266310778726656,0.1772994120301934,2.8170782728780788,1.0,-0.08796621987015922,0.028398077826995216,-0.011003076172213855,-1.0,tune_d5f4e7219e82
recent,x0352 baseline,20,14,19,6,0.7,0.95,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.08702379947677541,0.0771308227647876,-0.0029982783067332985,-0.03265080096936549,-0.1496141437602143,0.7142857142857143,0.2857142857142857,0.5,0.06060158145407185,0.1555931585502227,2.28504484967478,1.0,-0.24600842406464868,0.00605885756067065,-1.0,-1.0,x0352_daily_baseline
recent,staged 診斷代表,20,14,19,6,0.7,0.95,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.08702379947677541,0.0771308227647876,-0.0029982783067332985,-0.03265080096936549,-0.1496141437602143,0.7142857142857143,0.2857142857142857,0.5,0.06060158145407185,0.1555931585502227,2.28504484967478,1.0,-0.24600842406464868,0.00605885756067065,-1.0,-1.0,x0352_daily_baseline
recent,local 診斷代表,20,13,19,7,0.65,0.95,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.06558938877353149,0.07501027525475522,0.03173419911839703,-0.03367842826391,-0.1469533658855422,0.7692307692307693,0.23076923076923078,0.5,0.05539874308410142,0.15017196675509448,2.770588896680111,1.0,-0.3012433210844091,0.009572120481345092,-1.0,-1.0,tune_21a3cc0abdbc
recent,global 診斷代表,20,12,20,8,0.6,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.1263085200418511,0.12366733672377621,0.04832477199500118,0.01687911322027751,0.010145831151986195,1.0,0.0,0.6,0.04775570846834476,0.1104688874741685,2.6554941047629486,1.0,-0.3257995979657343,0.02394038773843632,-1.0,-1.0,tune_d5f4e7219e82
recent_6_calendar_months,x0352 baseline,6,4,6,2,0.6666666666666666,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.07908805043552936,0.13163599389418168,0.014506992236224314,-0.0028920544704333015,-0.014491418941538381,0.75,0.25,0.5,0.08315007752416714,0.10317956072042123,2.2425806497984424,1.0,-0.24557600407054556,0.0048408551769700825,-0.7536228547353846,-1.0,x0352_daily_baseline
recent_6_calendar_months,staged 診斷代表,6,4,6,2,0.6666666666666666,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.07908805043552936,0.13163599389418168,0.014506992236224314,-0.0028920544704333015,-0.014491418941538381,0.75,0.25,0.5,0.08315007752416714,0.10317956072042123,2.2425806497984424,1.0,-0.24557600407054556,0.0048408551769700825,-0.7536228547353846,-1.0,x0352_daily_baseline
recent_6_calendar_months,local 診斷代表,6,4,6,2,0.6666666666666666,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.0702612599697493,0.10850249784196833,0.014063012891057575,-0.017745122318153447,-0.0389505457909608,0.75,0.25,0.5,0.08997538362385993,0.1276612629027447,2.867170077286635,1.0,-0.2609983347720211,-0.0036081733362818835,-0.7597376364477402,-1.0,tune_21a3cc0abdbc
recent_6_calendar_months,global 診斷代表,6,4,6,2,0.6666666666666666,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.1311832863174779,0.18520410355418376,0.09821057310284476,0.07139065065991188,0.0535107023646233,1.0,0.0,0.6666666666666666,0.0978628701492048,0.1104688874741685,2.6860351307396506,1.0,-0.20986393096387748,0.08331061619010427,-0.7366223244088441,-1.0,tune_d5f4e7219e82
seasonal,x0352 baseline,16,11,13,5,0.6875,0.8125,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02412750278436726,0.017727569510667483,-0.010822452801501181,-0.012584362215915301,-0.055026550030291,0.6363636363636364,0.36363636363636365,0.4375,0.02753185025945948,0.11587707686911375,2.513539829601879,1.0,-0.30031229596141606,-0.010822452801501181,-1.0,-1.0,x0352_daily_baseline
seasonal,staged 診斷代表,16,11,13,5,0.6875,0.8125,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02412750278436726,0.017727569510667483,-0.010822452801501181,-0.012584362215915301,-0.055026550030291,0.6363636363636364,0.36363636363636365,0.4375,0.02753185025945948,0.11587707686911375,2.513539829601879,1.0,-0.30031229596141606,-0.010822452801501181,-1.0,-1.0,x0352_daily_baseline
seasonal,local 診斷代表,16,12,14,4,0.75,0.875,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.027011788475420517,0.023187707860016876,-0.014292952224963268,-0.021220446336066234,-0.045848732848723595,0.5833333333333334,0.4166666666666667,0.4375,0.02825843005792622,0.10939477150358723,2.772953656369074,1.0,-0.23260921910498733,-0.009755454814397102,-0.2843865496365427,-1.0,tune_21a3cc0abdbc
seasonal,global 診斷代表,16,12,14,4,0.75,0.875,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02558469583971823,0.026111943992059645,-0.00018375312662291532,-0.025438519059174155,-0.06858942131043522,0.75,0.25,0.5625,0.0341215809546801,0.1185900513750534,2.877866666448808,1.0,-0.23041604200595528,0.004409704864907882,-0.3014420659828264,-1.0,tune_d5f4e7219e82
rolling_recent,x0352 baseline,126,67,126,59,0.5317460317460317,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.16168507377936314,0.15927116268327318,0.07575372886764464,0.02219972579507914,-0.02234109256525796,0.9253731343283582,0.07462686567164178,0.49206349206349204,0.08167127136278296,0.12909852934368238,2.2788935456617443,1.0,-0.38356215952556105,-0.009201564229274817,-1.0,-1.0,x0352_daily_baseline
rolling_recent,staged 診斷代表,126,67,126,59,0.5317460317460317,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.16168507377936314,0.15927116268327318,0.07575372886764464,0.02219972579507914,-0.02234109256525796,0.9253731343283582,0.07462686567164178,0.49206349206349204,0.08167127136278296,0.12909852934368238,2.2788935456617443,1.0,-0.38356215952556105,-0.009201564229274817,-1.0,-1.0,x0352_daily_baseline
