period,strategy,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,candidate_id
development,x0352 baseline,107,68,100,39,0.6355140186915887,0.9345794392523364,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019176746490200514,0.015804897113729822,-0.015569745067713053,-0.0480681856583872,-0.08948744663447494,0.6617647058823529,0.3382352941176471,0.4205607476635514,0.03237190744717289,0.11070749248409661,2.4049612587641,1.0,-0.3544417476286577,-0.022256916457285558,-1.0,-1.0,x0352_daily_baseline
development,staged 診斷代表,107,68,100,39,0.6355140186915887,0.9345794392523364,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019176746490200514,0.015804897113729822,-0.015569745067713053,-0.0480681856583872,-0.08948744663447494,0.6617647058823529,0.3382352941176471,0.4205607476635514,0.03237190744717289,0.11070749248409661,2.4049612587641,1.0,-0.3544417476286577,-0.022256916457285558,-1.0,-1.0,x0352_daily_baseline
development,local 診斷代表,107,66,103,41,0.616822429906542,0.9626168224299065,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.008774984767430993,0.005458853725454317,-0.031891659842019915,-0.05774093202067859,-0.0992183539156013,0.5606060606060606,0.4393939393939394,0.34579439252336447,0.03518279029060262,0.1141993195755111,2.820089414032129,1.0,-0.3798104266740189,-0.035366913138956346,-1.0,-1.0,tune_21a3cc0abdbc
development,global 診斷代表,107,76,106,31,0.7102803738317757,0.9906542056074766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.009502304022984132,0.009048056578306296,-0.025557340357579977,-0.05729994554772366,-0.12239424549368905,0.5921052631578947,0.40789473684210525,0.4205607476635514,0.03661697092039623,0.1326505739293815,2.8759130106747692,1.0,-0.28329296915933383,-0.012790488945258138,-1.0,-1.0,tune_d5f4e7219e82
validation,x0352 baseline,47,34,43,13,0.723404255319149,0.9148936170212766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.030849368870176863,0.03666515330683315,-0.0022733541546938185,-0.05711664829200645,-0.10571518791897105,0.7352941176470589,0.2647058823529412,0.5319148936170213,0.034276868341622524,0.216488896085968,2.400051734241427,1.0,-0.250072016756759,0.003605416890154034,-1.0,-1.0,x0352_daily_baseline
validation,staged 診斷代表,47,34,43,13,0.723404255319149,0.9148936170212766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.030849368870176863,0.03666515330683315,-0.0022733541546938185,-0.05711664829200645,-0.10571518791897105,0.7352941176470589,0.2647058823529412,0.5319148936170213,0.034276868341622524,0.216488896085968,2.400051734241427,1.0,-0.250072016756759,0.003605416890154034,-1.0,-1.0,x0352_daily_baseline
validation,local 診斷代表,47,35,43,12,0.7446808510638298,0.9148936170212766,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.03461081333070948,0.036423004179660434,-0.007109751815549625,-0.03937620047163937,-0.09163247024412324,0.7142857142857143,0.2857142857142857,0.5319148936170213,0.036369454146206626,0.16632663877121256,2.8164100189089747,1.0,-0.22819563518535924,0.0064066874163402066,-0.5458162351220617,-1.0,tune_21a3cc0abdbc
validation,global 診斷代表,47,36,47,11,0.7659574468085106,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.03581350050759524,0.04094548128539599,-0.008883648972557584,-0.03374937604876066,-0.067885559902087,0.6666666666666666,0.3333333333333333,0.5106382978723404,0.04102753789988095,0.1856565237985205,2.76503512031397,1.0,-0.20268005688778176,0.0035802411366046005,-0.057532664854698434,-1.0,tune_d5f4e7219e82
holdout,x0352 baseline,23,18,22,5,0.782608695652174,0.9565217391304348,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.059441872642788995,0.05293206392723887,0.0030618844185145155,-0.029329969702183954,-0.03929843568317237,0.7777777777777778,0.2222222222222222,0.6086956521739131,0.037767567960744486,0.0929091069461585,2.3658304971861766,1.0,-0.1759662108395522,0.016946521445622365,-0.03868979671604311,-1.0,x0352_daily_baseline
holdout,staged 診斷代表,23,18,22,5,0.782608695652174,0.9565217391304348,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.059441872642788995,0.05293206392723887,0.0030618844185145155,-0.029329969702183954,-0.03929843568317237,0.7777777777777778,0.2222222222222222,0.6086956521739131,0.037767567960744486,0.0929091069461585,2.3658304971861766,1.0,-0.1759662108395522,0.016946521445622365,-0.03868979671604311,-1.0,x0352_daily_baseline
