date,symbol,issue
2010-01-19,2887.TW,STALE_HELD_PRICES
2010-01-20,2887.TW,STALE_HELD_PRICES
2010-01-21,2412.TW;2887.TW,STALE_HELD_PRICES
2010-01-22,2412.TW;2887.TW,STALE_HELD_PRICES
2010-01-25,2412.TW;2887.TW,STALE_HELD_PRICES
2010-01-26,2412.TW;2887.TW,STALE_HELD_PRICES
2010-01-27,2412.TW;2887.TW,STALE_HELD_PRICES
2010-01-28,2412.TW;2887.TW,STALE_HELD_PRICES
2010-01-29,2412.TW;2887.TW,STALE_HELD_PRICES
2010-02-01,2412.TW;2887.TW,STALE_HELD_PRICES
2010-02-02,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:5903.TWO;OVERDUE_CAP:6505.TW
2010-02-02,2412.TW;2887.TW,STALE_HELD_PRICES
2010-02-03,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:2912.TW;OVERDUE_CAP:5903.TWO;OVERDUE_CAP:6505.TW
2010-02-03,2412.TW,STALE_HELD_PRICES
2010-02-04,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:2912.TW;OVERDUE_CAP:5903.TWO;OVERDUE_CAP:6505.TW
2010-02-04,2412.TW,STALE_HELD_PRICES
