candidate,split,attempted,complete,canonical,measured_pass,median,mean,p25,p10,worst,positive,median_dq_as_minus100,mdd,mean_mdd,turnover,cost_total,day1,day3,day5,cash_violation_days,weight_violation_days,holding_count_violation_days,odd_lot_issue_days,missing_execution_price_days,unfilled_days,no_valid_plan_days,hold_without_envelope_days,rejected_trade_count,family,role
A17,development,18,18,18,13,0.00792554,0.018783,-0.0159264,-0.0893651,-0.124516,10,0.00792554,0.126167,0.042947,1.43979,5.05047e+07,0.910231,0.910405,0.911631,0,0,0,62,0,0,59,0,0,adaptive,alternative
A18,development,18,18,18,13,0.00830991,0.0192099,-0.0226146,-0.0856293,-0.126189,10,0.00830991,0.129074,0.0433597,0.913889,2.35319e+07,0.910573,0.910641,0.910363,0,0,0,62,0,0,59,0,0,adaptive,alternative
D00,development,18,18,18,13,0.0115719,0.0237077,-0.00316389,-0.0924306,-0.114433,12,0.0115719,0.127244,0.0446521,1.4519,5.10755e+07,0.909853,0.910514,0.912532,0,0,0,70,0,0,65,0,0,direct,alternative
D26,development,18,18,18,12,0.0116374,0.0210443,-0.010719,-0.0792503,-0.0964121,12,0.0116374,0.127235,0.0411684,1.68421,6.32072e+07,0.909318,0.910747,0.915288,0,0,0,80,0,0,74,0,0,direct,alternative
D29,development,18,18,18,12,0.0113777,0.0228936,-0.0144644,-0.072727,-0.0986295,12,0.0113777,0.119812,0.0379838,1.05048,3.0568e+07,0.909459,0.909514,0.909658,0,0,0,81,0,0,75,0,0,direct,alternative
M25,development,18,18,18,12,0.0105206,0.0168413,-0.0155074,-0.0666895,-0.120701,10,0.0105206,0.138594,0.0398877,2.4968,1.06005e+08,0.909289,0.916086,0.923162,0,0,0,75,0,0,69,0,0,momentum,alternative
M32,development,18,18,18,12,0.0148989,0.0194627,-0.0112894,-0.083629,-0.0946054,11,0.0148989,0.129724,0.0410726,1.79308,6.99986e+07,0.881673,0.882733,0.8853,0,0,0,81,0,0,75,0,0,momentum,alternative
A11,development,18,18,18,13,0.00730258,0.0196175,-0.0177492,-0.0850186,-0.120959,10,0.00730258,0.123262,0.0419437,0.978252,2.67837e+07,0.910438,0.910478,0.910191,0,0,0,62,0,0,59,0,0,adaptive,finalist/baseline
D13,development,18,18,18,13,0.013263,0.0185237,-0.00702232,-0.0717027,-0.169494,11,0.013263,0.177559,0.0466071,1.07192,3.1548e+07,0.91211,0.912309,0.912231,0,0,0,70,0,0,65,0,0,direct,finalist/baseline
M00,development,18,18,18,12,0.0156257,0.0201905,-0.0117519,-0.0879249,-0.0983397,11,0.0156257,0.135457,0.042842,1.86598,7.27622e+07,0.909894,0.912012,0.917386,0,0,0,81,0,0,75,0,0,momentum,finalist/baseline
A0_V3,development,18,17,17,13,0.0152624,0.0199725,-0.0196697,-0.0627669,-0.0872682,10,0.0145184,0.108662,0.0322893,2.19857,9.37821e+07,0.859571,0.85154,0.877565,3,0,3,47,0,0,3,0,0,v3,finalist/baseline
A11,historical_holdout,4,4,4,4,0.0358036,0.01414,-0.010149,-0.0787807,-0.124535,3,0.0358036,0.174749,0.086515,1.11582,7.5284e+06,0.912314,0.912209,0.913269,0,0,0,0,0,0,0,0,0,adaptive,finalist/baseline
D13,historical_holdout,4,4,4,3,0.0299644,0.00709305,-0.0423182,-0.098521,-0.13599,2,0.0299644,0.16633,0.0879744,1.06102,6.8614e+06,0.913142,0.913055,0.913868,0,0,0,7,0,0,6,0,0,direct,finalist/baseline
M00,historical_holdout,4,4,4,4,0.0439884,0.0275977,0.00934743,-0.0506515,-0.0906509,3,0.0439884,0.149605,0.0881559,1.90993,1.66702e+07,0.910801,0.913291,0.918169,0,0,0,0,0,0,0,0,0,momentum,finalist/baseline
A0_V3,historical_holdout,4,3,3,2,-0.00178875,-0.00492202,-0.0524689,-0.082877,-0.103149,1,-0.0524689,0.158376,0.0697263,1.63583,1.51083e+07,0.679196,0.668108,0.838838,3,0,3,8,0,0,3,0,0,v3,finalist/baseline
A17,validation,8,8,8,7,0.00920651,0.0158151,-0.0237171,-0.0478875,-0.0665624,5,0.00920651,0.0906758,0.0579044,1.56932,2.5364e+07,0.912481,0.913914,0.914551,0,0,0,2,0,0,1,0,0,adaptive,alternative
A18,validation,8,8,8,7,0.00998495,0.0165142,-0.0253708,-0.037618,-0.0627128,5,0.00998495,0.0886171,0.0562521,0.911938,1.03961e+07,0.912799,0.91296,0.913137,0,0,0,2,0,0,1,0,0,adaptive,alternative
D00,validation,8,8,8,8,-0.0117001,0.0129372,-0.0268665,-0.0456035,-0.051634,3,-0.0117001,0.0857212,0.0621661,1.5774,2.55511e+07,0.913939,0.914054,0.915993,0,0,0,0,0,0,0,0,0,direct,alternative
D29,validation,8,8,8,8,-0.000608156,0.0174078,-0.0186914,-0.0364745,-0.0459112,4,-0.000608156,0.0822449,0.0510567,1.17492,1.63026e+07,0.913903,0.91391,0.914807,0,0,0,0,0,0,0,0,0,direct,alternative
M25,validation,8,8,7,7,-0.0078958,0.0145617,-0.0192401,-0.0354413,-0.0613642,4,-0.0078958,0.082628,0.0528415,2.75993,5.31961e+07,0.913621,0.921295,0.928782,0,0,0,0,0,0,1,0,0,momentum,alternative
M32,validation,8,8,8,8,-0.0168324,0.00793562,-0.0231045,-0.0368012,-0.0677921,3,-0.0168324,0.101377,0.0582034,1.99627,3.56575e+07,0.885779,0.88699,0.890491,0,0,0,0,0,0,0,0,0,momentum,alternative
A11,validation,8,8,8,7,0.0157495,0.0187529,-0.0285467,-0.0407278,-0.0634306,5,0.0157495,0.0857486,0.0558303,1.00278,1.24286e+07,0.912311,0.912383,0.912611,0,0,0,2,0,0,1,0,0,adaptive,finalist/baseline
D13,validation,8,8,8,8,0.023534,0.019327,-0.00276619,-0.0460998,-0.0948127,6,0.023534,0.129237,0.0632743,1.05874,1.36754e+07,0.912559,0.912705,0.912925,0,0,0,0,0,0,0,0,0,direct,finalist/baseline
M00,validation,8,8,8,8,-0.0163765,0.00854448,-0.0240449,-0.0383578,-0.0701597,3,-0.0163765,0.10591,0.0604285,2.0676,3.69138e+07,0.913901,0.916116,0.92205,0,0,0,0,0,0,0,0,0,momentum,finalist/baseline
A0_V3,validation,8,7,7,6,0.017573,0.0242664,-0.0134787,-0.0292968,-0.0440358,4,0.00504319,0.0712266,0.0418406,2.13911,4.11565e+07,0.684802,0.797512,0.90484,5,0,5,0,0,0,5,0,0,v3,finalist/baseline
