effect,treated,control,split,dq_treatment,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
DE seed0 - equal(A11),adaptive_de_seed_0,A11,core_all,exclude,26,30,4,-0.0102835,-0.0257901,-0.0365596,-0.00459751,11,15,0,0.557197,-0.0242907,0.0141292,-0.0150508,0.0061082,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,core_all,minus100,30,30,4,-0.0190947,-0.0342723,-1.02542,-0.148316,11,19,0,0.200488,-0.0266154,0.00795045,-0.292485,-0.0352999,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,val+holdout,exclude,12,12,0,-0.0124838,-0.0294016,-0.0448201,-0.0103561,5,7,0,0.774414,-0.0317624,0.0157043,-0.0252763,0.00435446,False
DE seed0 - equal(A11),adaptive_de_seed_0,A11,val+holdout,minus100,12,12,0,-0.0124838,-0.0294016,-0.0448201,-0.0103561,5,7,0,0.774414,-0.0317624,0.0157043,-0.0251125,0.00455085,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,development,exclude,14,18,4,-0.0102835,-0.023155,-0.0272028,0.000338383,6,8,0,0.790527,-0.0234325,0.0241601,-0.0136125,0.015561,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,development,minus100,18,18,4,-0.0190947,-0.0343856,-1.05677,-0.240289,6,12,0,0.237885,-0.032136,0.00911586,-0.473875,-0.055515,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,validation,exclude,8,8,0,-0.00529528,-0.0317172,-0.0471375,-0.00989672,3,5,0,0.726562,-0.0457463,0.0200341,-0.0288117,0.00841294,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,validation,minus100,8,8,0,-0.00529528,-0.0317172,-0.0471375,-0.00989672,3,5,0,0.726562,-0.0457463,0.0200341,-0.0288117,0.00835259,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,historical_holdout,exclude,4,4,0,-0.0113817,-0.0275637,-0.0329159,-0.0100674,2,2,0,1,-0.036484,0.0189778,-0.0305371,0.0104023,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,historical_holdout,minus100,4,4,0,-0.0113817,-0.0275637,-0.0329159,-0.0100674,2,2,0,1,-0.036484,0.0189778,-0.0305371,0.0104023,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,core_all,exclude,26,30,4,-0.00756087,-0.0257901,-0.0365596,-0.00441177,11,15,0,0.557197,-0.0239913,0.0104571,-0.0146022,0.00613593,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,core_all,minus100,30,30,4,-0.0164254,-0.0342723,-1.02542,-0.148155,11,19,0,0.200488,-0.0266154,0.00430591,-0.292818,-0.0354321,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,val+holdout,exclude,12,12,0,-0.00529528,-0.0294016,-0.0448201,-0.00995362,5,7,0,0.774414,-0.0317624,0.0128814,-0.0245672,0.00441054,False
DE seed1 - equal(A11),adaptive_de_seed_1,A11,val+holdout,minus100,12,12,0,-0.00529528,-0.0294016,-0.0448201,-0.00995362,5,7,0,0.774414,-0.0317624,0.0128814,-0.0243042,0.00431094,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,development,exclude,13,18,5,-0.00525911,-0.0206463,-0.0257503,0.00249033,6,7,0,1,-0.0206463,0.0260743,-0.0121915,0.0180122,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,development,minus100,18,18,5,-0.0190947,-0.761315,-1.05677,-0.294468,6,12,0,0.237885,-0.519755,0.0104076,-0.53174,-0.102263,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,validation,exclude,8,8,0,0.000997582,-0.0317172,-0.0471375,-0.00877557,4,4,0,1,-0.0457463,0.0164176,-0.0276422,0.00941057,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,validation,minus100,8,8,0,0.000997582,-0.0317172,-0.0471375,-0.00877557,4,4,0,1,-0.0457463,0.0164176,-0.0279058,0.00955638,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,historical_holdout,exclude,4,4,0,-0.00503039,-0.0275637,-0.0329159,-0.00689176,2,2,0,1,-0.036484,0.0189778,-0.0305371,0.0167536,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,historical_holdout,minus100,4,4,0,-0.00503039,-0.0275637,-0.0329159,-0.00689176,2,2,0,1,-0.036484,0.0189778,-0.0305371,0.0167536,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,core_all,exclude,25,30,5,-0.000727935,-0.0245902,-0.0365747,-0.00261589,12,13,0,1,-0.0239913,0.0145294,-0.0132,0.00816319,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,core_all,minus100,30,30,5,-0.0164254,-0.0365974,-1.02542,-0.17994,12,18,0,0.361595,-0.0266154,0.00795045,-0.328291,-0.0429732,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,val+holdout,exclude,12,12,0,0.000997582,-0.0294016,-0.0448201,-0.00814763,6,6,0,1,-0.0317624,0.0154735,-0.0231913,0.00612969,False
DE seed2 - equal(A11),adaptive_de_seed_2,A11,val+holdout,minus100,12,12,0,0.000997582,-0.0294016,-0.0448201,-0.00814763,6,6,0,1,-0.0317624,0.0154735,-0.0232074,0.00629861,False
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,development,exclude,14,18,4,0,0,0,0,0,0,14,,0,0,0,0,True
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,development,minus100,18,18,4,0,0,0,0,0,0,18,,0,0,0,0,True
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,validation,exclude,8,8,0,0,0,0,0.0022492,2,0,6,0.5,0,0.00361654,0,0.00584347,False
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,validation,minus100,8,8,0,0,0,0,0.0022492,2,0,6,0.5,0,0.00361654,0,0.00584347,False
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,historical_holdout,exclude,4,4,0,0,-0.00329109,-0.00921504,-0.00329109,0,1,3,1,-0.0131643,0,-0.00987326,0,False
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,historical_holdout,minus100,4,4,0,0,-0.00329109,-0.00921504,-0.00329109,0,1,3,1,-0.0131643,0,-0.00987326,0,False
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,core_all,exclude,26,30,4,0,0,0,0.000185741,2,1,23,1,0,0,-0.00137986,0.00179799,False
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,core_all,minus100,30,30,4,0,0,0,0.000160976,2,1,27,1,0,0,-0.00119588,0.00147813,False
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,val+holdout,exclude,12,12,0,0,0,0,0.000402439,2,1,9,1,0,0,-0.00298971,0.00389565,False
DE seed1 - seed0,adaptive_de_seed_1,adaptive_de_seed_0,val+holdout,minus100,12,12,0,0,0,0,0.000402439,2,1,9,1,0,0,-0.00298971,0.00389565,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,development,exclude,13,18,5,0,0,0,0,0,0,13,,0,0,0,0,True
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,development,minus100,18,18,5,0,0,0,-0.0541799,0,1,17,1,0,0,-0.16254,0,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,validation,exclude,8,8,0,0,0,0,0.00337035,1,0,7,1,0,0,0,0.010111,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,validation,minus100,8,8,0,0,0,0,0.00337035,1,0,7,1,0,0,0,0.010111,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,historical_holdout,exclude,4,4,0,0,-0.000115422,-0.000323181,-0.000115422,0,1,3,1,-0.000461687,0,-0.000346265,0,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,historical_holdout,minus100,4,4,0,0,-0.000115422,-0.000323181,-0.000115422,0,1,3,1,-0.000461687,0,-0.000346265,0,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,core_all,exclude,25,30,5,0,0,0,0.00106004,1,1,23,1,0,0,-5.54025e-05,0.00323554,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,core_all,minus100,30,30,5,0,0,0,-0.0316246,1,2,27,1,0,0,-0.0975392,0.00268089,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,val+holdout,exclude,12,12,0,0,0,0,0.00220843,1,1,10,1,0,0,-0.000115422,0.0067407,False
DE seed2 - seed0,adaptive_de_seed_2,adaptive_de_seed_0,val+holdout,minus100,12,12,0,0,0,0,0.00220843,1,1,10,1,0,0,-0.000115422,0.0067407,False
