effect,treated,control,split,dq_treatment,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
determinism: B1 == D13,B1,D13,core_all,exclude,30,30,0,0,0,0,0,0,0,30,,0,0,0,0,True
determinism: B1 == D13,B1,D13,core_all,minus100,30,30,0,0,0,0,0,0,0,30,,0,0,0,0,True
determinism: B1 == D13,B1,D13,val+holdout,exclude,12,12,0,0,0,0,0,0,0,12,,0,0,0,0,True
determinism: B1 == D13,B1,D13,val+holdout,minus100,12,12,0,0,0,0,0,0,0,12,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,development,exclude,18,18,0,0,0,0,0,0,0,18,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,development,minus100,18,18,0,0,0,0,0,0,0,18,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,validation,exclude,8,8,0,0,0,0,0,0,0,8,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,validation,minus100,8,8,0,0,0,0,0,0,0,8,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,historical_holdout,exclude,4,4,0,0,0,0,0,0,0,4,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,historical_holdout,minus100,4,4,0,0,0,0,0,0,0,4,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,core_all,exclude,30,30,0,0,0,0,0,0,0,30,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,core_all,minus100,30,30,0,0,0,0,0,0,0,30,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,val+holdout,exclude,12,12,0,0,0,0,0,0,0,12,,0,0,0,0,True
no-op: adaptive_equal == A11,adaptive_equal,A11,val+holdout,minus100,12,12,0,0,0,0,0,0,0,12,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,development,exclude,18,18,0,0,0,0,0,0,0,18,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,development,minus100,18,18,0,0,0,0,0,0,0,18,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,validation,exclude,8,8,0,0,0,0,0,0,0,8,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,validation,minus100,8,8,0,0,0,0,0,0,0,8,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,historical_holdout,exclude,4,4,0,0,0,0,0,0,0,4,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,historical_holdout,minus100,4,4,0,0,0,0,0,0,0,4,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,core_all,exclude,30,30,0,0,0,0,0,0,0,30,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,core_all,minus100,30,30,0,0,0,0,0,0,0,30,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,val+holdout,exclude,12,12,0,0,0,0,0,0,0,12,,0,0,0,0,True
no-op: adaptive_no_regime == A11,adaptive_no_regime,A11,val+holdout,minus100,12,12,0,0,0,0,0,0,0,12,,0,0,0,0,True
