candidate,split,attempted,complete,canonical,measured_pass,median,mean,p25,p10,worst,positive,median_dq_as_minus100,mdd,mean_mdd,turnover,cost_total,day1,day3,day5,cash_violation_days,weight_violation_days,holding_count_violation_days,odd_lot_issue_days,missing_execution_price_days,unfilled_days,no_valid_plan_days,hold_without_envelope_days,rejected_trade_count,family
A11,recent_diagnostic,3,3,2,1,0.0368091,0.0387179,0.029027,0.0243578,0.021245,3,0.0368091,0.0836392,0.0576944,1.02061,4.89729e+06,0.887658,0.889559,0.891226,0,0,0,28,0,0,29,0,0,adaptive
A11,rolling_diagnostic,2,2,2,0,0.0214949,0.0214949,-0.00482022,-0.0206093,-0.0311353,1,0.0214949,0.108631,0.0712468,1.11161,3.86939e+06,0.8636,0.864472,0.8668,0,0,0,26,0,0,24,0,0,adaptive
A11,seasonal_diagnostic,16,16,14,13,0.027229,0.0301902,0.00461773,-0.0223496,-0.0580013,12,0.027229,0.102065,0.0445223,1.01659,2.55912e+07,0.90912,0.909528,0.909682,0,0,0,16,0,0,17,0,0,adaptive
A11,validation,8,8,8,7,0.0157495,0.0187529,-0.0285467,-0.0407278,-0.0634306,5,0.0157495,0.0857486,0.0558303,1.00278,1.24286e+07,0.912311,0.912383,0.912611,0,0,0,2,0,0,1,0,0,adaptive
A12,development,18,18,17,11,0.0186416,0.0233392,-0.0119901,-0.0838629,-0.0987719,11,0.0186416,0.127339,0.0431136,2.32613,9.69807e+07,0.910401,0.913889,0.919696,0,0,0,79,0,0,74,0,0,adaptive
A13,development,18,18,18,13,0.00601205,0.0195367,-0.0167689,-0.0895744,-0.116124,10,0.00601205,0.125597,0.0434111,1.40256,4.85949e+07,0.910429,0.910452,0.911429,0,0,0,62,0,0,59,0,0,adaptive
A14,development,18,18,17,10,0.0222518,0.025523,-0.0189135,-0.0467162,-0.135556,10,0.0222518,0.138764,0.0396178,0.918031,2.37708e+07,0.910003,0.910258,0.910006,0,0,0,68,0,0,64,0,0,adaptive
A15,development,18,18,16,11,0.015918,0.0280742,-0.0191946,-0.068595,-0.117526,12,0.015918,0.130275,0.0423513,1.60266,5.90556e+07,0.909833,0.910749,0.912912,0,0,0,61,0,0,57,0,0,adaptive
A16,development,18,18,18,13,0.00508215,0.0180542,-0.0200148,-0.0835291,-0.120959,10,0.00508215,0.123262,0.0419915,0.913586,2.35159e+07,0.910626,0.91068,0.910415,0,0,0,62,0,0,59,0,0,adaptive
A17,development,18,18,18,13,0.00792554,0.018783,-0.0159264,-0.0893651,-0.124516,10,0.00792554,0.126167,0.042947,1.43979,5.05047e+07,0.910231,0.910405,0.911631,0,0,0,62,0,0,59,0,0,adaptive
