treated,control,split,dq_treatment,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
M00,A0_V3,recent_diagnostic,exclude,3,3,0,-0.0286242,-0.0286836,-0.0287193,-0.0108072,1,2,0,1,-0.028743,0.0249457,-0.028743,0.0249457,False
M00,A0_V3,recent_diagnostic,minus100,3,3,0,-0.0286242,-0.0286836,-0.0287193,-0.0108072,1,2,0,1,-0.028743,0.0249457,-0.028743,0.0249457,False
M00,A0_V3,recent_diagnostic,zero,3,3,0,-0.0286242,-0.0286836,-0.0287193,-0.0108072,1,2,0,1,-0.028743,0.0249457,-0.028743,0.0249457,False
M00,A0_V3,rolling_diagnostic,exclude,2,2,0,0.0159252,0.0133334,0.0117783,0.0159252,2,0,0,0.5,0.0107416,0.0211088,0.0107416,0.0211088,False
M00,A0_V3,rolling_diagnostic,minus100,2,2,0,0.0159252,0.0133334,0.0117783,0.0159252,2,0,0,0.5,0.0107416,0.0211088,0.0107416,0.0211088,False
M00,A0_V3,rolling_diagnostic,zero,2,2,0,0.0159252,0.0133334,0.0117783,0.0159252,2,0,0,0.5,0.0107416,0.0211088,0.0107416,0.0211088,False
M00,A0_V3,core_val+holdout,exclude,10,12,2,-0.010794,-0.0318176,-0.0373092,-0.000750063,4,6,0,0.753906,-0.0337154,0.0151223,-0.0245717,0.0301981,False
M00,A0_V3,core_val+holdout,minus100,12,12,2,-0.000464845,-0.0280218,-0.0359316,0.168637,6,6,0,1,-0.0299197,0.0708407,-0.0110705,0.419631,False
M00,A0_V3,core_val+holdout,zero,12,12,2,-0.00924726,-0.0280218,-0.0359316,0.00197066,5,7,0,0.774414,-0.0299197,0.0196631,-0.0194814,0.0285629,False
M00,A0_V3,core_all,exclude,27,30,3,0.00341664,-0.0216589,-0.0369643,-4.25543e-05,14,13,0,1,-0.0178719,0.0124981,-0.0117263,0.0131417,False
M00,A0_V3,core_all,minus100,30,30,3,0.0062805,-0.0182529,-0.0363745,0.101585,17,13,0,0.584665,-0.0141566,0.0134951,0.00164001,0.225339,False
M00,A0_V3,core_all,zero,30,30,3,0.00344445,-0.0182529,-0.0363745,0.00158481,16,14,0,0.855536,-0.015695,0.0127981,-0.00931517,0.0136191,False
A11,A0_V3,development,exclude,17,18,1,0.00433449,-0.00929385,-0.0202921,0.00104635,9,8,0,1,-0.00929385,0.0130329,-0.0123226,0.0131806,False
A11,A0_V3,development,minus100,18,18,1,0.00563159,-0.00912264,-0.0202187,0.0563102,10,8,0,0.814529,-0.00895143,0.0131706,-0.00832305,0.172839,False
A11,A0_V3,development,zero,18,18,1,0.00122266,-0.00912264,-0.0202187,0.000754595,9,9,0,1,-0.00895143,0.010843,-0.0115518,0.0125399,False
A11,A0_V3,validation,exclude,7,8,1,-0.00825893,-0.0209947,-0.0229614,-0.00476395,3,4,0,1,-0.0225947,0.0101875,-0.0173899,0.00929655,False
A11,A0_V3,validation,minus100,8,8,1,-0.00391961,-0.0201948,-0.0228697,0.12252,4,4,0,1,-0.0225947,0.029805,-0.013713,0.380439,False
A11,A0_V3,validation,zero,8,8,1,-0.00391961,-0.0201948,-0.0228697,-0.00248018,4,4,0,1,-0.0225947,0.0135062,-0.0144202,0.0103344,False
A11,A0_V3,historical_holdout,exclude,3,4,1,-0.0213861,-0.041789,-0.0540308,0.0092328,1,2,0,1,-0.062192,0.111276,-0.062192,0.111276,False
A11,A0_V3,historical_holdout,minus100,4,4,1,0.0449452,-0.0315876,-0.0499502,0.267831,2,2,0,1,-0.062192,1.04363,-0.041789,0.777374,False
A11,A0_V3,historical_holdout,zero,4,4,1,0.0111207,-0.0315876,-0.0499502,0.0178315,2,2,0,1,-0.062192,0.111276,-0.041789,0.0781108,False
A11,A0_V3,seasonal_diagnostic,exclude,13,16,3,0.00576715,-0.00363369,-0.0166336,0.00744743,9,4,0,0.266846,-0.00363369,0.0291851,-0.00382111,0.0182356,False
A11,A0_V3,seasonal_diagnostic,minus100,16,16,3,0.0126613,0.000494764,-0.0142485,0.197083,12,4,0,0.0768127,0.00187091,0.0326802,0.00963535,0.392706,False
A11,A0_V3,seasonal_diagnostic,zero,16,16,3,0.00680283,-0.00529364,-0.0158659,0.0095826,11,5,0,0.210114,-0.00363369,0.0291851,-0.00089418,0.0199087,False
A11,A0_V3,recent_diagnostic,exclude,3,3,0,8.95813e-05,-0.0042064,-0.00678398,-0.00116983,2,1,0,1,-0.00850237,0.00490329,-0.00850237,0.00490329,False
A11,A0_V3,recent_diagnostic,minus100,3,3,0,8.95813e-05,-0.0042064,-0.00678398,-0.00116983,2,1,0,1,-0.00850237,0.00490329,-0.00850237,0.00490329,False
A11,A0_V3,recent_diagnostic,zero,3,3,0,8.95813e-05,-0.0042064,-0.00678398,-0.00116983,2,1,0,1,-0.00850237,0.00490329,-0.00850237,0.00490329,False
A11,A0_V3,rolling_diagnostic,exclude,2,2,0,0.0313735,0.0287309,0.0271454,0.0313735,2,0,0,0.5,0.0260884,0.0366585,0.0260884,0.0366585,False
A11,A0_V3,rolling_diagnostic,minus100,2,2,0,0.0313735,0.0287309,0.0271454,0.0313735,2,0,0,0.5,0.0260884,0.0366585,0.0260884,0.0366585,False
A11,A0_V3,rolling_diagnostic,zero,2,2,0,0.0313735,0.0287309,0.0271454,0.0313735,2,0,0,0.5,0.0260884,0.0366585,0.0260884,0.0366585,False
A11,A0_V3,core_val+holdout,exclude,10,12,2,-0.0138268,-0.0222926,-0.0273795,-0.000564925,4,6,0,0.753906,-0.0225947,0.0151124,-0.0244107,0.029046,False
A11,A0_V3,core_val+holdout,minus100,12,12,2,-0.00391961,-0.0216882,-0.0234197,0.170957,6,6,0,1,-0.0219904,0.0705408,-0.0106593,0.425115,False
A11,A0_V3,core_val+holdout,zero,12,12,2,-0.00391961,-0.0216882,-0.0234197,0.00429038,6,6,0,1,-0.0219904,0.0216556,-0.0174118,0.0296726,False
A11,A0_V3,core_all,exclude,27,30,3,-0.00188917,-0.0196965,-0.0229614,0.000449584,13,14,0,1,-0.0166925,0.00865315,-0.0120025,0.0139294,False
A11,A0_V3,core_all,minus100,30,30,3,0.0023771,-0.0187192,-0.0226864,0.102169,16,14,0,0.855536,-0.00895143,0.0116102,0.0023577,0.228167,False
A11,A0_V3,core_all,zero,30,30,3,-0.000734735,-0.0187192,-0.0226864,0.00216891,15,15,0,1,-0.00895143,0.00942031,-0.00934663,0.0144367,False
D13,A0_V3,development,exclude,17,18,1,0.00464325,-0.0028033,-0.0247634,-0.000671645,12,5,0,0.143463,-0.0028033,0.0205756,-0.0189833,0.0129532,False
D13,A0_V3,development,minus100,18,18,1,0.00704798,-0.00208086,-0.0241078,0.0552163,13,5,0,0.0962524,-0.00135842,0.0205756,-0.0138728,0.174501,False
