date,symbol,issue
2010-07-01,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:2609.TW
2010-07-28,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:2609.TW
2010-07-29,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:2609.TW
