date,symbol,issue
2026-08-20,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:2357.TW
2026-08-21,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:2357.TW
2026-08-24,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:2059.TW;OVERDUE_CAP:2357.TW;OVERDUE_CAP:3653.TW
