episode,period,start,end,mom20,mom25,resid20,resid25,ew20,ind20,shrink20,ew25,ind25,shrink25,turnover_mom20,turnover_mom25,turnover_resid20,turnover_resid25,turnover_ew20,turnover_ind20,turnover_shrink20,turnover_ew25,turnover_ind25,turnover_shrink25,cost_mom20,cost_mom25,cost_resid20,cost_resid25,cost_ew20,cost_ind20,cost_shrink20,cost_ew25,cost_ind25,cost_shrink25,mkt_r20,mkt_r60,mkt_vol20,dispersion,market_r2,beta_tilt,mkt_during
dev_2015_01,2015–2021,2015-01-05,2015-02-05,-0.01403742779286854,-0.0038485775746159856,-0.016284442713639824,-0.009738717937849306,-0.013805137462219008,-0.006945225515370801,-0.011012760024125434,-0.0037672869489859817,0.0014086650987465976,-0.008204073045478544,3.370338872210958,3.157533186595083,3.7187297728891897,2.8624635940892413,3.2949536612374732,3.6857385801955433,3.6522479869806723,3.2300210379692285,3.3778561007366643,2.8628089883687817,0.008349297354441948,0.007781713683160867,0.009396822016886339,0.006901734268861731,0.008137514022496873,0.009287386861661435,0.009228112495548493,0.007989819254461563,0.008453607049195693,0.006904873842462847,-5.984795992119984e-17,0.11079685004079312,0.14160370341741352,0.06604524468103236,0.11257077581790612,0.04267640316968746,0.033657442802650005
dev_2015_01m,2015–2021,2015-01-15,2015-02-25,0.010532878806884804,0.0026129258341911488,0.001646831068076171,-0.0014563209329286897,0.008262880933726402,0.014490938528590291,-0.004364693439575462,0.0027152690179852446,0.010246549331408339,0.004554226292242447,3.715534878994607,3.0566367430008015,4.122782437761483,3.0583361655645547,3.78775522119272,3.5816777012724694,4.103452187558602,3.3487737586149793,2.754492804104114,2.983262914332889,0.009401405105838197,0.00744451073481863,0.010521524521590709,0.007439041987942937,0.009599599509679332,0.009000644719352512,0.010493925412528422,0.008297117394899219,0.006597509482096004,0.007246613042728256,0.0076804917314820115,0.11533674108888173,0.18170535913987987,0.07925307947742934,0.08512408930128885,-0.023330548035674636,0.07926836430778395
dev_2015_02,2015–2021,2015-02-02,2015-03-16,0.027517638962781366,0.03336084632372316,0.042844895242025505,0.04228367531408295,0.03208306267622607,0.033350182066137934,0.03427414455831812,0.018590793538270978,0.036628824053952735,0.04287275267683621,3.882701529786474,2.9071983154321726,3.679619355287608,2.992809901482408,3.6505536973383,3.5928112532768606,3.5897489299926093,3.2151340358815768,2.8452492712143913,2.8335732845049617,0.009981615490643029,0.00713826061971731,0.00935378222215066,0.007363966270971652,0.009291240048021935,0.009136752156181328,0.009051120341343824,0.00800979056873104,0.006982672060181458,0.0068890979109090715,0.017202715813435344,0.03816793893129737,0.16365515491734942,0.07326384511171832,0.18194507288513925,0.007761464636936832,0.013235316557042529
dev_2015_02m,2015–2021,2015-02-24,2015-03-30,0.014979381883829745,-0.0045796015144381474,0.02767939991406898,0.002465433713072951,0.01897930553237437,0.00696672191489589,0.0244451399470198,-0.00209236096652321,0.003622370102990269,0.0005955417622556247,3.7409302412057217,3.9487366047359687,3.2922116420848493,3.30140852990908,3.8851077929693867,3.974816527193522,3.5248979601318147,3.5915451713104916,3.2998351604964826,3.6608996191222456,0.009732184799385308,0.010278266173711576,0.008496390570598734,0.008402889492370941,0.01020924688929206,0.010457775422764413,0.009158885032728936,0.009215263864765932,0.008386622954857169,0.009480576057567226,0.060305296919727816,0.05466968196720374,0.11367768726389695,0.062295417481751846,0.16465447131870536,0.2583099846903275,-0.009359163787563485
dev_2015_03,2015–2021,2015-03-02,2015-04-02,0.028218336895546425,0.011048373090556174,0.022119110650820062,0.02384604586110961,0.02794520237241538,0.01604357504478382,0.02744017007258015,0.011020739534969293,0.012093359210197052,0.01974065398307112,3.489652472540173,3.6441855132558936,3.555208194632963,2.991683750528858,3.421508283149209,3.6580849483999986,3.4142209006381687,3.0604765322305845,3.2105803891156066,3.294345935648756,0.008980622412592497,0.009311439041636808,0.009134859888166466,0.0074534277683195585,0.008789536998400222,0.009464459649705506,0.008762714509566874,0.007582421764752659,0.008027143044440594,0.008340657213247298,0.04535320523059919,0.0523952071871628,0.1178520788113796,0.0628210535930269,0.16467340933548377,0.06541005624192686,-0.011379843769975685
dev_2015_03m,2015–2021,2015-03-16,2015-04-20,0.010289708664025676,-0.0014947508226258455,0.012336231382959584,0.0036055439562565628,0.00851727130600577,-0.003890918014623268,0.010317104524107723,-0.000892136284039502,0.0013621149213971506,-0.000572055879653588,3.8086727183836633,3.2572252673401723,3.8766786529709036,2.95303919992407,3.8104634364917165,3.646973491716844,3.9421467683528304,2.9641396261997115,2.906735491269238,3.17952104108314,0.00972744755194523,0.008100922832918803,0.009937367339527086,0.0072287262749240674,0.009739978621499544,0.009219929094599568,0.010126964794610612,0.00725957914892772,0.0070885080000341084,0.007875978936929776,0.0007203951190783738,0.04672190724058815,0.09613272945884602,0.07273424404084823,0.15263235547316772,-0.1979495050955528,-0.0071994243624321766
dev_2015_04,2015–2021,2015-04-01,2015-05-07,0.006593872178368265,-0.004964257914411685,0.008154229327289375,-0.012496214913401249,0.0035452427930291464,-0.017860464538027032,0.005016003978726147,-0.014963618357490938,-0.02050440792812991,-0.012496214913401249,2.8395217149569634,2.4618741308578054,2.838162031165747,2.9072732104221846,2.9940996320580617,3.531584085635161,3.062910145660049,2.9762572403578504,2.9266026362652644,2.9072732104221846,0.006965879030852158,0.005844709021171616,0.006985507904007698,0.007139551057906788,0.007425024365285951,0.008999727541866193,0.007653754307114984,0.0073298505703907404,0.007198368163632562,0.007139551057906788,-0.012160206803520836,0.041478127804204436,0.10206073454504612,0.06388440397564485,0.17531020300955283,-0.19297969765010353,0.020275073636636557
dev_2015_04m,2015–2021,2015-04-15,2015-05-19,5.9611560467853764e-05,-0.021832848675713334,-0.010569201199709166,-0.02445738523170138,0.0072922421766115075,-0.03372973135541246,-0.0042985253154653735,-0.023470637757735058,-0.037005710512316825,-0.03421366815685101,3.04935769528179,2.7406864127138393,2.74921165707463,2.5934617685984502,2.821438444831072,3.9818188280784144,3.282691346043732,3.047081371598609,3.2606641234009635,2.9617958202295105,0.007501630149228074,0.006507993761354174,0.006612746686807268,0.006121473210916362,0.006828015296677325,0.010047905416428408,0.008174721035544334,0.007380776837801169,0.007965549504799985,0.007153514941509426,0.0007199863780422196,0.06923076923076861,0.1119677352255559,0.06388866336967654,0.14108796112146502,-0.10618878060740788,0.025899324485723775
dev_2015_05,2015–2021,2015-05-04,2015-06-04,-0.029495726597272065,-0.031866669881676635,-0.03377093578696899,-0.03785585498014765,-0.020954546947187458,-0.03387508119433169,-0.033652127006666865,-0.03762089279014125,-0.029947074530781048,-0.042024696061713884,2.994427556455121,2.3313325907920825,3.148972390838945,2.325759225153373,3.1404580705703964,3.7570328524156844,3.0685563644188933,2.4780873608341274,3.162926181707581,2.402214728361313,0.007193051403976958,0.0053156249652570675,0.00762384244713444,0.0052823083594634454,0.0076563416734968465,0.009349372757575587,0.007390618722641239,0.005737137830438329,0.007684480064326548,0.005501157074374415,0.034757332229013845,0.0400291138596669,0.1567194321883334,0.07466044669596611,0.13675231666882104,0.17525348287292064,-0.0398880139377135
dev_2015_05m,2015–2021,2015-05-15,2015-06-17,-0.008562634158625348,0.0017675276159234699,-0.01034099530484478,-0.007568835811507579,-0.0024746327829052728,-0.022887845845377286,-0.009100389990502666,0.003942059647031426,-0.015129435943508907,-0.00779220792789348,3.195632456928281,2.948307167515983,2.543146407368194,2.340893507238164,2.6965784191013658,3.459194629168895,2.7575476987770884,2.256089633428409,2.532207338257334,2.5250126184148725,0.008008088290476629,0.00738899263035987,0.006063168319097714,0.005519839295531461,0.006552279281389713,0.00875528307773215,0.0067005999408432625,0.005310244546987353,0.0061094248175181404,0.006078181354759818,0.02112158654061468,0.014471780348511811,0.15537263423962222,0.08682826789475219,0.13101234336346873,0.18219501468997823,-0.022824515106255563
