date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2010-07-01,1000841200.3292097,1000841200.3292097,92345050.32920969,0.09226743493256907,22,0.0,0,1291567.8191386035,0.0,1291567.8191386035,906363381.8516517,0.9063633818516517,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-02,1018587950.3292097,1018587950.3292097,92345050.32920969,0.09065986918396549,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-05,1025769190.3292097,1028921639.8646097,92345050.32920969,0.09002517447377467,22,3152449.5353999995,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-06,1031636792.1073565,1037607031.4368877,88069032.10735653,0.08536825439063217,22,5970239.32953123,0,122138.22426283214,122519.51112591616,244657.7353887483,85711034.57040852,0.083557817273592,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-07,1033788901.8526635,1039759141.1821947,83616011.85266352,0.08088306200890183,22,5970239.32953123,0,121612.23683223911,121698.31632373559,243310.55315597472,85341920.58402744,0.08272477410358431,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-08,1034056943.2855098,1042529182.5928011,78174463.28550987,0.07559976633117137,22,8472239.30729123,0,121324.82742093093,119909.87385479464,241234.70127572556,85140229.76907434,0.082357461582818,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-09,1028342510.562195,1036814749.8694862,75768310.56219494,0.07368003343630364,22,8472239.30729123,0,123758.86420296418,127039.45703157855,250798.32123454273,86848325.75646609,0.08398795281091856,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-12,1023133122.2652556,1032183580.1148468,69253672.26525562,0.06768784115983398,22,9050457.849591231,0,117409.74201280202,114164.60619564264,231574.34820844466,82392801.41249265,0.0801219443582552,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-13,1023375452.210895,1034366240.7604861,67621162.21089497,0.06607659199251513,22,10990788.549591232,0,122310.0894089434,126672.17084456916,248982.26025351256,85831641.69048658,0.08389098136169423,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-14,1046932504.7924037,1057923293.3419949,65192704.792403705,0.06227020795894647,22,10990788.549591232,0,117742.5001513715,120654.38304059999,238396.8831919715,82626315.89569929,0.08073900513950558,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-15,1058691605.6004536,1070521493.9400249,60592755.60045365,0.057233622407053576,22,11829888.339571187,0,121990.18184885735,121876.59411165501,243866.77596051234,85607145.15709287,0.0817694978092861,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-16,1059226379.6711783,1071056268.0107496,58376479.67117829,0.05511237332410512,22,11829888.339571187,0,126097.51137101887,129793.64533695825,255891.15670797712,88489481.6638729,0.08358381345026789,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-19,1064202614.3933462,1076032502.7329173,56224614.39334615,0.052832621939570466,22,11829888.339571187,0,125611.5589296378,129377.37910044196,254988.93803007976,88148462.40676336,0.0832196630470323,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-20,1061618264.3933462,1073448152.7329174,56224614.39334615,0.052961235011791445,22,11829888.339571187,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-21,1065779708.3681065,1077609596.7076776,53848918.36810645,0.050525374001123065,22,11829888.339571187,0,126990.56594565714,130496.9672046629,257487.53315032006,89116186.62853132,0.08394372027826415,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-22,1063681665.8445406,1075511554.1841118,48270535.844540566,0.045380622224239234,22,11829888.339571187,0,123020.55864429648,121494.52372694114,244515.08237123763,86330216.59248875,0.08100193305863862,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-23,1072021052.9328685,1083850941.2724397,49127062.932868525,0.04582658409409515,22,11829888.339571187,0,125199.76027802398,133462.00462513507,258661.76490315906,87859480.89685893,0.08259941269844148,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-26,1076119827.0669518,1087949715.406523,50076757.06695178,0.04653455480273036,22,11829888.339571187,0,126894.86819313388,135391.51624423766,262286.3844373715,89049030.31097114,0.08306649395303202,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-27,1068232001.8215172,1080061890.1610885,48129601.82151724,0.045055382856390824,22,11829888.339571187,0,126928.2123803882,131074.91643600774,258003.12881639594,89072429.7406233,0.08277185077371646,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-28,1074802000.946528,1088612562.8618994,45987010.94652807,0.0427864954717515,22,13810561.91537141,0,125641.93433479258,129423.37937892113,255065.31371371372,88169778.48055619,0.08253804260704765,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-29,1070195601.1450335,1085098562.3545978,47718111.14503349,0.04458821461607439,22,14902961.20956432,0,122448.92661293974,131871.73825605083,254320.66486899057,85929071.30732614,0.07994874519367513,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
