date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2010-07-01,1001984055.9858832,1001984055.9858832,91622305.9858832,0.09144088215628658,22,0.0,0,1292596.2642934981,0.0,1292596.2642934981,907085097.7498235,0.9070850977498235,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-02,1022301955.9858832,1022301955.9858832,91622305.9858832,0.08962352605255937,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-05,1031940095.9858832,1035097573.3514832,91622305.9858832,0.08878645799526777,22,3157477.3655999997,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-06,1041671915.9858832,1044829393.3514832,91622305.9858832,0.08795697050080102,22,3157477.3655999997,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-07,1042142793.763368,1045300271.128968,87129103.76336798,0.08360572493979339,22,3157477.3655999997,0,122853.56606577721,122948.44290681995,245802.00897259716,86213028.81808926,0.08276409058843977,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-08,1046052220.3253825,1051711697.6687424,84062490.32538247,0.08036165756546475,22,5659477.343359999,0,125803.55744910409,128205.89133103835,254009.44878014244,88283198.20989761,0.08471314942464923,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-09,1042036281.4389651,1047695758.782325,81117381.43896502,0.07784506440308267,22,5659477.343359999,0,124182.68026943537,126677.23735674506,250859.91762618042,87145740.53995465,0.08330916836336077,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-12,1039638601.6385431,1045298078.9819031,75391451.63854314,0.07251697995795937,22,5659477.343359999,0,116459.90313670301,114346.68690727843,230806.59004398144,81726247.81523019,0.0784293687954637,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-13,1038725974.595365,1046345473.7387251,74683384.59536506,0.07189902478799369,22,7619499.14336,0,124650.08476887277,130531.28703912672,255181.3718079995,87473743.69745457,0.08413860697322112,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-14,1055845874.6290169,1066640888.2398769,69302674.62901694,0.06563711266416342,22,10795013.61086,0,121943.47364483932,120654.38304059999,242597.8566854393,85574367.47006267,0.08238396801754967,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-15,1059792351.553406,1073850465.0512059,66392651.55340597,0.06264684912670862,22,14058113.497799953,0,128697.93148117635,131496.7642524749,260194.69573365126,90314337.88152725,0.08553742553879863,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-16,1055759989.6129888,1069818103.1107888,63286989.61298886,0.05994448571231426,22,14058113.497799953,0,125417.02478100563,127739.16219194495,253156.18697295059,88011947.21474078,0.08304640723792354,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
