model,month,economic_return,economic_total_return,economic_max_drawdown,annualized_volatility,sharpe_zero_rf,hard_breach_days,infeasible_executed_days,raw_rule_breach_days,negative_cash_days,trade_days,costs,turnover_two_way,sessions,final_economic_nav,instrument_return,weak_month,excess_vs_0050,excess_vs_instrument,difference_vs_A,partial_month,track
A,2025-01,-0.0008159867563535,-0.0008159867563535,0.0558764184792697,0.2325676790157645,0.0502061302610232,0,0,0,0,15,4612740.628318862,2.032359122074453,15,999184013.2436464,0.0424969365926124,False,-0.0454050937183407,-0.0433129233489659,0.0,False,historical_pit
A,2025-02,-0.0366844294171941,-0.0366844294171941,0.0421031881563787,0.1786658984273173,-2.6868577523849475,0,2,0,0,17,2542926.570537841,0.9086604401210172,19,962529517.8350213,-0.0437158614920393,True,0.0023793650250791,0.0070314320748451,0.0,False,historical_pit
A,2025-03,-0.0867577981205386,-0.0867577981205386,0.0867577981205386,0.151811289181683,-7.085398799543836,0,0,0,0,21,5230110.528901614,1.8872104739644249,21,879022576.241631,-0.1025974025974028,True,0.0044777627906475,0.0158396044768641,0.0,False,historical_pit
A,2025-04,-0.0508675633834543,-0.0508675633834543,0.1426698594805777,0.424566406291172,-1.3437942989079952,0,0,0,0,20,3437227.075639647,1.455151236708452,20,834308839.6291726,-0.024023119516552,True,-0.0297719003308544,-0.0268444438669023,0.0,False,historical_pit
A,2025-05,0.0547469416135251,0.0547469416135251,0.0183635122404622,0.1329738400114879,5.120240768472669,0,0,0,0,20,4008146.9356982727,1.6267381891701185,20,879984696.9599988,0.0661328202422397,False,-0.0031532630940938,-0.0113858786287146,0.0,False,historical_pit
A,2025-06,0.0831632210066017,0.0831632210066017,0.0267879335202638,0.1827099055156135,5.343123601900761,0,0,0,0,21,3037531.131120656,1.058543104952366,21,953167058.7957108,0.0761613351877608,False,0.0159640034209462,0.0070018858188409,0.0,False,historical_pit
A,2025-07,0.0851453423068231,0.0851453423068231,0.0264739116330394,0.192956042483056,4.739974884518203,0,0,0,0,23,4647898.474651677,1.6626309220519673,23,1034324794.2924594,0.0735028219653317,False,0.0198317574837172,0.0116425203414913,0.0,False,historical_pit
A,2025-08,0.1694662835442066,0.1694662835442066,0.0666133070267948,0.302972054922589,6.368599734437882,0,0,0,0,21,2545863.5698896847,0.7828034934092607,21,1209607973.1588285,0.0184287250630348,False,0.1530595641476484,0.1510375584811718,0.0,False,historical_pit
A,2025-09,0.0195013814376614,0.0195013814376614,0.0491415383352823,0.2818451117967362,0.956561982192752,0,0,0,0,21,3879553.7669468177,1.1111123234938525,21,1233196999.6334355,0.1009523664202012,False,-0.0705532547331113,-0.0814509849825397,0.0,False,historical_pit
A,2025-10,0.1546896117856426,0.1546896117856426,0.0284726329540525,0.2039557567367704,9.01387203551928,0,0,0,0,20,4803755.314932267,1.284544616949277,20,1423959764.761951,0.1202422293196707,False,0.0463550939428198,0.0344473824659719,0.0,False,historical_pit
A,2025-11,0.0020412794570396,0.0020412794570396,0.0771943690420118,0.3295726454393598,0.2360008168146818,0,0,0,0,20,5090094.168923743,1.1934160522527832,20,1426866464.5774107,-0.0370656606313346,True,0.0357950785651787,0.0391069400883743,0.0,False,historical_pit
A,2025-12,0.0498249081024582,0.0498249081024582,0.0421241638866697,0.1899954832454528,3.025364760253983,0,0,0,0,22,6310677.721071214,1.517191052285495,22,1497959955.0494597,0.0521251015162245,False,0.0025199453270303,-0.0023001934137663,0.0,False,historical_pit
A,2026-01,0.1203359150666285,0.1203359150666285,0.0166123428410737,0.1767729827603774,7.818142074165484,0,0,0,0,21,4522296.417349074,1.0290219110821948,21,1678218336.9735022,0.1221210941082655,False,0.0091524378161096,-0.0017851790416369,0.0,False,historical_pit
A,2026-02,0.1007470270322223,0.1007470270322223,0.0547892591769797,0.3600634978245488,5.7857590885442285,0,0,0,0,12,2144701.3359872047,0.3856454071341018,12,1847293845.134543,0.1177685950413225,False,-0.0061905949534848,-0.0170215680091001,0.0,False,historical_pit
A,2026-03,-0.0267256432705647,-0.0267256432705647,0.0899021812670758,0.4780805599991004,-0.417998674059567,0,0,0,0,22,3221172.274403071,0.6493522650513496,22,1797923728.8135674,-0.1084411583487366,True,0.0727058430678245,0.0817155150781719,0.0,False,historical_pit
A,2026-04,0.4285524197421928,0.4285524197421928,0.0159843515160067,0.3012736214250185,15.190437931424942,0,0,0,0,20,4227770.783174578,0.5782830075119341,20,2568428293.308528,0.2508638562543184,False,0.2008324434584274,0.1776885634878744,0.0,False,historical_pit
A,2026-05,0.1644236050682759,0.1644236050682759,0.0964431397272923,0.4607543951083869,4.396356941235601,0,0,0,0,20,6772590.844417114,0.858044452924995,20,2990738532.653675,0.1646409008384406,False,0.0121546066433091,-0.0002172957701647,0.0,False,historical_pit
A,2026-06,-0.0056887697315544,-0.0056887697315544,0.1018035230453373,0.4436684888360263,0.0593404350258251,0,0,0,0,21,7628715.18899578,0.9567396979273388,21,2973724909.814121,0.022770412629355,False,-0.0269742188734161,-0.0284591823609094,0.0,False,historical_pit
A,2026-07,-0.1457911288318369,-0.1457911288318369,0.1976996974437409,0.4229794901776571,-4.048270818150493,0,0,0,0,22,12744705.212084323,1.5594011448277838,22,2540182198.376968,-0.0403335406585595,True,-0.1080153114319333,-0.1054575881732774,0.0,False,historical_pit
A,2026-08,0.13160174663147,0.13160174663147,0.0055566683109878,0.1018208455380169,14.661979256323134,0,0,0,0,21,12141901.43811868,1.6115867145418885,21,2874474612.445544,0.0330578665660787,False,0.1009166849198737,0.0985438800653912,0.0,False,historical_pit
A,2026-09,0.0165556357446519,0.0165556357446519,0.0255984270759238,0.1475387773369134,1.9395645955419387,0,0,0,0,15,8271272.35795515,1.0036496458149546,15,2922063367.086442,0.0479999856387867,False,-0.0281016119923656,-0.0314443498941348,0.0,True,historical_pit
B,2025-01,0.00248766323101,0.00248766323101,0.0558764184792697,0.2380544852970515,0.2870078594543093,0,0,0,0,15,4606272.589296935,2.02031265469527,15,1002487663.23101,0.0424969365926124,False,-0.0421014437309772,-0.0400092733616024,0.0033036499873635,False,historical_pit
B,2025-02,-0.0414364609874732,-0.0414364609874732,0.0442376035384833,0.1787379536922444,-3.051823652927413,0,2,0,0,17,2579095.8082499625,0.9293740468457916,19,960948122.2831151,-0.0437158614920393,True,-0.0023726665451998,0.002279400504566,-0.004752031570279,False,historical_pit
B,2025-03,-0.0498419483174703,-0.0498419483174703,0.0498419483174703,0.1281151652342982,-4.721875498946031,0,0,0,0,21,5342964.880901332,1.9258732266879492,21,913052595.63651,-0.1025974025974028,True,0.0413936125937158,0.0527554542799324,0.0369158498030682,False,historical_pit
B,2025-04,-0.0112556187068324,-0.0112556187068324,0.0951283171767196,0.3454708619607963,-0.246838668924253,0,0,0,0,20,3296044.5095987623,1.2877132396194195,20,902775623.7607416,-0.024023119516552,True,0.0098400443457674,0.0127675008097195,0.0396119446766218,False,historical_pit
B,2025-05,0.0233513282221453,0.0233513282221453,0.0187253742087822,0.0951039606616483,3.105045719154304,0,0,0,0,20,3433436.986009091,1.2518673623328005,20,923856633.6621308,0.0661328202422397,False,-0.0345488764854735,-0.0427814920200944,-0.0313956133913797,False,historical_pit
