model,weak_months,strong_months,weak_mean_return,weak_mean_excess_0050,weak_mean_excess_instrument,weak_mean_difference_A,weak_positive_months,weak_outperform_0050_months,weak_worst_month,strong_mean_excess_0050,strong_mean_difference_A,full_economic_return,full_economic_mdd,measured_hard_breach_days,costs,turnover,development_objective_met,adoption,track
A,6,15,-0.0574642139277581,-0.0037381937190096,0.0018985766130126,0.0,1,4,-0.1457911288318369,0.0253605666530046,0.0,1.9220633670864424,0.236705377887728,0,111821651.73911726,25.15208527425001,False,HOLD,historical_pit
B,6,15,-0.0463290760211315,0.007396944187617,0.0130337145196393,0.0111351379066266,1,4,-0.1581386663035249,0.0129248960058055,-0.0124356706471991,1.6656870894345102,0.2108296683483792,0,109408290.44183704,24.652213213064258,True,HOLD,historical_pit
C,6,15,-0.056896942367657,-0.0031709221589084,0.0024658481731137,0.0005672715601011,1,4,-0.1546702028503445,0.0195134957939844,-0.0058470708590202,1.7134446040913804,0.2230113349193275,0,100011815.48978144,23.804724575298508,True,HOLD,historical_pit
D,6,15,-0.0471292981995738,0.0065967220091747,0.012233492341197,0.0103349157281843,1,5,-0.1514301014769384,0.0085236413784388,-0.0168369252745657,1.5053908702431666,0.2043082260375354,0,105027666.94941168,24.415307466063062,True,HOLD,historical_pit
v1_matched,6,15,-0.039570405271339,0.0141556149374094,0.0197923852694317,0.017893808656419,1,4,-0.0716276718427348,0.0113371159607528,-0.0140234506922517,1.735442548380807,0.1952674753023331,9,152184509.2173081,34.20150860051268,False,HOLD,historical_pit
0050,6,15,-0.0537260202087485,0.0,0.0056367703320222,0.0037381937190096,0,0,-0.0994314863383892,0.0,-0.0253605666530046,1.2128348445089845,0.2459314776237473,0,1282608.7253107766,0.900076298463703,False,HOLD,historical_pit
A,6,15,-0.0601075070903354,-0.0063814868815868,-0.0007447165495645,0.0,1,4,-0.1293400019627612,0.0456072359412569,0.0,2.775103930700064,0.2536185055066291,0,141094474.5262825,24.76707127956953,False,HOLD,official_ex_post
B,6,15,-0.0392155734713902,0.0145104467373582,0.0201472170693805,0.0208919336189451,1,4,-0.112751061877343,0.0381286732972082,-0.0074785626440487,2.958019688419552,0.1611428488679607,0,168374339.09816194,28.516583762621806,True,HOLD,official_ex_post
C,6,15,-0.057996102662474,-0.0042700824537254,0.0013666878782967,0.0021114044278613,1,4,-0.1451367823942647,0.0462209853469203,0.0006137494056634,2.8852274218653235,0.2583839857077713,0,140075899.3217937,25.012047489882605,False,HOLD,official_ex_post
D,6,15,-0.0437795352475564,0.0099464849611921,0.0155832552932143,0.0163279718427789,0,4,-0.0822872598658563,0.0272128446622038,-0.0183943912790531,2.3244787936087867,0.1808116008643776,0,147168652.3048566,27.888473336789065,False,HOLD,official_ex_post
v1_matched,6,15,-0.0469781901131571,0.0067478300955914,0.0123846004276136,0.0131293169771782,0,4,-0.1040751009639003,0.0327498729043994,-0.0128573630368575,2.481494099046336,0.2179511725846045,7,195348570.22624183,36.06589961896747,False,HOLD,official_ex_post
0050,6,15,-0.0537260202087485,0.0,0.0056367703320222,0.0063814868815868,0,0,-0.0994314863383892,0.0,-0.0456072359412569,1.2128348445089845,0.2459314776237473,0,1282608.7253107766,0.900076298463703,False,HOLD,official_ex_post
