date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2018-01-02,1004632362.8384682,87389262.83846818,22,ACTIVE_CAP:1785.TWO;ACTIVE_CAP:1815.TWO,True,1,True,22,False,1785.TWO;1815.TWO,,,1000000000.0,1000000000.0,0,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-03,996174946.7538662,80769046.75386615,22,,False,1,False,0,False,,,,996174946.7538662,80769046.75386615,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-04,1011983196.7538662,80769046.75386615,22,,False,1,False,0,False,,,,1011983196.7538662,80769046.75386615,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-05,1017250646.7538662,80769046.75386615,22,,False,1,False,0,False,,,,1017250646.7538662,80769046.75386615,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-08,1020914246.7538662,80769046.75386615,22,,False,1,False,0,False,,,,1020914246.7538662,80769046.75386615,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-09,1019147046.7538662,80769046.75386615,22,,False,1,False,0,False,,1785.TWO,,1019147046.7538662,80769046.75386615,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-10,1012285408.5301173,82239708.53011729,22,,False,1,False,0,False,,1785.TWO,,1012285408.5301173,82239708.53011729,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-11,1002905971.5150578,84450171.51505786,22,,False,1,False,0,False,,,,1002905971.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-12,1002684871.5150578,84450171.51505786,22,,False,1,False,0,False,,,,1002684871.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-15,999845171.5150578,84450171.51505786,22,,False,1,False,0,False,,,,999845171.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-16,997080321.5150578,84450171.51505786,22,,False,1,False,0,False,,,,997080321.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-17,996135871.5150578,84450171.51505786,22,,False,1,False,0,False,,,,996135871.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-18,986180471.5150578,84450171.51505786,22,,False,1,False,0,False,,,,986180471.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-19,987411471.5150578,84450171.51505786,22,,False,1,False,0,False,,,,987411471.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-22,997421921.5150578,84450171.51505786,22,,False,1,False,0,False,,,,997421921.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-23,986873321.5150578,84450171.51505786,22,,False,1,False,0,False,,,,986873321.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-24,992373671.5150578,84450171.51505786,22,,False,1,False,0,False,,,,992373671.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-25,989377271.5150578,84450171.51505786,22,,False,1,False,0,False,,,,989377271.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-26,984978821.5150578,84450171.51505786,22,,False,1,False,0,False,,,,984978821.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-29,991047421.5150578,84450171.51505786,22,,False,1,False,0,False,,,,991047421.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-30,969759421.5150578,84450171.51505786,22,,False,1,False,0,False,,,,969759421.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-01-31,977542421.5150578,84450171.51505786,22,,False,1,False,0,False,,,,977542421.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-02-01,974631921.5150578,84450171.51505786,22,,False,1,False,0,False,,,,974631921.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-02-02,973768771.5150578,84450171.51505786,22,,False,1,False,0,False,,,,973768771.5150578,84450171.51505786,22,0,UNKNOWN,BLOCK_SUBMISSION
