candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,best_return,p90_MDD,median_trade_count,valid_episode_count,mean_return_excluding_top_5pct,median_return_without_tail_extremes,trimmed_each_tail_count,median_days_to_valid_portfolio,valid_portfolio_reached_count,valid_portfolio_unreached_count,analysis_status,median_day_1_invested_fraction,observed_day_1_invested_fraction_count,median_day_1_holding_count,observed_day_1_holding_count_count,median_day_3_invested_fraction,observed_day_3_invested_fraction_count,median_day_3_holding_count,observed_day_3_holding_count_count,median_day_5_invested_fraction,observed_day_5_invested_fraction_count,median_day_5_holding_count,observed_day_5_holding_count_count,source_study,phase
x0352_daily_baseline,119,78,112,41,0.6554621848739496,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019176746490200514,0.016663895093193038,-0.011760375752247837,-0.0480681856583872,-0.08948744663447494,0.6794871794871795,0.32051282051282054,0.44537815126050423,0.0301958874205433,0.11070749248409661,2.3952549552946403,1.0,-0.3336152620397558,-0.014657547522684222,-1.0,-1.0,0.14284420820342825,0.07242389036375796,113.0,78.0,0.010765274494211092,0.019176746490200514,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077345683182481,119.0,20.0,119.0,0.9037950284232931,119.0,20.0,119.0,0.8937331015500416,112.0,21.0,112.0,original,baseline_development
coarse_001_target_count_25,119,72,112,47,0.6050420168067226,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.021460393276942158,0.012042284946446309,-0.018246019802808877,-0.05783810891230704,-0.098631953584152,0.6944444444444444,0.3055555555555556,0.42016806722689076,0.029915037466445804,0.11633690081962822,2.590319766513116,1.0,-0.38767189482231823,-0.04149548501611544,-1.0,-1.0,0.12162547329488871,0.08143224272605847,122.0,72.0,0.0066289577963706756,0.021460393276942158,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9021241541411426,119.0,25.0,119.0,0.8935133253549782,119.0,25.0,119.0,0.8947475261377081,112.0,25.0,112.0,original,development_coarse
coarse_002_target_count_30,119,73,112,46,0.6134453781512605,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.015920764412001853,0.01091053585106118,-0.01158709679073966,-0.051545191740410966,-0.09406496779587625,0.684931506849315,0.3150684931506849,0.42016806722689076,0.03189979150777711,0.11333526906598679,2.5865557827015246,1.0,-0.3798616040577524,-0.023362767059014744,-1.0,-1.0,0.1106971048443024,0.07040569149086351,160.0,73.0,0.005714473690241168,0.015920764412001853,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.8993781116437879,119.0,30.0,119.0,0.8954809885949067,119.0,28.0,119.0,0.8980796275873646,112.0,27.0,112.0,original,development_coarse
coarse_003_return_short_5,119,75,112,44,0.6302521008403361,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.014691740462796421,0.011961833834701048,-0.010900466712301438,-0.06089132138361319,-0.09817281152413115,0.6533333333333333,0.3466666666666667,0.4117647058823529,0.03195841648442399,0.12183794180968244,2.619797814061299,1.0,-0.36220892825544054,-0.01327626574515628,-1.0,-1.0,0.13600914737273495,0.0862123034010165,127.0,75.0,0.006329685910923021,0.014691740462796421,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9081431648894864,119.0,20.0,119.0,0.8742620382169717,119.0,20.0,119.0,0.8825946512546607,112.0,21.0,112.0,original,development_coarse
coarse_004_return_short_15,119,76,112,43,0.6386554621848739,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.024326710255087258,0.016640523295099557,-0.01388438686119578,-0.05054537403788284,-0.08900217943373445,0.6842105263157895,0.3157894736842105,0.4369747899159664,0.031739386004285775,0.10883410294867502,2.0446431520710773,1.0,-0.35071697671909613,-0.017073546994110123,-1.0,-1.0,0.16023237600683604,0.07922151131680799,87.0,76.0,0.010064020536439452,0.024326710255087258,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9072477192104955,119.0,20.0,119.0,0.9049092669332491,119.0,20.0,119.0,0.8986702645110372,112.0,20.0,112.0,original,development_coarse
coarse_005_return_long_20,119,77,112,42,0.6470588235294118,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.0198711080485241,0.017062285734894517,-0.012316610695361607,-0.05755089526215187,-0.09861322448976251,0.6753246753246753,0.3246753246753247,0.4369747899159664,0.028905134313726766,0.11880278183790605,2.359394997957235,1.0,-0.3419008739362447,-0.01406666734778328,-1.0,-1.0,0.1485308173066604,0.07111387095574821,116.0,77.0,0.010820828096066017,0.0198711080485241,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9074787992548954,119.0,20.0,119.0,0.9044092098316409,119.0,20.0,119.0,0.8936212444935179,112.0,20.5,112.0,original,development_coarse
coarse_006_return_long_50,119,77,112,42,0.6470588235294118,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.0198711080485241,0.016749467798863365,-0.007130296592963825,-0.05319001751108603,-0.09336932540801668,0.6753246753246753,0.3246753246753247,0.4369747899159664,0.03210993301735465,0.11487422019791649,2.3840089514596112,1.0,-0.342103285541912,-0.013019226772668646,-1.0,-1.0,0.13400356725009632,0.07323214683039975,117.0,77.0,0.01131445677902407,0.0198711080485241,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9073073671396407,119.0,20.0,119.0,0.9027867743524363,119.0,20.0,119.0,0.8938503149093789,112.0,21.0,112.0,original,development_coarse
coarse_007_ema_fast_8,119,77,112,42,0.6470588235294118,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.020436622261194692,0.017619738088939463,-0.009483574208190237,-0.048503477694836136,-0.09070596560047961,0.7012987012987013,0.2987012987012987,0.453781512605042,0.03150630861397885,0.10922656534230879,2.3415302282813997,1.0,-0.34154016947186266,-0.01613523213094492,-1.0,-1.0,0.13808230039226332,0.07249778536022367,114.0,77.0,0.01166552045000545,0.020436622261194692,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9071830481126485,119.0,20.0,119.0,0.9039524579852468,119.0,20.0,119.0,0.8940899222841869,112.0,21.0,112.0,original,development_coarse
coarse_008_ema_fast_15,119,76,112,43,0.6386554621848739,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.021319253861917353,0.01766130403123709,-0.006066346935519912,-0.051737447909806444,-0.08449403126117827,0.6710526315789473,0.32894736842105265,0.42857142857142855,0.030899795766776317,0.11262632321018429,2.403344500715226,1.0,-0.35006504952626877,-0.019972594559260926,-1.0,-1.0,0.12901389845054,0.07256939612411067,112.5,76.0,0.011625840809787043,0.021319253861917353,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9078087569506718,119.0,20.0,119.0,0.9045023734298219,119.0,20.0,119.0,0.893160635950441,112.0,20.0,112.0,original,development_coarse
coarse_009_ema_slow_20,119,79,115,40,0.6638655462184874,0.9663865546218487,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.017313288411697103,0.012001164690702696,-0.01838690630701173,-0.06083285986734403,-0.09400201915389161,0.6455696202531646,0.35443037974683544,0.42857142857142855,0.03138837416359108,0.11394496249837449,2.4207825068528295,1.0,-0.32816729402886125,-0.018732746732066152,-1.0,-1.0,0.15043708616562723,0.08569787426404106,113.0,79.0,0.006269807535450531,0.017313288411697103,4.0,1.0,115.0,4.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9079738411256965,119.0,20.0,119.0,0.9030500102949731,119.0,20.0,119.0,0.893762140000085,115.0,21.0,115.0,original,development_coarse
