total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,slippage_cost,max_daily_volume_participation,trades_above_10pct_daily_volume,trades_above_100pct_daily_volume,trades,sessions,start,end,final_nav,raw_rule_breach_days,negative_cash_days,stale_held_price_days,infeasible_signal_days,active_share_status,certification,execution_price_bound_breaches,accounting_status,simulated_warning_days,disqualified,complete_period,rejected_trade_count,official_compliance,hard_breach_days,infeasible_executed_days,trade_days,costs,final_economic_nav,measured_hard_breach_days,cash_breach_days,holding_count_breach_days,whitelist_breach_days,active_cap_breach_days,overdue_passive_cap_days,cash_ratio_max,cash_ratio_min,average_stock_exposure,holdings_min,holdings_max,observed_rule_eligible,no_valid_plan_days,hold_without_envelope_days,unfilled_orders,status,measured_pass,episode_status,failure_reasons,episode_return,forensic_partial_return,episode_max_drawdown,episode_turnover,requested_sessions,observed_sessions,universe_interpretation,episode_id,kind,split,session_count,prior_session_date,candidate_id,phase,realized_start,realized_end,days_to_20_holdings,independent_audit
-0.09817281152413115,0.12183794180968244,0.22477828837855643,-4.708120379337186,-0.09817281152413115,0.12183794180968244,0.22477828837855643,-4.708120379337186,6777631.723142835,3961984.613241674,2815647.109901161,2.8693455860531465,0.0,47.47889248258828,45,7,148,24,2010-01-04,2010-02-04,901827188.4758688,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,24,6777631.723142835,901827188.4758688,0,0,0,0,0,0,0.21271000740817553,0.08828905808167843,0.8599469912642698,20,28,True,0,0,0,COMPLETE,True,PASS,,-0.09817281152413115,,0.12183794180968244,2.780340079467841,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-01-04,monthly,development,24,2009-12-31,coarse_003_return_short_5,development_coarse,2010-01-04,2010-02-04,1.0,PASS_INTERNAL_ACCOUNTING
0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,2010-02-01,2010-03-15,1000000000.0,3,0,0,3,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,3,True,False,0,UNKNOWN_BLOCK_SUBMISSION,3,3,0,0.0,1000000000.0,3,3,3,0,0,0,1.0,1.0,0.0,0,0,False,3,0,0,FAILED,False,FAIL_CASH,FAIL_CASH;FAIL_HOLDING_COUNT,,0.0,-0.0,0.0,24,3,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-02-01,monthly,development,24,2010-01-29,coarse_003_return_short_5,development_coarse,2010-02-01,2010-02-03,,PASS_INTERNAL_ACCOUNTING
0.043596333613068916,0.012937021643327995,0.09639440424948786,4.698383961249014,0.043596333613068916,0.012937021643327995,0.09639440424948786,4.698383961249014,6257700.133625225,3622568.4651997266,2635131.668425499,2.5007676755509953,0.0,19.330708661417322,53,9,131,24,2010-03-01,2010-04-01,1043596333.6130689,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,24,6257700.133625225,1043596333.6130689,0,0,0,0,0,0,0.199639870188095,0.08641224712799042,0.8653792566776537,20,30,True,0,0,0,COMPLETE,True,PASS,,0.043596333613068916,,0.012937021643327995,2.5421533089120887,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-03-01,monthly,development,24,2010-02-26,coarse_003_return_short_5,development_coarse,2010-03-01,2010-04-01,1.0,PASS_INTERNAL_ACCOUNTING
-0.010992176795754482,0.04411411572490287,0.19461609394156992,-0.5022743250385174,-0.010992176795754482,0.04411411572490287,0.19461609394156992,-0.5022743250385174,6236896.967471101,3688872.08001622,2548024.887454882,2.5709427206701436,0.0,8.838967186447292,50,7,136,24,2010-04-01,2010-05-05,989007823.2042456,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,23,6236896.967471101,989007823.2042456,0,0,0,0,0,0,0.20864917154227602,0.08498821152194784,0.8670724298660779,20,29,True,0,0,0,COMPLETE,True,PASS,,-0.010992176795754482,,0.04411411572490287,2.588682161414891,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-04-01,monthly,development,24,2010-03-31,coarse_003_return_short_5,development_coarse,2010-04-01,2010-05-05,1.0,PASS_INTERNAL_ACCOUNTING
-0.08092131029333649,0.12105359541173577,0.23824986662983125,-3.5972952613520826,-0.08092131029333649,0.12105359541173577,0.23824986662983125,-3.5972952613520826,6899930.533589212,4023629.78379923,2876300.749789982,2.9661327199959118,0.0,32.833333333333336,59,8,144,24,2010-05-03,2010-06-03,919078689.7066635,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,24,6899930.533589212,919078689.7066635,0,0,0,0,0,0,0.19997572364112454,0.014788965590263988,0.8638649338283011,20,28,True,0,0,0,COMPLETE,True,PASS,,-0.08092131029333649,,0.12105359541173577,2.823599848280162,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-05-03,monthly,development,24,2010-04-30,coarse_003_return_short_5,development_coarse,2010-05-03,2010-06-03,1.0,PASS_INTERNAL_ACCOUNTING
0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,2010-06-01,2010-07-05,1000000000.0,3,0,0,3,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,3,True,False,0,UNKNOWN_BLOCK_SUBMISSION,3,3,0,0.0,1000000000.0,3,3,3,0,0,0,1.0,1.0,0.0,0,0,False,3,0,0,FAILED,False,FAIL_CASH,FAIL_CASH;FAIL_HOLDING_COUNT,,0.0,-0.0,0.0,24,3,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-06-01,monthly,development,24,2010-05-31,coarse_003_return_short_5,development_coarse,2010-06-01,2010-06-03,,PASS_INTERNAL_ACCOUNTING
0.07959292119874029,0.008941416916992462,0.12495265019483201,6.505212615602564,0.07959292119874029,0.008402212236359285,0.12418017103387004,6.544918515656683,6439569.365717445,3706127.3378652586,2733442.0278521865,2.541505124914049,0.0,5.921908893709327,51,12,114,24,2010-07-01,2010-08-03,1079592921.1987402,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,21,6439569.365717445,1079592921.1987402,0,0,0,0,0,0,0.20222846411871526,0.010607400959085004,0.8705530627299185,20,28,True,0,0,0,COMPLETE,False,FAIL_ROUND_LOT,FAIL_ROUND_LOT,0.07959292119874029,,0.008402212236359285,2.6007911142914093,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-07-01,monthly,development,24,2010-06-30,coarse_003_return_short_5,development_coarse,2010-07-01,2010-08-03,1.0,PASS_INTERNAL_ACCOUNTING
-0.019111087896058088,0.053169957292229286,0.15939593978400327,-1.1936494335661048,-0.019111087896058088,0.04519107244567888,0.14036575939753687,-1.3750617248702246,6973422.19666733,4053355.9519147603,2920066.244752569,2.866234248851506,0.0,270.1761917144911,53,15,143,24,2010-08-02,2010-09-02,980888912.1039419,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,22,6973422.19666733,980888912.1039419,0,0,0,0,0,0,0.20524321487306685,0.06939360597159241,0.8641871918049551,20,30,True,0,0,0,COMPLETE,False,FAIL_ROUND_LOT,FAIL_ROUND_LOT,-0.019111087896058088,,0.04519107244567888,2.844460317133165,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-08-02,monthly,development,24,2010-07-30,coarse_003_return_short_5,development_coarse,2010-08-02,2010-09-02,1.0,PASS_INTERNAL_ACCOUNTING
0.057068874049747365,0.013749756749331654,0.09748871807927753,6.030930526186489,0.057068874049747365,0.013749756749331654,0.09748871807927753,6.030930526186489,5249812.127858037,3208289.556237883,2041522.5716201544,2.1940027170013527,0.0,23.009207121170018,37,9,99,24,2010-09-01,2010-10-05,1057068874.0497475,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,22,5249812.127858037,1057068874.0497475,0,0,0,0,0,0,0.20042654525177203,0.08528931463082758,0.8725249994334734,20,27,True,0,0,0,COMPLETE,True,PASS,,0.057068874049747365,,0.013749756749331654,2.2514312675353567,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-09-01,monthly,development,24,2010-08-31,coarse_003_return_short_5,development_coarse,2010-09-01,2010-10-05,1.0,PASS_INTERNAL_ACCOUNTING
-0.018875674977509416,0.03574435814289745,0.13050234543738956,-1.4701663667690092,-0.018875674977509416,0.03574435814289745,0.13050234543738956,-1.4701663667690092,6674370.467584467,3908055.223883023,2766315.243701444,2.7704022699473105,0.0,2.652410103185909,47,6,146,24,2010-10-01,2010-11-03,981124325.0224906,0,0,0,0,ACTIVE_SHARE_NOT_VERIFIED,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,24,6674370.467584467,981124325.0224906,0,0,0,0,0,0,0.20269019290397117,0.09148613973644786,0.8630386514698939,20,30,True,0,0,0,COMPLETE,True,PASS,,-0.018875674977509416,,0.03574435814289745,2.742494893952998,24,24,COMPETITION_UNIVERSE_STRESS_TEST,monthly_2010-10-01,monthly,development,24,2010-09-30,coarse_003_return_short_5,development_coarse,2010-10-01,2010-11-03,1.0,PASS_INTERNAL_ACCOUNTING
