date,symbol,open,high,low,close,adj_close,volume,dividend,split_ratio,split,future_split_factor,vendor_repaired,valid_price,tradable,action_neutral_return,quality_flags,valid_for_research,signal_price,return20,return50,return1,ema20,ema50,ema100,ema200,volume_ratio,volatility_ratio,macd_hist,signal_history_valid_sessions,ready,trend,long_trend,signal_available,signal_history_reset,signal_history_segment,score,entry_ok,exit,plan_reason
2010-12-31,2883.TW,12.299999338810483,12.999999293273612,12.299999338810483,12.85,6.41871976852417,221365997.88488153,0.0,1.0,1.0,1.0199588019719998,False,True,True,0.053278673493485806,,True,14.849681561833753,0.30192509572359083,0.44544439761438004,0.053278673493485806,13.028880289435724,11.731178801239757,10.688053948605102,10.060703424172416,2.311475375373856,1.065382222553148,0.2798894686586384,499.0,True,1.0,1.0,True,False,0,0.9936018579056336,False,False,BUY_CASH_CAP_CORRECTION
2010-12-31,2834.TW,12.549998171911977,13.299998161684359,12.499999829539712,13.2,5.175482749938965,147041999.83282244,0.0,1.0,1.0,2.1717921230877906,False,True,True,0.06024097087060443,,True,13.727998304972928,0.1733333124680867,0.2941175574748063,0.06024097087060443,12.378065080619928,11.625488912444487,10.683272026665037,9.938230607215186,2.0619190933929925,1.350658325530095,0.19034740383222104,499.0,True,1.0,1.0,True,False,0,0.9737316388798081,False,False,BUY_CASH_CAP_CORRECTION
2010-12-31,2313.TW,20.799999237060547,20.899999618530273,20.0,20.55,12.180730819702148,88575000.0,0.0,1.0,1.0,1.0,False,True,True,-0.012019231210093517,,True,20.549999237060554,0.3475409335777404,0.8681817488236856,-0.012019231210093517,18.897088937123716,16.29688708903077,12.638382345716073,11.02952627066913,1.1558561354506112,1.1849169344896573,0.1402710658717694,499.0,True,1.0,1.0,True,False,0,0.9598214285714285,True,False,BUY_CASH_CAP_CORRECTION
2010-12-31,2887.TW,16.860078770302614,17.45513892854282,16.76090110217932,17.25,5.153491961340557,64922355.524607904,0.0,1.0,1.0,2.0448978002604874,True,True,True,0.023738816305705956,,True,17.704284827888618,0.12745090227235623,0.2921347214052623,0.023738816305705956,16.70615786646469,15.67969576063756,14.477133370410852,13.589865542725747,1.6002619093917674,1.5082275743195404,0.12077118682700005,499.0,True,1.0,1.0,True,False,0,0.9554716955432058,True,False,BUY_CASH_CAP_CORRECTION
2010-12-31,2609.TW,28.385596586431888,28.925805999707034,27.698055194097904,28.25,23.587078094482422,48721209.112231344,0.0,1.0,1.0,0.5140168,False,True,True,-0.013961576520609142,,True,28.088319511026413,0.16016428299997232,0.21244634053179712,-0.013961576520609142,26.303703630678765,24.801909697932164,22.248674302568695,19.634523778521473,1.6738022745224406,1.5472476371992652,0.3484189846155099,499.0,True,1.0,1.0,True,False,0,0.9551154516726598,True,False,BUY_CASH_CAP_CORRECTION
2010-12-31,2884.TW,19.02400240137722,19.307940870555285,18.8820307164657,20.05,5.061830997467041,10455717.504883386,0.0,1.0,1.0,2.5693493523952684,False,True,True,0.0024999189346675,,True,20.601940950602476,0.09562835886689913,0.2977346340680347,0.0024999189346675,19.810508539359446,18.601065056158443,16.853953170942276,15.492086746638607,1.4542592643505128,1.685671756433471,0.10073405567606386,499.0,True,1.0,1.0,True,False,0,0.9360217118884165,True,False,BUY_CASH_CAP_CORRECTION
2010-12-31,2801.TW,25.899999171115503,26.450000698247212,25.599999516839052,25.9,9.258075714111328,141540999.76777124,0.0,1.0,1.0,1.9422247861117306,False,True,True,0.001934293632437134,,True,27.475714630135084,0.09513743264056096,0.2821782827349666,0.001934293632437134,25.936290741284665,24.531682486980145,22.080292317822984,19.942171473082823,1.8487040989813626,1.3922415575923492,0.23620849207315175,499.0,True,1.0,1.0,True,False,0,0.9347645472376592,True,False,BUY_CASH_CAP_CORRECTION
2010-12-31,2603.TW,30.290479837627995,30.779035849202778,29.50879021910834,30.3,20.05010986328125,24282776.150907442,0.0,1.0,1.0,0.46661575800000005,False,True,True,-0.01623376239312635,,True,29.606501421423303,0.12430430954953464,0.21931592044724724,-0.01623376239312635,28.36763911492232,26.682005384785064,24.26346831040332,22.48131506059784,1.2026051350936797,1.416369394539285,0.17401582015476258,499.0,True,1.0,1.0,True,False,0,0.9323567614688896,True,False,BUY_CASH_CAP_CORRECTION
2010-12-31,2890.TW,12.900037663838118,13.343167162893353,12.850800700180297,13.45,4.53957986831665,45350238.274418145,0.0,1.0,1.0,1.6640194158046728,False,True,True,0.01893934122055918,,True,13.389100437603283,0.09795907762516798,0.20627799223111687,0.01893934122055918,12.773656242488231,12.189914594884925,11.652388994275384,11.318020912196783,1.5999967635680106,1.2495043508551864,0.07388611802091216,499.0,True,1.0,1.0,True,False,0,0.9308409066143619,True,False,BUY_CASH_CAP_CORRECTION
2010-12-31,5903.TWO,99.9000015258789,101.5,98.19999694824219,98.2,62.756248474121094,162000.0,0.0,1.0,1.0,1.0,False,True,True,-0.015045135866741388,,True,106.61594212553047,0.10585578348466407,0.10960448529087241,-0.015045135866741388,104.07318819181359,100.08722955821047,94.31901614893718,86.39826315218167,2.8460185955229163,1.9690164904858316,0.6616022202841285,497.0,True,1.0,1.0,True,False,0,0.9307948131197558,False,False,BUY_CASH_CAP_CORRECTION
